"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1449,-0.0052755,0.02814,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,1,0,-1,-1,0
-1.1449,-0.0053201,0.028094,0.00031417,0.0001,-1.2726e-08,1.3753e-08,1,0.0028284,-0.998,-0.998,0
-1.1449,-0.0054537,0.027955,0.0003142,0.00010001,-5.0907e-08,5.5012e-08,1,0.0056569,-0.996,-0.996,0
-1.1449,-0.0056763,0.027724,0.00031426,0.00010003,-1.1454e-07,1.2378e-07,1,0.0084853,-0.994,-0.994,0
-1.1449,-0.005988,0.0274,0.00031433,0.00010005,-2.0363e-07,2.2005e-07,1,0.011314,-0.992,-0.992,0
-1.1449,-0.0063888,0.026983,0.00031443,0.00010009,-3.1816e-07,3.4383e-07,1,0.014142,-0.99,-0.99,0
-1.1449,-0.0068876,0.026419,0.00031455,0.00010012,-4.5955e-07,4.9086e-07,1,0.016971,-0.988,-0.988,0
-1.1449,-0.0074901,0.025736,0.00031469,0.00010017,-6.2753e-07,6.6321e-07,1,0.019799,-0.986,-0.986,0
-1.1448,-0.0081965,0.024934,0.00031485,0.00010022,-8.2211e-07,8.6091e-07,1,0.022627,-0.984,-0.984,0
-1.1448,-0.0090066,0.024013,0.00031503,0.00010028,-1.0433e-06,1.0839e-06,1,0.025456,-0.982,-0.982,0
-1.1448,-0.0099206,0.022974,0.00031522,0.00010034,-1.2911e-06,1.3323e-06,1,0.028284,-0.98,-0.98,0
-1.1448,-0.0097917,0.022638,0.00031523,0.00010034,-1.29e-06,1.3124e-06,1,0.031113,-0.978,-0.978,0
-1.1448,-0.0096518,0.022212,0.00031522,0.00010034,-1.2896e-06,1.287e-06,1,0.033941,-0.976,-0.976,0
-1.1448,-0.0095011,0.021695,0.00031521,0.00010034,-1.2899e-06,1.256e-06,1,0.03677,-0.974,-0.974,0
-1.1448,-0.0093395,0.021088,0.0003152,0.00010033,-1.291e-06,1.2194e-06,1,0.039598,-0.972,-0.972,0
-1.1448,-0.0091669,0.02039,0.00031517,0.00010032,-1.2928e-06,1.1773e-06,1,0.042426,-0.97,-0.97,0
-1.1448,-0.0083578,0.019564,0.00031517,0.00010032,-1.2647e-06,1.1436e-06,1,0.045255,-0.968,-0.968,0
-1.1448,-0.0075079,0.018669,0.00031517,0.00010032,-1.2359e-06,1.1059e-06,1,0.048083,-0.966,-0.966,0
-1.1448,-0.0066171,0.017706,0.00031515,0.00010032,-1.2063e-06,1.0643e-06,1,0.050912,-0.964,-0.964,0
-1.1448,-0.0056857,0.016675,0.00031513,0.00010031,-1.1758e-06,1.0186e-06,1,0.05374,-0.962,-0.962,0
-1.1448,-0.0047134,0.015576,0.0003151,0.0001003,-1.1445e-06,9.6904e-07,1,0.056569,-0.96,-0.96,0
-1.1448,-0.0037078,0.014946,0.00031508,0.00010029,-1.1021e-06,9.5924e-07,1,0.059397,-0.958,-0.958,0
-1.1448,-0.0027674,0.014386,0.00031507,0.00010029,-1.0618e-06,9.5348e-07,1,0.062225,-0.956,-0.956,0
-1.1448,-0.0018924,0.013896,0.00031508,0.00010029,-1.0235e-06,9.5177e-07,1,0.065054,-0.954,-0.954,0
-1.1448,-0.0010828,0.013475,0.00031509,0.0001003,-9.8722e-07,9.541e-07,1,0.067882,-0.952,-0.952,0
-1.1448,-0.00033838,0.013125,0.00031511,0.0001003,-9.5303e-07,9.6048e-07,1,0.070711,-0.95,-0.95,0
-1.1448,9.694e-06,0.013279,0.00031532,0.00010037,-8.7317e-07,9.2806e-07,1,0.073539,-0.948,-0.948,0
-1.1448,0.00024003,0.013421,0.00031551,0.00010043,-8.0238e-07,8.8758e-07,1,0.076368,-0.946,-0.946,0
-1.1448,0.00035263,0.01355,0.00031569,0.00010049,-7.4067e-07,8.3905e-07,1,0.079196,-0.944,-0.944,0
-1.1448,0.00034747,0.013667,0.00031586,0.00010054,-6.8804e-07,7.8246e-07,1,0.082024,-0.942,-0.942,0
-1.1448,0.00022458,0.013771,0.00031601,0.00010059,-6.4447e-07,7.1781e-07,1,0.084853,-0.94,-0.94,0
-1.1448,0.0010912,0.013574,0.00031616,0.00010064,-6.2219e-07,8.2908e-07,1,0.087681,-0.938,-0.938,0
-1.1448,0.0018475,0.013382,0.00031627,0.00010067,-6.0865e-07,9.3541e-07,1,0.09051,-0.936,-0.936,0
-1.1448,0.0024934,0.013196,0.00031634,0.00010069,-6.0388e-07,1.0368e-06,1,0.093338,-0.934,-0.934,0
-1.1448,0.0030289,0.013017,0.00031637,0.0001007,-6.0786e-07,1.1332e-06,1,0.096167,-0.932,-0.932,0
-1.1448,0.003454,0.012843,0.00031635,0.0001007,-6.206e-07,1.2247e-06,1,0.098995,-0.93,-0.93,0
-1.1448,0.0042698,0.012453,0.00031636,0.0001007,-5.4471e-07,1.2452e-06,1,0.10182,-0.928,-0.928,0
-1.1448,0.0049009,0.012215,0.00031634,0.00010069,-4.8557e-07,1.2634e-06,1,0.10465,-0.926,-0.926,0
-1.1448,0.0053473,0.012128,0.00031628,0.00010068,-4.4316e-07,1.2793e-06,1,0.10748,-0.924,-0.924,0
-1.1448,0.0056089,0.012193,0.0003162,0.00010065,-4.1749e-07,1.2929e-06,1,0.11031,-0.922,-0.922,0
-1.1448,0.0056859,0.012409,0.00031608,0.00010061,-4.0856e-07,1.3042e-06,1,0.11314,-0.92,-0.92,0
-1.1448,0.00524,0.011139,0.00031618,0.00010064,-3.9067e-07,1.1905e-06,1,0.11597,-0.918,-0.918,0
-1.1448,0.0048966,0.010125,0.00031621,0.00010065,-3.8357e-07,1.1079e-06,1,0.11879,-0.916,-0.916,0
-1.1448,0.0046557,0.0093669,0.00031617,0.00010064,-3.8724e-07,1.0564e-06,1,0.12162,-0.914,-0.914,0
-1.1448,0.0045172,0.008865,0.00031606,0.0001006,-4.0169e-07,1.0359e-06,1,0.12445,-0.912,-0.912,0
-1.1448,0.0044811,0.0086191,0.00031588,0.00010055,-4.2693e-07,1.0466e-06,1,0.12728,-0.91,-0.91,0
-1.1448,0.0046161,0.0073105,0.0003158,0.00010052,-2.872e-07,9.4985e-07,1,0.13011,-0.908,-0.908,0
-1.1448,0.0050794,0.0061668,0.00031566,0.00010048,-1.5569e-07,8.9432e-07,1,0.13294,-0.906,-0.906,0
-1.1448,0.005871,0.0051882,0.00031547,0.00010042,-3.2394e-08,8.7998e-07,1,0.13576,-0.904,-0.904,0
-1.1448,0.0069908,0.0043747,0.00031523,0.00010034,8.269e-08,9.0682e-07,1,0.13859,-0.902,-0.902,0
-1.1448,0.0084389,0.0037261,0.00031494,0.00010025,1.8956e-07,9.7484e-07,1,0.14142,-0.9,-0.9,0
-1.1448,0.0078342,0.0039738,0.00031488,0.00010023,1.8425e-07,8.7537e-07,1,0.14425,-0.898,-0.898,0
-1.1448,0.006729,0.0044262,0.00031478,0.0001002,1.3963e-07,7.2885e-07,1,0.14708,-0.896,-0.896,0
-1.1447,0.0051232,0.0050834,0.00031464,0.00010015,5.5681e-08,5.3528e-07,1,0.14991,-0.894,-0.894,0
