epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,output_4_loss,output_4_mean_absolute_error,output_4_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error,val_output_4_loss,val_output_4_mean_absolute_error,val_output_4_mean_squared_error
0,0.0025963878724724054,0.0001724516332615167,0.008859366178512573,0.0001724516332615167,1.1645302244010108e-15,0.23263217508792877,0.07016828656196594,0.00037924700882285833,0.01495638769119978,0.00037924700882285833,0.0016398226143792272,0.03082035668194294,0.001639822730794549,0.004131007008254528,0.0001980757515411824,0.011167725548148155,0.0001980757515411824,3.127048970800436e-16,0.23942279815673828,0.07427775859832764,0.000743917073123157,0.02132042683660984,0.0007439171313308179,0.0027363908011466265,0.044717833399772644,0.0027363908011466265
1,0.0023399123456329107,0.00014517597446683794,0.008132131770253181,0.00014517597446683794,1.7578126676766733e-16,0.23260082304477692,0.07014089077711105,0.0003052903339266777,0.013526109978556633,0.0003052903339266777,0.0014142661821097136,0.028629008680582047,0.0014142664149403572,0.023263514041900635,0.0019418791634961963,0.027757488191127777,0.0019418791634961963,1.0823246180787969e-15,0.2224271148443222,0.06536813825368881,0.0016010761028155684,0.03346218913793564,0.0016010761028155684,0.019207922741770744,0.10371220856904984,0.019207922741770744
2,0.002395238960161805,0.0001457727194065228,0.008161281235516071,0.0001457727194065228,7.200449737085476e-16,0.23260587453842163,0.07014279812574387,0.00030803275876678526,0.013545087538659573,0.00030803275876678526,0.0014208209468051791,0.028784681111574173,0.0014208212960511446,0.0400250107049942,0.0020355768501758575,0.029220731928944588,0.0020355768501758575,1.1108747105989503e-15,0.2587535083293915,0.08826664835214615,0.0026767391245812178,0.04124023765325546,0.0026767391245812178,0.03476690873503685,0.13788992166519165,0.03476690500974655
3,0.0025261081755161285,0.00015334862109739333,0.008349291048943996,0.00015334862109739333,1.7528374079027383e-16,0.2326338142156601,0.07015198469161987,0.0003156937309540808,0.013755288906395435,0.0003156937309540808,0.0014981442363932729,0.029452543705701828,0.0014981442363932729,0.011597252450883389,0.0007374552078545094,0.022288069128990173,0.0007374552078545094,5.467834314356148e-16,0.2238817811012268,0.06539379805326462,0.002592694014310837,0.04381973668932915,0.002592694014310837,0.007692174054682255,0.07004224509000778,0.007692174054682255
4,0.0024381247349083424,0.00014441990060731769,0.00813516415655613,0.00014441990060731769,9.342556356022199e-16,0.23259873688220978,0.07013589143753052,0.00030061753932386637,0.013455708511173725,0.00030061753932386637,0.0014179844874888659,0.028634965419769287,0.0014179844874888659,0.032146696001291275,0.001879291725344956,0.02625270187854767,0.0018792918417602777,7.166915173308086e-16,0.2576432228088379,0.08681495487689972,0.0016574269393458962,0.02961627021431923,0.0016574269393458962,0.028037650510668755,0.12074793875217438,0.028037650510668755
5,0.0025166310369968414,0.00014964837464503944,0.008256220258772373,0.00014964837464503944,4.51919341233159e-16,0.23261243104934692,0.07014379650354385,0.00030578442965634167,0.013568909838795662,0.00030578442965634167,0.0014737974852323532,0.02911057136952877,0.0014737973688170314,0.019770285114645958,0.0013910512207075953,0.026656508445739746,0.0013910512207075953,2.389379147283658e-15,0.20694351196289062,0.05622395500540733,0.0015086892526596785,0.030903222039341927,0.0015086892526596785,0.01627032645046711,0.11330302804708481,0.01627032645046711
6,0.0023490681778639555,0.00013921648496761918,0.007900496013462543,0.00013921648496761918,3.8971649736969417e-16,0.23260623216629028,0.07013612985610962,0.0002718769828788936,0.012827141210436821,0.0002718769828788936,0.0013526929542422295,0.027812086045742035,0.0013526929542422295,0.004041853826493025,0.0002693524875212461,0.010917616076767445,0.0002693524875212461,2.6152254478342034e-15,0.22939488291740417,0.06874118000268936,0.00044543028343468904,0.018054265528917313,0.00044543028343468904,0.0027414876967668533,0.04160640761256218,0.002741487929597497
7,0.002388471970334649,0.0001420912885805592,0.00797194242477417,0.0001420912885805592,4.609900053070685e-16,0.23258890211582184,0.07013478130102158,0.00027755467453971505,0.012981176376342773,0.00027755467453971505,0.0013741160510107875,0.028047554194927216,0.0013741160510107875,0.01339124608784914,0.0011400514049455523,0.021894801408052444,0.0011400514049455523,0.0,0.21455372869968414,0.06026628240942955,0.0009524233173578978,0.025795066729187965,0.0009524233173578978,0.010679313912987709,0.08261030167341232,0.010679314844310284
8,0.0025028479285538197,0.0001494158204877749,0.008191438391804695,0.0001494158204877749,2.3008215350108657e-16,0.23260992765426636,0.07013769447803497,0.0003001502773258835,0.013454880565404892,0.00030015024822205305,0.0014385177055373788,0.028725868090987206,0.0014385177055373788,0.01136863138526678,0.0008678158628754318,0.021583423018455505,0.0008678158628754318,2.0609107817667546e-15,0.23011663556098938,0.06886785477399826,0.0015906987246125937,0.03479306399822235,0.0015906987246125937,0.008279701694846153,0.0713672935962677,0.008279700763523579
9,0.002429477171972394,0.0001430169359082356,0.007963203825056553,0.0001430169359082356,8.70174205010643e-16,0.23258811235427856,0.07012957334518433,0.0002753847511485219,0.012871278449892998,0.00027538478025235236,0.001386882271617651,0.02802811935544014,0.001386882271617651,0.005661205388605595,0.0003382096765562892,0.013392428867518902,0.0003382096765562892,0.0,0.2392033189535141,0.07422715425491333,0.0006051734671927989,0.0202607624232769,0.0006051734671927989,0.004104137420654297,0.05468710511922836,0.004104137420654297
