x,u0,u1,u2
0.0,0.4977318748900059,0.236378896303056,0.17028386382164634
0.005,0.47843918576672945,0.236623330410108,0.16854316399396826
0.01,0.46742235913019403,0.23514885272607924,0.16745671270925386
0.015,0.4570825283331193,0.23336636665123403,0.16640056394814384
0.02,0.44671353762615934,0.23137900056655014,0.1653170589699815
0.025,0.4361672295413167,0.229188387774144,0.1641871561000029
0.03,0.4253515235305486,0.2267792530565846,0.16299326377780082
0.035,0.41418176941893237,0.22413047502893854,0.16171800260459168
0.04,0.40257275020398997,0.22121380570604784,0.16034167934731058
0.045,0.3904418076980956,0.2179943562988208,0.15884260633028943
0.05,0.3777087767960243,0.21443064377661636,0.1571954664103904
0.055,0.36430055813390216,0.2104782503226715,0.15537367336890956
0.06,0.3501518002949652,0.2060899712171517,0.153347493695281
0.065,0.33521650002645637,0.2012248664413827,0.15108961149830719
0.07,0.319478400191523,0.19585125318384744,0.1485729379535516
0.075,0.30297138006684465,0.18995988692884558,0.1457817096462299
0.08,0.28580873778485294,0.1835748404536984,0.1427122384726162
0.085,0.2682032808145922,0.1767651242967014,0.1393799783533499
0.09,0.2504785878386765,0.16965229980782304,0.13582605972281314
0.095,0.2330524073007759,0.1624040353937949,0.13211227131028613
0.1,0.2163673370942329,0.15520530255471837,0.1283087166497829
0.105,0.20080141030430276,0.1482197478817749,0.12448001022015318
0.11,0.1865938583845507,0.14155889360606494,0.12066812632808097
0.115,0.17381089242473638,0.1352652080007078,0.11688588625527131
0.12,0.16236742475226282,0.12931752445455455,0.11311749918050884
0.125,0.15207305106579747,0.12364371196550711,0.10932073019992868
0.13,0.14268651787063752,0.11814098462253389,0.10543663026790638
0.135,0.13395111757668762,0.11268947119032056,0.10139045967212808
0.14,0.1256180669274471,0.1071619052140961,0.09709866018226179
0.145,0.11746014789136497,0.10143162859984216,0.09247285081196055
0.15,0.10928819403975122,0.09538911101273566,0.08743387583070321
0.155,0.10095656620019784,0.08894926109509733,0.08191971579851323
0.16,0.09237458262530641,0.08206296057782503,0.07589924182328378
0.165,0.08351426190051726,0.0747336200530526,0.06938282491137494
0.17,0.07441802408655183,0.06701935384403172,0.06243401981508829
0.17500000000000002,0.06519744508172066,0.0590412897000408,0.05517211652202953
0.18,0.056022134256248336,0.050972914343979034,0.047765574617338206
0.185,0.047102738330404195,0.043025644897167876,0.040419312551111475
0.19,0.03866354717241077,0.03542472465182456,0.03335195528954774
0.195,0.030916664155157786,0.028383999873534915,0.026773145905796897
0.2,0.02402936284902553,0.022075870180813376,0.020854450072835543
0.20500000000000002,0.018110059099670353,0.016620168795326094,0.015716723460118265
0.21,0.013197982506541271,0.01206734547844253,0.011416020048846998
0.215,0.009269003652788436,0.008410650298246787,0.00795559492828199
0.22,0.006246474590380627,0.005590030145160553,0.005284624907236518
0.225,0.0040221926277310355,0.0035128437331458946,0.0033210195779443865
0.23,0.0024672038962997183,0.0020641190816678835,0.001958299274489432
0.23500000000000001,0.0014458305463812978,0.0011188104063076041,0.0010768483712548596
0.24,0.0008239638433882297,0.000550364469272099,0.0005535672748648536
0.245,0.0004797529887500089,0.00024113704448612007,0.0002745029658989031
0.25,0.0003106572529321133,9.206027202512249e-05,0.00014419064327741038
0.255,0.00023723634274242994,3.101116862880657e-05,9.144361048334012e-05
0.26,0.0002108949257422402,8.129474531649152e-06,7.381657601521639e-05
0.265,0.000201806061485192,1.3473967741276472e-06,6.774790747326469e-05
0.27,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.275,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.28,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.28500000000000003,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.29,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.295,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.3,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.305,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.31,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.315,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.32,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.325,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.33,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.335,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.34,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.34500000000000003,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.35000000000000003,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.355,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.36,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.365,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.37,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.375,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.38,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.385,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.39,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
0.395,0.00019999999999999998,-5.5326798907675946e-21,6.666666666666591e-05
