epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,output_4_loss,output_4_mean_absolute_error,output_4_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error,val_output_4_loss,val_output_4_mean_absolute_error,val_output_4_mean_squared_error
0,0.29349562525749207,0.0053976718336343765,0.04303520545363426,0.0053976718336343765,0.00032337731681764126,0.23533658683300018,0.073829285800457,0.073829285800457,0.23533658683300018,0.073829285800457,2.013763904571533,1.3350127935409546,2.013763666152954,0.031150156632065773,0.0016150205628946424,0.03278075531125069,0.0016150205628946424,6.851172407174033e-10,0.21301326155662537,0.059542734175920486,0.059542734175920486,0.21301326155662537,0.059542734175920486,2.0214123725891113,1.3379682302474976,2.0214123725891113
1,0.007298546377569437,0.0013664711732417345,0.027195852249860764,0.0013664711732417345,1.3121614017563843e-07,0.23320873081684113,0.07078936696052551,0.07078936696052551,0.23320873081684113,0.07078936696052551,2.007568359375,1.3343373537063599,2.007568359375,0.006014168728142977,0.004979684483259916,0.052547696977853775,0.004979684483259916,8.909259441303163e-11,0.23485548794269562,0.07531731575727463,0.07531731575727463,0.23485548794269562,0.07531731575727463,2.0002388954162598,1.330201268196106,2.0002388954162598
2,0.002001152141019702,0.0011281814659014344,0.02399636059999466,0.0011281814659014344,3.0824920393968114e-09,0.23308883607387543,0.07069173455238342,0.07069173455238342,0.23308883607387543,0.07069173455238342,2.0063438415527344,1.3339064121246338,2.0063438415527344,0.0021048374474048615,0.0014031094033271074,0.020709652453660965,0.0014031094033271074,5.335740183021187e-10,0.24796417355537415,0.07981850951910019,0.07981850951910019,0.24796417355537415,0.07981850951910019,2.015554189682007,1.3417364358901978,2.015554189682007
3,0.001637931913137436,0.0009528719238005579,0.021773869171738625,0.0009528719238005579,1.908639468695128e-09,0.23321419954299927,0.07068604230880737,0.07068604230880737,0.23321419954299927,0.07068604230880737,2.0061166286468506,1.3338721990585327,2.0061163902282715,0.0031717608217149973,0.0025978086050599813,0.03466756269335747,0.002597808139398694,0.0,0.24414470791816711,0.07947716116905212,0.07947716116905212,0.24414470791816711,0.07947716116905212,1.9962716102600098,1.3271598815917969,1.9962716102600098
4,0.0012843884760513902,0.0007631834014318883,0.019584789872169495,0.0007631834014318883,6.762697815988533e-16,0.23342102766036987,0.0707678496837616,0.0707678496837616,0.23342102766036987,0.0707678496837616,2.006333589553833,1.3340767621994019,2.006333589553833,0.002719076117500663,0.0022755295503884554,0.03581850230693817,0.0022755295503884554,0.0,0.24909505248069763,0.08275057375431061,0.08275057375431061,0.24909505248069763,0.08275057375431061,1.9268243312835693,1.3034344911575317,1.9268243312835693
5,0.0010750852525234222,0.0006478682043962181,0.017963241785764694,0.000647868262603879,0.0,0.23353593051433563,0.0708286240696907,0.0708286240696907,0.23353593051433563,0.0708286240696907,2.0064194202423096,1.334265947341919,2.0064194202423096,0.0027165242936462164,0.002290222095325589,0.034223053604364395,0.002290222328156233,0.0,0.23565465211868286,0.07437564432621002,0.07437564432621002,0.23565465211868286,0.07437564432621002,1.9442700147628784,1.3056226968765259,1.9442700147628784
6,0.0009684724500402808,0.000592560158111155,0.01711306720972061,0.000592560158111155,6.82274133464143e-16,0.23355843126773834,0.07085805386304855,0.07085806131362915,0.23355843126773834,0.07085805386304855,2.006446361541748,1.3343842029571533,2.006446361541748,0.0015561410691589117,0.0011980838607996702,0.022554675117135048,0.0011980838607996702,0.0,0.24107874929904938,0.07568968087434769,0.07568968087434769,0.24107874929904938,0.07568968087434769,2.0388636589050293,1.34869384765625,2.0388636589050293
7,0.0009193355799652636,0.0005734550068154931,0.016743997111916542,0.0005734550068154931,1.797217778583466e-15,0.23360410332679749,0.07089322805404663,0.07089322805404663,0.23360410332679749,0.07089322805404663,2.0064566135406494,1.3344392776489258,2.0064566135406494,0.0026822465006262064,0.0023531620390713215,0.034535352140665054,0.0023531620390713215,0.0,0.22205817699432373,0.06478164345026016,0.06478164345026016,0.22205817699432373,0.06478164345026016,2.0497443675994873,1.3513540029525757,2.0497443675994873
8,0.0008981149876490235,0.000568669056519866,0.016620542854070663,0.000568669056519866,0.0,0.2335973083972931,0.07089024037122726,0.07089024037122726,0.2335973083972931,0.07089024037122726,2.0064985752105713,1.334473729133606,2.006498336791992,0.0061126574873924255,0.005788311827927828,0.05628429725766182,0.005788311827927828,2.7749678148733655e-15,0.21404381096363068,0.06346197426319122,0.06346197426319122,0.21404381096363068,0.06346197426319122,2.053703784942627,1.3503657579421997,2.053703784942627
9,0.0008775710011832416,0.00055950932437554,0.016432685777544975,0.00055950932437554,1.4266654016454006e-16,0.23359139263629913,0.07088238000869751,0.07088238000869751,0.23359139263629913,0.07088238000869751,2.0064656734466553,1.3344898223876953,2.0064656734466553,0.0019617509096860886,0.001645394484512508,0.031842783093452454,0.001645394484512508,0.0,0.22480632364749908,0.06556336581707001,0.06556336581707001,0.22480632364749908,0.06556336581707001,2.088059902191162,1.3655561208724976,2.088059902191162
