"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1447,0.00051914,0.0010103,0.00031398,9.9943e-05,-2.4271e-08,3.1537e-08,1,0.13011,0.908,-0.908,0
-1.1447,0.00049298,0.0010661,0.00031397,9.994e-05,-2.6045e-08,3.3857e-08,1,0.13294,0.906,-0.906,0
-1.1447,0.0005158,0.0011042,0.00031396,9.9938e-05,-2.6915e-08,3.7926e-08,1,0.13576,0.904,-0.904,0
-1.1447,0.00058761,0.0011247,0.00031396,9.9937e-05,-2.6882e-08,4.3744e-08,1,0.13859,0.902,-0.902,0
-1.1447,0.0007084,0.0011275,0.00031396,9.9938e-05,-2.5945e-08,5.1311e-08,1,0.14142,0.9,-0.9,0
-1.1447,0.00056978,0.0010213,0.00031398,9.9944e-05,-2.2466e-08,4.3523e-08,1,0.14425,0.898,-0.898,0
-1.1447,0.00046237,0.0009174,0.000314,9.9949e-05,-1.8635e-08,3.7254e-08,1,0.14708,0.896,-0.896,0
-1.1447,0.00038618,0.00081576,0.00031401,9.9953e-05,-1.4453e-08,3.2503e-08,1,0.14991,0.894,-0.894,0
-1.1447,0.00034121,0.00071639,0.00031402,9.9954e-05,-9.919e-09,2.9271e-08,1,0.15274,0.892,-0.892,0
-1.1447,0.00032745,0.0006193,0.00031402,9.9955e-05,-5.0335e-09,2.7557e-08,1,0.15556,0.89,-0.89,0
-1.1447,0.00026558,0.00072983,0.000314,9.995e-05,-1.2694e-08,2.5195e-08,1,0.15839,0.888,-0.888,0
-1.1447,0.00026604,0.00082815,0.00031399,9.9945e-05,-1.8473e-08,2.5693e-08,1,0.16122,0.886,-0.886,0
-1.1447,0.00032883,0.00091427,0.00031397,9.994e-05,-2.2372e-08,2.9052e-08,1,0.16405,0.884,-0.884,0
-1.1447,0.00045393,0.00098818,0.00031396,9.9936e-05,-2.439e-08,3.5271e-08,1,0.16688,0.882,-0.882,0
-1.1447,0.00064136,0.0010499,0.00031395,9.9932e-05,-2.4527e-08,4.435e-08,1,0.16971,0.88,-0.88,0
-1.1447,0.00051382,0.00098538,0.00031397,9.9939e-05,-2.1827e-08,4.0027e-08,1,0.17253,0.878,-0.878,0
-1.1447,0.00042497,0.0009021,0.00031399,9.9945e-05,-1.8432e-08,3.5971e-08,1,0.17536,0.876,-0.876,0
-1.1447,0.00037481,0.00080005,0.000314,9.9951e-05,-1.4344e-08,3.2183e-08,1,0.17819,0.874,-0.874,0
-1.1447,0.00036333,0.00067924,0.00031402,9.9956e-05,-9.5616e-09,2.8662e-08,1,0.18102,0.872,-0.872,0
-1.1447,0.00039053,0.00053966,0.00031403,9.996e-05,-4.0851e-09,2.5409e-08,1,0.18385,0.87,-0.87,0
-1.1447,0.00031575,0.00040878,0.00031405,9.9964e-05,-4.5898e-09,1.9037e-08,1,0.18668,0.868,-0.868,0
-1.1447,0.00029766,0.00025654,0.00031406,9.9967e-05,-3.8058e-09,1.5082e-08,1,0.1895,0.866,-0.866,0
-1.1447,0.00033627,8.2911e-05,0.00031406,9.9968e-05,-1.7329e-09,1.3545e-08,1,0.19233,0.864,-0.864,0
-1.1447,0.00043157,-0.00011209,0.00031406,9.9968e-05,1.6288e-09,1.4427e-08,1,0.19516,0.862,-0.862,0
-1.1447,0.00058358,-0.00032847,0.00031405,9.9967e-05,6.2792e-09,1.7726e-08,1,0.19799,0.86,-0.86,0
-1.1447,0.00041006,-0.00026502,0.00031408,9.9974e-05,2.7533e-09,1.2842e-08,1,0.20082,0.858,-0.858,0
-1.1447,0.00026051,-0.00023498,0.00031409,9.998e-05,8.8421e-10,9.0791e-09,1,0.20365,0.856,-0.856,0
-1.1447,0.00013492,-0.00023835,0.0003141,9.9982e-05,6.7199e-10,6.4375e-09,1,0.20648,0.854,-0.854,0
-1.1447,3.3291e-05,-0.00027514,0.00031411,9.9983e-05,2.1166e-09,4.9174e-09,1,0.2093,0.852,-0.852,0
-1.1447,-4.4372e-05,-0.00034534,0.0003141,9.9981e-05,5.2181e-09,4.5187e-09,1,0.21213,0.85,-0.85,0
-1.1447,-3.4268e-05,-0.00013639,0.00031411,9.9983e-05,-6.7244e-10,4.9605e-09,1,0.21496,0.848,-0.848,0
-1.1447,-1.1824e-05,1.3814e-05,0.00031411,9.9984e-05,-4.4956e-09,5.5977e-09,1,0.21779,0.846,-0.846,0
-1.1447,2.2961e-05,0.00010529,0.00031411,9.9984e-05,-6.2514e-09,6.4305e-09,1,0.22062,0.844,-0.844,0
-1.1447,7.0084e-05,0.00013804,0.00031411,9.9984e-05,-5.9399e-09,7.4587e-09,1,0.22345,0.842,-0.842,0
-1.1447,0.00012955,0.00011205,0.00031411,9.9983e-05,-3.561e-09,8.6823e-09,1,0.22627,0.84,-0.84,0
-1.1447,6.7623e-05,0.00011002,0.00031411,9.9986e-05,-3.2656e-09,6.0013e-09,1,0.2291,0.838,-0.838,0
-1.1447,2.7895e-05,0.00010022,0.00031412,9.9988e-05,-3.1538e-09,4.4176e-09,1,0.23193,0.836,-0.836,0
-1.1447,1.0362e-05,8.265e-05,0.00031413,9.9989e-05,-3.2255e-09,3.931e-09,1,0.23476,0.834,-0.834,0
-1.1447,1.5026e-05,5.7312e-05,0.00031413,9.9991e-05,-3.4808e-09,4.5415e-09,1,0.23759,0.832,-0.832,0
-1.1447,4.1886e-05,2.4204e-05,0.00031413,9.9991e-05,-3.9198e-09,6.2494e-09,1,0.24042,0.83,-0.83,0
-1.1447,8.2119e-06,-5.2532e-07,0.00031414,9.9995e-05,-3.4042e-09,5.8448e-09,1,0.24324,0.828,-0.828,0
-1.1447,-4.9934e-05,-1.8238e-05,0.00031415,9.9996e-05,-3.0962e-09,4.1783e-09,1,0.24607,0.826,-0.826,0
-1.1447,-0.00013255,-2.8932e-05,0.00031414,9.9995e-05,-2.9959e-09,1.25e-09,1,0.2489,0.824,-0.824,0
-1.1447,-0.00023963,-3.2609e-05,0.00031414,9.9993e-05,-3.1032e-09,-2.9402e-09,1,0.25173,0.822,-0.822,0
-1.1447,-0.00037119,-2.9269e-05,0.00031412,9.9988e-05,-3.4183e-09,-8.3923e-09,1,0.25456,0.82,-0.82,0
-1.1447,-0.00019711,-8.4533e-05,0.00031412,9.9987e-05,-7.2103e-10,-4.0799e-09,1,0.25739,0.818,-0.818,0
-1.1447,-4.4903e-05,-0.00010171,0.00031412,9.9986e-05,8.7286e-10,-7.5796e-10,1,0.26022,0.816,-0.816,0
-1.1447,8.5411e-05,-8.0815e-05,0.00031412,9.9988e-05,1.3633e-09,1.5733e-09,1,0.26304,0.814,-0.814,0
-1.1447,0.00019385,-2.1831e-05,0.00031413,9.999e-05,7.5037e-10,2.9141e-09,1,0.26587,0.812,-0.812,0
-1.1447,0.00028039,7.5233e-05,0.00031414,9.9993e-05,-9.6594e-10,3.2643e-09,1,0.2687,0.81,-0.81,0
-1.1447,0.00019014,5.7596e-05,0.00031415,9.9996e-05,-3.192e-10,1.5552e-09,1,0.27153,0.808,-0.808,0
-1.1447,0.00012252,5.9444e-05,0.00031416,9.9999e-05,-2.8124e-10,3.6096e-10,1,0.27436,0.806,-0.806,0
-1.1447,7.7547e-05,8.0777e-05,0.00031416,0.0001,-8.5206e-10,-3.184e-10,1,0.27719,0.804,-0.804,0
-1.1447,5.5212e-05,0.0001216,0.00031416,0.0001,-2.0317e-09,-4.8288e-10,1,0.28001,0.802,-0.802,0
-1.1447,5.5518e-05,0.0001819,0.00031416,9.9999e-05,-3.8201e-09,-1.3247e-10,1,0.28284,0.8,-0.8,0
-1.1447,3.789e-05,0.00011335,0.00031416,9.9999e-05,-2.3692e-09,4.7594e-10,1,0.28567,0.798,-0.798,0
