date;2023-06-24
git_version;8a7dcf210bab04d32d3d8050dc7205a38f184a31
sampling;2
batch;256
curriculum;1
degree;2
epoch;1000
folder;Harmonic_Mk11_M2_2D_gamma3
loadModel;1
model;11
normalized moments;True
decorrelate inputs;True
scaled outputs;False
objective;2
processingmode;1
spatial Dimension;2
verbosity;2
training;1
network width;350
network depth;3
