epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,1.3822489976882935,0.7070643305778503,0.18989990651607513,0.7070643305778503,0.4604223668575287,0.4370400309562683,0.4604223668575287,0.004459337331354618,0.03444939851760864,0.004459336865693331,0.28588926792144775,0.002786192111670971,0.041828665882349014,0.002786192111670971,0.07652530074119568,0.1807997226715088,0.07652530074119568,0.0005696506123058498,0.01499919779598713,0.0005696506123058498
1,0.2813199758529663,0.010170522145926952,0.07831614464521408,0.010170522145926952,0.07706905901432037,0.18723347783088684,0.07706905901432037,0.00025190142332576215,0.010781126096844673,0.0002519014524295926,0.2670559287071228,0.016662800684571266,0.12471088767051697,0.016662800684571266,0.07285855710506439,0.19219836592674255,0.07285855710506439,0.0001926887925947085,0.009793912060558796,0.0001926887925947085
2,0.21351538598537445,0.00579227227717638,0.058516111224889755,0.00579227227717638,0.055017534643411636,0.1538877785205841,0.055017534643411636,0.00014214862312655896,0.008252634666860104,0.0001421486376784742,0.20778949558734894,0.01013968512415886,0.09329703450202942,0.01013968512415886,0.07246338576078415,0.19191652536392212,0.07246338576078415,0.00021714408649131656,0.011333710514008999,0.00021714410104323179
3,0.1474183350801468,0.004300616215914488,0.05108770728111267,0.004300616215914488,0.044466253370046616,0.1359550505876541,0.044466253370046616,9.8774915386457e-05,0.00705441739410162,9.8774915386457e-05,0.13962124288082123,0.0012088143266737461,0.026984043419361115,0.0012088143266737461,0.06215973570942879,0.16802670061588287,0.06215973570942879,0.00010230641055386513,0.008016280829906464,0.00010230641055386513
4,0.10408390313386917,0.0031587863340973854,0.04382668063044548,0.0031587863340973854,0.03710780665278435,0.12242534011602402,0.03710780665278435,7.440484478138387e-05,0.006164243910461664,7.440484478138387e-05,0.08312614262104034,0.0013463578652590513,0.033411744982004166,0.0013463578652590513,0.026657070964574814,0.09576834738254547,0.026657070964574814,4.094419637112878e-05,0.004777282476425171,4.094419637112878e-05
5,0.08642052859067917,0.0024441091809421778,0.03807804733514786,0.0024441091809421778,0.03319372236728668,0.11422005295753479,0.03319372236728668,6.0266233049333096e-05,0.005572839640080929,6.026622941135429e-05,0.06960704922676086,0.001972232712432742,0.042748529464006424,0.001972232712432742,0.02058258280158043,0.08701721578836441,0.02058258280158043,2.4413337087025866e-05,0.0036007296293973923,2.4413337087025866e-05
6,0.07711569219827652,0.00227326899766922,0.036347538232803345,0.00227326899766922,0.02994426153600216,0.10746360570192337,0.02994426153600216,4.903592707705684e-05,0.005037667229771614,4.9035934353014454e-05,0.05921494960784912,0.0024729652795940638,0.0491829477250576,0.0024729652795940638,0.014021050184965134,0.06928643584251404,0.014021050184965134,1.5126086509553716e-05,0.0027867541648447514,1.5126086509553716e-05
7,0.0723297968506813,0.0019378146389499307,0.03267248347401619,0.0019378146389499307,0.028922881931066513,0.10471771657466888,0.028922881931066513,4.831643309444189e-05,0.004910796880722046,4.831643309444189e-05,0.08120814710855484,0.0006699804798699915,0.02065279521048069,0.0006699804798699915,0.04026918485760689,0.13222423195838928,0.04026918485760689,4.878245817963034e-05,0.005630499683320522,4.878245817963034e-05
8,0.06775984913110733,0.0016952890437096357,0.029356148093938828,0.0016952890437096357,0.02700103260576725,0.1010008454322815,0.02700103260576725,4.247401375323534e-05,0.00468234159052372,4.247401375323534e-05,0.1124352440237999,0.000819286098703742,0.02248133346438408,0.000819286098703742,0.07345156371593475,0.18886931240558624,0.07345156371593475,8.269192767329514e-05,0.007537044584751129,8.269192767329514e-05
9,0.06475338339805603,0.001212853705510497,0.026714598760008812,0.001212853705510497,0.026257911697030067,0.09946415573358536,0.026257911697030067,3.9067428588168696e-05,0.004510934930294752,3.90674322261475e-05,0.05657569691538811,0.00028016630676575005,0.013738417066633701,0.00028016630676575005,0.0199196208268404,0.09033037722110748,0.0199196208268404,2.6422512746648863e-05,0.0040352195501327515,2.6422514565638267e-05
