gamma, h, alpha, u
0,0.0001194920611548,0.040520938113331746,4.732139617165861e-05
0.001,3.5005465785313085e-05,0.009214542030046352,1.552306639496237e-05
0.01,7.12001580419989e-06,0.00036130344960831666,1.402030458545293e-06
0.1,8.251837546898363e-06,2.0376761616110645e-05,7.209523099997265e-07
gamma, h-std, alpha-std, u-std
0,2.488756519934498e-05,0.002789547478816188,6.507067472989574e-06
0.001,7.439625099128776e-06,0.001054431391285702,2.4724101955039643e-06
0.01,1.5982162117267846e-06,0.00010016000033983484,4.797816752470903e-07
0.1,6.917850437433756e-06,5.260318795237864e-06,2.2672248610560476e-07
