gamma, h, alpha, u
0,0.0001650284151158,0.08070080851515128,9.889819678692904e-05
0.001,0.00011227314462301705,0.020018369890749402,2.697878214045583e-05
0.01,1.0100994586537126e-05,0.0007934906170702833,2.761311293397739e-06
0.1,8.870778401615098e-06,4.399292568753784e-05,1.46252013640454e-06
gamma, h-std, alpha-std, u-std
0,1.9441060932944704e-05,0.011933539056799483,5.2474470376239586e-06
0.001,2.1076295733737022e-05,0.002781886021532058,5.352970561003855e-06
0.01,1.991569190915853e-06,0.00011123234446546976,4.5290765780679e-07
0.1,1.2376960109367464e-06,7.937000266628442e-06,2.334508427749355e-07
