gamma, h, alpha, u
0,5.0017470736444615e-05,0.16000761091709134,1.2641245272485927e-05
0.001,6.000566221094535e-05,0.0671194909761349,1.3957217106508324e-05
0.01,0.00017901656974564999,0.012110773318757567,3.571400884538889e-05
0.1,0.0007754983089398168,0.0027933610059941334,0.00010103682870975983
gamma, h-std, alpha-std, u-std
0,4.062563551753673e-06,0.08866466282594021,1.114763373153108e-06
0.001,5.189606563648894e-06,0.07222024255947018,3.4211887489885986e-07
0.01,1.2583791867165233e-05,0.0005926303992936763,2.1364290155121592e-06
0.1,9.069073503284029e-05,0.00020025396045268254,8.131055531232833e-06
