gamma, h, alpha, u
0,3.225563068554038e-05,0.03308228341241673,1.0405084746404706e-05
0.001,2.5582663207994e-05,0.010448428026090001,9.447707649693863e-06
0.01,4.406657656848741e-05,0.0037019573307285167,1.2865513629852407e-05
0.1,0.00015077371790535004,0.00120685798659295,4.517080196819734e-05
gamma, h-std, alpha-std, u-std
0,3.426896483906792e-06,0.0012214815682064118,4.849842962704799e-07
0.001,1.6556723163006821e-06,0.0007537266345112133,1.1811442500044033e-06
0.01,7.649674599370623e-06,0.0003169201620903278,1.3423408530875602e-06
0.1,9.973989910005737e-06,0.00010824493741932472,3.906900825185764e-06
