gamma, h, alpha, u
0,1.4906787782820174e-05,0.004385364319508233,4.75505945966385e-06
0.001,1.381852295404921e-05,0.0023933085224901,4.014713946768704e-06
0.01,1.0870362378530748e-05,0.0007814043783582334,3.924102694933633e-06
0.1,2.9797871017459936e-05,0.0003698713893147833,1.641863521702665e-05
gamma, h-std, alpha-std, u-std
0,2.334055096847558e-06,0.00010488294201600009,6.921183651465433e-07
0.001,8.241268916194557e-07,0.0001006217447802583,2.3113454222307766e-07
0.01,1.683709509711258e-06,5.661240025808499e-05,5.220401586657287e-07
0.1,3.1326140829219576e-06,1.5195297558434047e-05,8.842012763972666e-07
