date;2023-06-23
git_version;fdef10c0ee3ed84706b4123b6215e89ed6e88455
sampling;2
batch;32
curriculum;1
degree;2
epoch;20
folder;Harmonic_Mk11_M2_2D_gamma0
loadModel;0
model;11
normalized moments;True
decorrelate inputs;True
scaled outputs;False
objective;0
processingmode;1
spatial Dimension;2
verbosity;2
training;1
network width;350
network depth;3
