date;2023-06-25
git_version;ff773545ab771879c5a67a6e3f767707b06ad1e5
sampling;2
batch;128
curriculum;1
degree;2
epoch;30
folder;Harmonic_Mk11_M2_2D_gamma0
loadModel;1
model;11
normalized moments;True
decorrelate inputs;False
scaled outputs;False
objective;1
processingmode;1
spatial Dimension;2
verbosity;2
training;1
network width;350
network depth;3
