epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,36.01698303222656,0.4787048399448395,0.42737117409706116,0.4787048399448395,28.118473052978516,4.239107608795166,28.118473052978516,0.7396392226219177,0.7260254621505737,0.7396392226219177,7.272188186645508,0.04398601874709129,0.16778059303760529,0.04398601874709129,7.162841796875,1.8956791162490845,7.162841796875,0.004569532349705696,0.045818720012903214,0.004569532349705696
1,35.59946060180664,0.0662069171667099,0.20364005863666534,0.0662069171667099,28.11855697631836,4.239104270935059,28.11855697631836,0.7396396994590759,0.7260247468948364,0.7396396994590759,6.860182285308838,0.039663009345531464,0.15756000578403473,0.039663009345531464,6.765778064727783,1.8183876276016235,6.765778064727783,0.003814505413174629,0.04307989403605461,0.003814505646005273
2,35.59640121459961,0.06490445137023926,0.20162653923034668,0.06490445137023926,28.1185302734375,4.239105224609375,28.1185302734375,0.7396403551101685,0.7260246276855469,0.7396403551101685,6.0320587158203125,0.09418521821498871,0.2527065575122833,0.09418521821498871,5.892187595367432,1.640944480895996,5.892187595367432,0.0030165910720825195,0.041425347328186035,0.0030165910720825195
3,35.59162139892578,0.060527361929416656,0.19444240629673004,0.060527361929416656,28.118541717529297,4.239104270935059,28.118541717529297,0.7396391034126282,0.7260257005691528,0.7396391034126282,6.02197265625,0.2605035603046417,0.4540156126022339,0.2605035603046417,5.721896171569824,1.619248390197754,5.721896171569824,0.0024142651818692684,0.03651612997055054,0.0024142649490386248
4,35.587642669677734,0.056947749108076096,0.1880618929862976,0.056947749108076096,28.118549346923828,4.239110469818115,28.118549346923828,0.7396410703659058,0.7260258793830872,0.7396410703659058,8.885377883911133,0.836322009563446,0.8067975044250488,0.836322009563446,7.990031719207764,2.0434820652008057,7.990031719207764,0.004313577897846699,0.05176466330885887,0.004313577897846699
5,35.579227447509766,0.04977427423000336,0.17592008411884308,0.04977427423000336,28.118566513061523,4.239100933074951,28.118566513061523,0.739639401435852,0.7260255813598633,0.739639401435852,8.464770317077637,0.8881058692932129,0.8745309114456177,0.8881058692932129,7.520388126373291,1.9925165176391602,7.520388126373291,0.004262670408934355,0.04928773269057274,0.004262670408934355
6,35.57398223876953,0.04573427140712738,0.16860580444335938,0.04573427140712738,28.118534088134766,4.239112377166748,28.118534088134766,0.7396404147148132,0.7260250449180603,0.7396404147148132,8.902152061462402,0.5693527460098267,0.5847745537757874,0.5693527460098267,8.208963394165039,2.090711832046509,8.208963394165039,0.011119659058749676,0.07474295049905777,0.011119659058749676
7,35.57185745239258,0.04469064623117447,0.16656798124313354,0.04469064623117447,28.11854362487793,4.239108085632324,28.11854362487793,0.7396408915519714,0.7260260581970215,0.7396408915519714,80075.2421875,10.159727096557617,3.0686044692993164,10.159727096557617,12.376099586486816,2.5112977027893066,12.376099586486816,8005.2685546875,8.16905689239502,8005.2685546875
8,35.56865692138672,0.042249444872140884,0.16196131706237793,0.042249444872140884,28.11850929260254,4.239102363586426,28.11850929260254,0.7396407723426819,0.7260257601737976,0.7396407723426819,535255.0,26.774436950683594,4.991262912750244,26.774436950683594,17.275314331054688,2.7915990352630615,17.275314331054688,53521.07421875,33.8827018737793,53521.07421875
9,35.56904983520508,0.0429193377494812,0.16347284615039825,0.0429193377494812,28.118513107299805,4.239106178283691,28.118513107299805,0.7396391034126282,0.7260252237319946,0.7396391034126282,19.69693946838379,11.71817398071289,3.2965891361236572,11.71817398071289,7.849850177764893,2.0936341285705566,7.849850177764893,0.011791699565947056,0.07893569022417068,0.011791699565947056
10,35.56871032714844,0.042747143656015396,0.16334927082061768,0.042747143656015396,28.1185245513916,4.239109516143799,28.1185245513916,0.7396395802497864,0.7260260581970215,0.7396395802497864,12.461126327514648,1.154759168624878,0.9977618455886841,1.154759168624878,11.14664077758789,2.4875924587249756,11.14664077758789,0.014894690364599228,0.08987244963645935,0.014894690364599228
11,35.567447662353516,0.041719239205121994,0.16165289282798767,0.041719239205121994,28.1185359954834,4.239104747772217,28.1185359954834,0.7396398186683655,0.7260260581970215,0.7396398186683655,1434735616.0,51.37053680419922,6.62581205368042,51.37053680419922,37.8819580078125,4.077177047729492,37.8819580078125,143473600.0,2448.6416015625,143473584.0
12,35.56741714477539,0.041890617460012436,0.161690354347229,0.041890617460012436,28.11849594116211,4.239109039306641,28.11849594116211,0.7396407723426819,0.7260252237319946,0.7396407127380371,22.78133201599121,5.056823253631592,1.847299337387085,5.056823253631592,16.60567283630371,3.0017549991607666,16.60567283630371,0.11083902418613434,0.14158259332180023,0.11083900183439255
13,35.56753921508789,0.042227841913700104,0.16276736557483673,0.042227841913700104,28.11853790283203,4.23910665512085,28.11853790283203,0.7396396398544312,0.7260250449180603,0.7396396398544312,40.30937194824219,31.979019165039062,5.5630950927734375,31.979019165039062,8.1892671585083,2.1122241020202637,8.1892671585083,0.013100682757794857,0.08279263973236084,0.013100682757794857
14,35.56669235229492,0.04158593714237213,0.16101014614105225,0.04158593714237213,28.11856460571289,4.239102840423584,28.11856460571289,0.7396409511566162,0.7260259985923767,0.7396409511566162,250.15078735351562,236.81039428710938,15.261612892150879,236.81039428710938,13.008923530578613,2.6476128101348877,13.008923530578613,0.032125379890203476,0.136714905500412,0.032125379890203476
