date;2023-06-21
git_version;0f81a4ab64c8185d7045ff53d15734aba06afa64
sampling;2
batch;32
curriculum;1
degree;1
epoch;20
folder;Harmonic_Mk11_M1_2D_gamma2
loadModel;1
model;11
normalized moments;True
decorrelate inputs;True
scaled outputs;False
objective;0
processingmode;1
spatial Dimension;2
verbosity;2
training;1
network width;350
network depth;3
