epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,0.49747660756111145,0.46032270789146423,0.49580931663513184,0.46032270789146423,15.929038047790527,3.1892712116241455,15.929038047790527,0.6471669673919678,0.671707272529602,0.6471669673919678,0.08064352720975876,0.06108434125781059,0.19718705117702484,0.06108434125781059,2.511772871017456,1.085123062133789,2.511772871017456,5.085400581359863,1.808772325515747,5.085400581359863
1,0.28355124592781067,0.26648184657096863,0.40409719944000244,0.26648184657096863,15.929141998291016,3.1892757415771484,15.929141998291016,0.6471667885780334,0.6717108488082886,0.6471667885780334,0.09752348810434341,0.08370698988437653,0.2572415769100189,0.08370698988437653,2.0527663230895996,0.9448820352554321,2.0527663230895996,5.518443584442139,1.898229956626892,5.518443584442139
2,0.2686958909034729,0.25471213459968567,0.3948618769645691,0.25471213459968567,15.929166793823242,3.189279556274414,15.929166793823242,0.6471669673919678,0.671710193157196,0.6471669673919678,1.6079171895980835,1.59395170211792,1.2328822612762451,1.59395170211792,1.6828272342681885,0.8531686663627625,1.6828272342681885,8.010254859924316,2.2964940071105957,8.010254859924316
3,0.26312369108200073,0.24900849163532257,0.39029738306999207,0.24900849163532257,15.929139137268066,3.189269542694092,15.929139137268066,0.647165834903717,0.671709418296814,0.647165834903717,5.088629245758057,5.074552059173584,2.2352793216705322,5.074552059173584,1.7506626844406128,0.8741294741630554,1.7506626844406128,7.532538890838623,2.2520864009857178,7.532538890838623
4,0.2650943696498871,0.25073179602622986,0.3914128839969635,0.25073179602622986,15.9291410446167,3.189268112182617,15.9291410446167,0.6471665501594543,0.6717105507850647,0.6471665501594543,3.8115015029907227,3.7971303462982178,1.9328500032424927,3.7971303462982178,1.7911064624786377,0.8970749974250793,1.7911064624786377,6.548144340515137,2.0990164279937744,6.548144340515137
5,0.26186323165893555,0.2477952539920807,0.38899654150009155,0.2477952539920807,15.92906379699707,3.1892800331115723,15.92906379699707,0.6471670866012573,0.6717101335525513,0.6471670866012573,4.4675374031066895,4.453778266906738,2.075117588043213,4.453778266906738,2.3628032207489014,1.0545117855072021,2.3628032207489014,5.068641662597656,1.8075180053710938,5.068641662597656
6,0.26114320755004883,0.2477894425392151,0.3895222842693329,0.2477894425392151,15.92908000946045,3.189272403717041,15.92908000946045,0.6471644043922424,0.6717113852500916,0.6471644043922424,0.11832425743341446,0.10533341020345688,0.23431174457073212,0.10533341020345688,1.8548940420150757,0.8988054394721985,1.8548940420150757,6.685864448547363,2.125126361846924,6.685864448547363
7,0.25908422470092773,0.2463202327489853,0.38921692967414856,0.2463202327489853,15.929092407226562,3.1892707347869873,15.929092407226562,0.647164523601532,0.6717131733894348,0.647164523601532,10.328070640563965,10.315484046936035,3.197061538696289,10.315484046936035,1.431693434715271,0.7998071312904358,1.431693434715271,8.145835876464844,2.342489719390869,8.145835876464844
8,0.2568896412849426,0.24447418749332428,0.38729408383369446,0.24447418749332428,15.929122924804688,3.1892712116241455,15.929122924804688,0.647165834903717,0.6717100739479065,0.647165834903717,6.052839279174805,6.040492057800293,2.4391329288482666,6.040492057800293,1.9921724796295166,0.9359340667724609,1.9921724796295166,5.995502948760986,2.012094020843506,5.995502948760986
9,0.2576137185096741,0.24541448056697845,0.38787978887557983,0.24541448056697845,15.929034233093262,3.189284563064575,15.929034233093262,0.6471637487411499,0.6717138886451721,0.6471637487411499,2.0903031826019287,2.078214645385742,1.4150254726409912,2.078214645385742,2.040072441101074,0.9554940462112427,2.040072441101074,5.066112041473389,1.8176177740097046,5.066112041473389
10,0.2577885687351227,0.24583081901073456,0.3882980942726135,0.24583081901073456,15.9291353225708,3.189279556274414,15.9291353225708,0.6471642255783081,0.6717125773429871,0.6471642255783081,2.0758213996887207,2.0638790130615234,1.4204624891281128,2.0638790130615234,1.5274966955184937,0.8129438161849976,1.5274966955184937,7.0908427238464355,2.1867737770080566,7.0908427238464355
11,0.25706082582473755,0.2453502118587494,0.38797229528427124,0.2453502118587494,15.929109573364258,3.189284086227417,15.929109573364258,0.6471670269966125,0.6717125773429871,0.6471670269966125,13.722311019897461,13.710737228393555,3.6885623931884766,13.710737228393555,1.5992000102996826,0.8442129492759705,1.5992000102996826,8.277095794677734,2.3582003116607666,8.277095794677734
12,0.2545751929283142,0.24313439428806305,0.3857221305370331,0.24313439428806305,15.92916202545166,3.18927001953125,15.92916202545166,0.6471664309501648,0.6717114448547363,0.6471664309501648,1.9783461093902588,1.9670064449310303,1.3832802772521973,1.9670064449310303,2.0496625900268555,0.9571864604949951,2.0496625900268555,5.200796604156494,1.8639640808105469,5.200796604156494
13,0.2536921203136444,0.24253065884113312,0.38483986258506775,0.24253065884113312,15.929094314575195,3.1892926692962646,15.929094314575195,0.6471647024154663,0.6717084050178528,0.6471647024154663,13.661752700805664,13.650712966918945,3.6764321327209473,13.650712966918945,1.650687336921692,0.867196798324585,1.650687336921692,8.259781837463379,2.3621859550476074,8.259781837463379
14,0.25491175055503845,0.24401278793811798,0.3869541883468628,0.24401278793811798,15.92914867401123,3.1892645359039307,15.92914867401123,0.6471661329269409,0.671709418296814,0.6471661329269409,10.39155101776123,10.380794525146484,3.202746629714966,10.380794525146484,1.602041244506836,0.8509904742240906,1.602041244506836,8.313831329345703,2.3696064949035645,8.313831329345703
15,0.2508486211299896,0.24023012816905975,0.3839268386363983,0.24023012816905975,15.92910099029541,3.189277172088623,15.92910099029541,0.6471682786941528,0.6717126369476318,0.6471682786941528,8.45332145690918,8.442798614501953,2.8602633476257324,8.442798614501953,3.0259828567504883,1.2279719114303589,3.0259828567504883,6.355414867401123,1.8883079290390015,6.355414867401123
16,0.2533506155014038,0.2430010735988617,0.38644757866859436,0.2430010735988617,15.929085731506348,3.1892752647399902,15.929085731506348,0.6471638083457947,0.6717116236686707,0.6471638083457947,16.460294723510742,16.450056076049805,3.9775614738464355,16.450056076049805,4.767362594604492,1.5687988996505737,4.767362594604492,4.9383344650268555,1.5884358882904053,4.9383344650268555
17,0.2519201636314392,0.24184788763523102,0.3858610689640045,0.24184788763523102,15.929133415222168,3.189265489578247,15.929133415222168,0.6471625566482544,0.6717104315757751,0.6471625566482544,33.851348876953125,33.84136962890625,5.442824363708496,33.84136962890625,12.604369163513184,2.8166418075561523,12.604369163513184,1.1688690185546875,0.6936796307563782,1.1688690185546875
18,0.2511608302593231,0.2413448542356491,0.3845648169517517,0.2413448542356491,15.929095268249512,3.1892812252044678,15.929095268249512,0.6471673846244812,0.6717118620872498,0.6471673846244812,11.629831314086914,11.620147705078125,3.402287244796753,11.620147705078125,1.411370038986206,0.7662816643714905,1.411370038986206,8.000686645507812,2.2864511013031006,8.000686645507812
19,0.2501302659511566,0.24053780734539032,0.3841743469238281,0.24053780734539032,15.929060935974121,3.1892764568328857,15.929060935974121,0.647169291973114,0.6717125773429871,0.647169291973114,2.4647839069366455,2.4552831649780273,1.5548186302185059,2.4552831649780273,1.4781529903411865,0.7854579091072083,1.4781529903411865,7.745296478271484,2.2462568283081055,7.745296478271484
