epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,1.1698009967803955,0.5385590195655823,0.1622868776321411,0.5385590195655823,0.41657766699790955,0.4045093357563019,0.41657766699790955,0.004280591383576393,0.03094557113945484,0.004280591383576393,0.31486940383911133,0.0016868062084540725,0.032900769263505936,0.0016868062084540725,0.10836100578308105,0.24874354898929596,0.10836100578308105,0.0002855169295798987,0.012177674099802971,0.00028551695868372917
1,0.28028202056884766,0.010114957578480244,0.07890160381793976,0.010114957578480244,0.0793701708316803,0.19093281030654907,0.0793701708316803,0.00025349960196763277,0.011163761839270592,0.00025349963107146323,0.22042326629161835,0.008685781620442867,0.09060033410787582,0.008685781620442867,0.03951567783951759,0.11868981271982193,0.03951567783951759,0.00011077387898694724,0.007694051135331392,0.00011077387898694724
2,0.20972634851932526,0.005616876762360334,0.05814576521515846,0.005616876762360334,0.05836055427789688,0.1595172882080078,0.05836055427789688,0.00017003428365569562,0.009161765687167645,0.00017003428365569562,0.15840454399585724,0.0036601403262466192,0.05588555708527565,0.0036601403262466192,0.037904996424913406,0.1168656274676323,0.037904996424913406,9.460868022870272e-05,0.00711827352643013,9.460868750466034e-05
3,0.14098268747329712,0.0038053542375564575,0.047351110726594925,0.0038053542375564575,0.04612123966217041,0.139009028673172,0.04612123966217041,0.00011482804256957024,0.007620349992066622,0.00011482804256957024,0.09294541925191879,0.0012714470503851771,0.03354432061314583,0.0012714470503851771,0.021626150235533714,0.08905275166034698,0.021626150235533714,4.791570972884074e-05,0.004886562004685402,4.791570972884074e-05
4,0.10160136222839355,0.0027142094913870096,0.040245965123176575,0.0027142094913870096,0.03923504427075386,0.12643086910247803,0.03923504427075386,8.717551827430725e-05,0.006640220060944557,8.717551827430725e-05,0.07336187362670898,0.0011169774224981666,0.03130039945244789,0.0011169774224981666,0.019829951226711273,0.08454126864671707,0.019829951226711273,3.655639011412859e-05,0.0043836296536028385,3.655639011412859e-05
5,0.08574239909648895,0.0026806071400642395,0.033727776259183884,0.0026806071400642395,0.03421713039278984,0.1159827783703804,0.03421713039278984,6.847154872957617e-05,0.005857487209141254,6.847154872957617e-05,0.07826505601406097,0.0007709086639806628,0.020534265786409378,0.0007709086639806628,0.031724125146865845,0.12382911145687103,0.031724125146865845,6.969957030378282e-05,0.006263457704335451,6.969957030378282e-05
6,0.07795973867177963,0.0015643921215087175,0.028792230412364006,0.0015643921215087175,0.032538607716560364,0.11293644458055496,0.032538607716560364,6.220173236215487e-05,0.005648182705044746,6.220173236215487e-05,0.05723510682582855,6.994385330472142e-05,0.006673459429293871,6.994385330472142e-05,0.015134802088141441,0.07983061671257019,0.015134802088141441,1.7535565348225646e-05,0.0030677139293402433,1.7535563529236242e-05
7,0.07053732126951218,0.0015144033823162317,0.03012758493423462,0.0015144033823162317,0.028352007269859314,0.10543768852949142,0.028352007269859314,4.948915375280194e-05,0.0051216729916632175,4.948915011482313e-05,0.05112329125404358,6.97764553478919e-05,0.0065163299441337585,6.97764553478919e-05,0.011564204469323158,0.05877302587032318,0.011564204469323158,1.9850971511914395e-05,0.002937172306701541,1.98509733309038e-05
8,0.06947679072618484,0.0020225183106958866,0.0252867229282856,0.0020225183106958866,0.02852192334830761,0.10395689308643341,0.02852192334830761,5.361778676160611e-05,0.005131810903549194,5.361779039958492e-05,0.0780562087893486,0.0004875575250480324,0.018055034801363945,0.0004875575250480324,0.03979942575097084,0.1350862830877304,0.03979942575097084,4.7285910113714635e-05,0.005362263415008783,4.7285910113714635e-05
9,0.06448027491569519,0.001229889690876007,0.026837345212697983,0.001229889690876007,0.026183033362030983,0.10028010606765747,0.026183033362030983,4.479933704715222e-05,0.004857826046645641,4.479933704715222e-05,0.09194283187389374,0.000552983779925853,0.018792519345879555,0.000552983779925853,0.05488327145576477,0.15119174122810364,0.05488327145576477,5.058574606664479e-05,0.005493132397532463,5.058574242866598e-05
10,0.10880237072706223,0.009138363413512707,0.03827539086341858,0.009138363413512707,0.05671454966068268,0.13604794442653656,0.05671454966068268,0.0003573969879653305,0.00882068183273077,0.0003573969879653305,0.07815756648778915,0.0012625152012333274,0.02913006767630577,0.0012625152012333274,0.03740672767162323,0.12484797835350037,0.03740672767162323,8.614768739789724e-05,0.007498936261981726,8.614768739789724e-05
11,0.0639127641916275,0.0011792330769822001,0.026878654956817627,0.0011792330769822001,0.024960489943623543,0.0985521450638771,0.024960489943623543,4.197928137728013e-05,0.004751913715153933,4.197928137728013e-05,0.062054283916950226,0.0008968643960542977,0.02414136566221714,0.0008968643960542977,0.02462770789861679,0.10852006077766418,0.02462770789861679,5.8039757277583703e-05,0.006358322221785784,5.8039757277583703e-05
12,0.06127835437655449,0.0009968451922759414,0.023883573710918427,0.0009968451922759414,0.024453075602650642,0.09605517983436584,0.024453075602650642,4.1904673707904294e-05,0.0046251616440713406,4.19046773458831e-05,0.06626594066619873,0.0004921966465190053,0.018385829403996468,0.0004921966465190053,0.030778124928474426,0.11728718131780624,0.030778124928474426,4.136181451031007e-05,0.004781269934028387,4.136181451031007e-05
