u_0,u_1,u_0_ref,u_1_ref
0.48500051083972373,0.1984636053208094,0.48447222911087034,0.19748918387197217
0.4329379489045151,0.20682722954684787,0.4324013448360249,0.20688864211430355
0.4171125828888455,0.20776650266971192,0.41659297567081305,0.20751920602599785
0.4086229463647458,0.20740171156382836,0.4078261214685498,0.20669058068173282
0.40195223071694663,0.20648398580719654,0.4008589018845306,0.20548858903611555
0.3958299475749839,0.20537881702701385,0.39446032003858045,0.20415421658524574
0.389910729918549,0.20417236746708184,0.3882961095809381,0.20275258040958083
0.38408353973474874,0.20288751780707223,0.38226148045379116,0.20130467423644327
0.37830849195816973,0.20153415718198145,0.3763169195456445,0.19981883101374417
0.3725709655273881,0.20012034762506234,0.3704437035868942,0.19829918277301148
0.36686511127152394,0.19865313113924585,0.3646307199654989,0.19674819020790765
0.36118693506255267,0.19713752488615335,0.35887001452965045,0.19516765660401175
0.3555327921330989,0.1955769221011069,0.35315525656646285,0.19355841225092266
0.3498990817645807,0.1939735986133596,0.3474814132525229,0.19192103918493839
0.3442824019820928,0.19232905238813308,0.3418432778502669,0.19025603946576608
0.33867985290426,0.19064454942907255,0.33623747877671706,0.18856470133485356
0.33308872711543686,0.18892098451292252,0.3306598397937289,0.18684627554061545
0.3275066445128028,0.18715895914739514,0.32510676043820674,0.18510067056592247
0.3219314814960457,0.1853590216280928,0.3195749082738348,0.1833275520205915
0.3163609507770847,0.18352114285269225,0.31406111130647457,0.18152639095789
0.31079296070009166,0.18164520450316166,0.3085623466119326,0.17969648733197632
0.3052253258901108,0.17973080893933038,0.3030757088130322,0.1778369761010745
0.2996557606377619,0.1777771484191012,0.2975984275432068,0.17594682419405924
0.29408210479335467,0.1757833838633614,0.2921273738422373,0.1740251465215245
0.28850222324697594,0.17374852288924578,0.2866596108049827,0.17206903849656802
0.2829139677644477,0.17167133792653155,0.2811920553921087,0.1700784767308083
0.27731547525693634,0.1695507664986427,0.2757220929912699,0.16805105440783932
0.27170496672442557,0.1673856100070242,0.27024640201272626,0.16598467288736973
0.26608069990416194,0.16517466740662823,0.2647617020964073,0.16387702167520443
0.26044077658056797,0.16291648014469973,0.25926452457837207,0.16172549151094853
0.25478318093531316,0.16060939565254193,0.2537511309595646,0.15952712752716747
0.2491055242180129,0.1582513231125932,0.24821748828190715,0.15727860853944453
