timstamp,u_0,u_1,alpha_0,alpha_1,h
2021-12-08 17:20:28.312387 ,1,0.4761,-1.124386045103,1.67692030647,-1.326004494453
2021-12-08 17:20:28.312894 ,1,0.494,-1.167591143596,1.765981559018,-1.295196481592
2021-12-08 17:20:28.296015 ,1,-0.07,-0.700529662242,-0.210620210204,-1.68578641184
2021-12-08 17:20:28.318438 ,1,0.6853,-1.994029281561,3.140185771683,-0.842060219784
2021-12-08 17:20:28.274723 ,1,-0.7875,-3.154115799267,-4.702236447962,-0.451104808083
2021-12-08 17:20:28.290601 ,1,-0.2459,-0.789117960273,-0.766091786658,-1.600736065624
2021-12-08 17:20:28.318866 ,1,0.7002,-2.1088213156,3.305864950277,-0.79405495932
2021-12-08 17:20:28.315260 ,1,0.5757,-1.419123424912,2.234788139239,-1.132556003899
2021-12-08 17:20:28.282955 ,1,-0.5073,-1.202079484974,-1.834863327975,-1.271253564203
2021-12-08 17:20:28.308367 ,1,0.3369,-0.883150606019,1.087880875177,-1.516643646543
2021-12-08 17:20:28.297132 ,1,-0.0342,-0.694903395265,-0.102672055233,-1.691392170062
2021-12-08 17:20:28.291336 ,1,-0.2208,-0.769657864757,-0.682714312653,-1.618914614135
2021-12-08 17:20:28.287128 ,1,-0.3652,-0.921142495949,-1.196073452925,-1.484336592226
2021-12-08 17:20:28.275442 ,1,-0.7634,-2.77904592938,-4.218817410483,-0.558400877345
2021-12-08 17:20:28.316424 ,1,0.6161,-1.588746336234,2.51918863517,-1.036674363246
2021-12-08 17:20:28.322591 ,1,0.8282,-4.058792869796,5.820123200808,-0.238567204416
2021-12-08 17:20:28.301713 ,1,0.1142,-0.71294240387,0.345314227309,-1.673507571909
2021-12-08 17:20:28.280276 ,1,-0.5997,-1.51528583765,-2.398363515899,-1.076987366813
2021-12-08 17:20:28.300250 ,1,0.0666,-0.699827106225,0.200333915085,-1.686485031138
2021-12-08 17:20:28.291036 ,1,-0.231,-0.777260752106,-0.716369178205,-1.611779543909
2021-12-08 17:20:28.281875 ,1,-0.545,-1.312558008824,-2.044700465186,-1.198196346886
2021-12-08 17:20:28.269394 ,1,-0.9408,-14.065055273527,-16.891888879189,0.826833644459
2021-12-08 17:20:28.291724 ,1,-0.2075,-0.760352632431,-0.639264823751,-1.627705248264
2021-12-08 17:20:28.275664 ,1,-0.7557,-2.676518955768,-4.083840571656,-0.590360781893
2021-12-08 17:20:28.271130 ,1,-0.8941,-7.197608540089,-9.442868364873,0.245259951325
2021-12-08 17:20:28.274148 ,1,-0.8065,-3.524045060351,-5.166218723554,-0.357489930626
2021-12-08 17:20:28.292251 ,1,-0.1901,-0.749186672574,-0.583103399243,-1.638338779767
2021-12-08 17:20:28.324066 ,1,0.8786,-6.12855738956,8.237220503195,0.108664275286
2021-12-08 17:20:28.311980 ,1,0.4618,-1.092299460179,1.608503957383,-1.349492525012
2021-12-08 17:20:28.319225 ,1,0.7127,-2.215412685468,3.456730887567,-0.751800897839
2021-12-08 17:20:28.298227 ,1,0.0021,-0.69315370258,0.006300015001,-1.693140630018
2021-12-08 17:20:28.280815 ,1,-0.5817,-1.442009899461,-2.27433548989,-1.119029060098
2021-12-08 17:20:28.285711 ,1,-0.4132,-0.997247549704,-1.391447204735,-1.422301715868
2021-12-08 17:20:28.313462 ,1,0.5135,-1.218904689502,1.867827510531,-1.259775517047
2021-12-08 17:20:28.313817 ,1,0.5257,-1.253493517467,1.934391185338,-1.236584343868
2021-12-08 17:20:28.300092 ,1,0.0616,-0.698858438671,0.185222202341,-1.687448913763
2021-12-08 17:20:28.322956 ,1,0.8409,-4.446897769945,6.285079822042,-0.161774282839
2021-12-08 17:20:28.304782 ,1,0.217,-0.766929736289,0.670251469631,-1.621485236151
2021-12-08 17:20:28.308566 ,1,0.3438,-0.891985853971,1.113839743638,-1.509047860656
2021-12-08 17:20:28.290507 ,1,-0.2492,-0.791867610566,-0.777199203438,-1.598189645631
2021-12-08 17:20:28.320570 ,1,0.7588,-2.716916293111,4.137187555021,-0.577618527542
2021-12-08 17:20:28.324306 ,1,0.8867,-6.648403500143,8.82611900551,0.177715901932
2021-12-08 17:20:28.280856 ,1,-0.5803,-1.436604229127,-2.265031418619,-1.122206610971
2021-12-08 17:20:28.303893 ,1,0.1873,-0.747493999062,0.574133236918,-1.63995890667
2021-12-08 17:20:28.319528 ,1,0.7232,-2.313289054145,3.593047088248,-0.714797748942
2021-12-08 17:20:28.301091 ,1,0.0939,-0.70647882361,0.283202711061,-1.679886258926
2021-12-08 17:20:28.290231 ,1,-0.2586,-0.799951610923,-0.809037594543,-1.590734568119
2021-12-08 17:20:28.313025 ,1,0.4986,-1.179279153714,1.789531639611,-1.287018912169
2021-12-08 17:20:28.319859 ,1,0.7347,-2.430464053192,3.75377521736,-0.672565518274
2021-12-08 17:20:28.317955 ,1,0.6688,-1.880249770335,2.972164360301,-0.892466462026
2021-12-08 17:20:28.274729 ,1,-0.7873,-3.150611432713,-4.697785893315,-0.452044809966
2021-12-08 17:20:28.288666 ,1,-0.312,-0.853414721669,-0.996250524301,-1.54258465502
2021-12-08 17:20:28.316703 ,1,0.6257,-1.635080676034,2.593809199528,-1.012134415277
2021-12-08 17:20:28.273161 ,1,-0.8361,-4.292464262288,-6.100906719077,-0.191496279719
2021-12-08 17:20:28.273675 ,1,-0.8215,-3.878356004553,-5.60138331605,-0.276819944915
2021-12-08 17:20:28.325742 ,1,0.9326,-12.139683221245,14.836793389835,0.697110191634
2021-12-08 17:20:28.313488 ,1,0.5143,-1.221111766343,1.872122269901,-1.258279538286
2021-12-08 17:20:28.298870 ,1,0.0227,-0.693920380578,0.068121046907,-1.69237419099
2021-12-08 17:20:28.306914 ,1,0.2875,-0.827232402952,0.908921173321,-1.565917653688
2021-12-08 17:20:28.325319 ,1,0.9196,-9.917066808103,12.437807719913,0.520740947777
2021-12-08 17:20:28.294128 ,1,-0.1313,-0.719415295301,-0.398041828196,-1.667152457909
2021-12-08 17:20:28.321347 ,1,0.7851,-3.112542726049,4.649364968285,-0.462326494842
2021-12-08 17:20:28.291837 ,1,-0.2036,-0.757751845442,-0.626612063456,-1.630173695294
2021-12-08 17:20:28.306986 ,1,0.2899,-0.829669315715,0.917362144927,-1.563726118779
2021-12-08 17:20:28.318356 ,1,0.6824,-1.973077920933,3.109548579062,-0.851122212127
2021-12-08 17:20:28.275114 ,1,-0.7744,-2.939148947996,-4.4270180376,-0.51086636026
2021-12-08 17:20:28.287471 ,1,-0.3534,-0.904730320755,-1.1503975465,-1.498179943016
2021-12-08 17:20:28.290527 ,1,-0.2485,-0.791280549577,-0.774840107581,-1.598732859219
2021-12-08 17:20:28.286667 ,1,-0.3811,-0.944626380352,-1.259001795018,-1.464820926487
2021-12-08 17:20:28.314640 ,1,0.554,-1.342089434651,2.098440718906,-1.17955337309
2021-12-08 17:20:28.323110 ,1,0.846,-4.622537278939,6.493312393234,-0.129195141352
2021-12-08 17:20:28.320412 ,1,0.7534,-2.647279598524,4.045090023224,-0.599708917551
2021-12-08 17:20:28.321341 ,1,0.7849,-3.109124950201,4.64501111349,-0.463255932112
2021-12-08 17:20:28.323446 ,1,0.8574,-5.064840645395,7.012541725119,-0.052287549401
2021-12-08 17:20:28.288941 ,1,-0.3026,-0.843022316802,-0.96243310758,-1.551790151825
2021-12-08 17:20:28.278773 ,1,-0.6502,-1.76621199406,-2.799286698146,-0.946115969338
2021-12-08 17:20:28.295606 ,1,-0.0835,-0.703671563407,-0.251554799977,-1.682666904858
2021-12-08 17:20:28.301134 ,1,0.0953,-0.706882635048,0.287471330761,-1.67948678749
2021-12-08 17:20:28.323509 ,1,0.8595,-5.154830838374,7.117369791641,-0.037451688489
2021-12-08 17:20:28.305713 ,1,0.2481,-0.790946007084,0.773492775573,-1.599042525734
2021-12-08 17:20:28.318824 ,1,0.6987,-2.096691689573,3.288523312372,-0.799000729381
2021-12-08 17:20:28.318191 ,1,0.6769,-1.934490142957,3.052773767777,-0.86806781023
2021-12-08 17:20:28.292668 ,1,-0.1782,-0.742188242638,-0.545101119856,-1.645051284381
2021-12-08 17:20:28.299130 ,1,0.031,-0.694589834388,0.093053647705,-1.691705330106
2021-12-08 17:20:28.277633 ,1,-0.6886,-2.018399427087,-3.17566137739,-0.831639257266
2021-12-08 17:20:28.325935 ,1,0.9386,-13.496296994549,16.286642319305,0.790345358363
2021-12-08 17:20:28.325451 ,1,0.9237,-10.533073858921,13.1061559796,0.573082165911
2021-12-08 17:20:28.293438 ,1,-0.1538,-0.729403385497,-0.468098177087,-1.657409943402
2021-12-08 17:20:28.291030 ,1,-0.2312,-0.777413954068,-0.71703210329,-1.611636203802
2021-12-08 17:20:28.319573 ,1,0.7248,-2.32893716189,3.614660458202,-0.709031616254
2021-12-08 17:20:28.314950 ,1,0.5649,-1.379705025011,2.165673506131,-1.156316164842
2021-12-08 17:20:28.290419 ,1,-0.2522,-0.7944069045,-0.787327990539,-1.595842862657
2021-12-08 17:20:28.277359 ,1,-0.698,-2.091077135207,-3.280483571033,-0.801299879065
2021-12-08 17:20:28.323444 ,1,0.8573,-5.060626844662,7.007626811852,-0.052988557665
2021-12-08 17:20:28.269703 ,1,-0.9328,-12.180868559709,-14.880950497942,0.700081961562
2021-12-08 17:20:28.316567 ,1,0.621,-1.612070236028,2.556895505908,-1.024238277111
2021-12-08 17:20:28.308976 ,1,0.3579,-0.910890223075,1.167717548593,-1.492964229899
2021-12-08 17:20:28.301011 ,1,0.0913,-0.705745241748,0.275280672525,-1.680612285541
2021-12-08 17:20:28.289488 ,1,-0.2839,-0.823627577299,-0.896303705228,-1.569167042253
2021-12-08 17:20:28.315369 ,1,0.5794,-1.43315039988,2.259075002024,-1.124242457115
2021-12-08 17:20:28.317626 ,1,0.6575,-1.809329043077,2.865227852072,-0.925441927615
2021-12-08 17:20:28.297081 ,1,-0.0358,-0.695071766476,-0.107482660218,-1.691224046482
2021-12-08 17:20:28.317174 ,1,0.6422,-1.721199016566,2.72963144249,-0.968229879623
2021-12-08 17:20:28.287248 ,1,-0.361,-0.91520430462,-1.179719405556,-1.489325718281
2021-12-08 17:20:28.307320 ,1,0.301,-0.841297048884,0.956716517947,-1.553325469773
2021-12-08 17:20:28.285365 ,1,-0.4249,-1.018319164866,-1.441728790689,-1.405728761617
2021-12-08 17:20:28.319944 ,1,0.7375,-2.460734589436,3.794897818984,-0.661997568582
2021-12-08 17:20:28.309094 ,1,0.362,-0.916608368239,1.183603398392,-1.488144057611
2021-12-08 17:20:28.324931 ,1,0.9072,-8.398551581713,10.775860083337,0.377308528491
2021-12-08 17:20:28.316850 ,1,0.6309,-1.661298769435,2.635537170761,-0.998538529753
2021-12-08 17:20:28.280511 ,1,-0.592,-1.483056975,-2.344276345352,-1.095245501693
2021-12-08 17:20:28.295674 ,1,-0.0812,-0.703096336788,-0.244569663127,-1.683237446852
2021-12-08 17:20:28.293649 ,1,-0.1469,-0.726159780803,-0.446524798434,-1.660565344511
2021-12-08 17:20:28.292612 ,1,-0.1798,-0.743099613195,-0.550192572292,-1.64417505027
2021-12-08 17:20:28.308810 ,1,0.3523,-0.903242815726,1.146181860807,-1.499443060812
2021-12-08 17:20:28.296142 ,1,-0.0658,-0.699666964318,-0.197914852161,-1.686644330553
2021-12-08 17:20:28.317745 ,1,0.6616,-1.834453205055,2.903320336603,-0.913616674115
2021-12-08 17:20:28.276137 ,1,-0.7394,-2.481689814873,-3.823275048804,-0.654760366796
2021-12-08 17:20:28.301933 ,1,0.1215,-0.715589343518,0.367774108329,-1.670904842909
2021-12-08 17:20:28.275718 ,1,-0.7539,-2.653584012502,-4.053455196804,-0.597684282927
2021-12-08 17:20:28.302548 ,1,0.1422,-0.724042352282,0.431876479859,-1.66262957283
2021-12-08 17:20:28.285008 ,1,-0.4368,-1.040880614699,-1.494090848331,-1.388261901673
2021-12-08 17:20:28.294344 ,1,-0.1243,-0.716650456033,-0.376408039558,-1.669862990572
2021-12-08 17:20:28.281762 ,1,-0.549,-1.325518706851,-2.068394430954,-1.189970258077
2021-12-08 17:20:28.283180 ,1,-0.4994,-1.181337384894,-1.793656351383,-1.28558563801
2021-12-08 17:20:28.317640 ,1,0.658,-1.812357147283,2.869831583207,-0.924008163583
2021-12-08 17:20:28.286199 ,1,-0.3969,-0.969616004861,-1.323236491661,-1.444423581321
2021-12-08 17:20:28.311012 ,1,0.428,-1.024084175255,1.4552473509,-1.401238471416
2021-12-08 17:20:28.276831 ,1,-0.7159,-2.24438655244,-3.497293186825,-0.740674685541
2021-12-08 17:20:28.299009 ,1,0.0271,-0.694249430352,0.081335827745,-1.692045387901
2021-12-08 17:20:28.302402 ,1,0.1373,-0.721913504369,0.416643331148,-1.664708430371
2021-12-08 17:20:28.269064 ,1,-0.9477,-16.169695401946,-19.120454126183,0.950758786537
2021-12-08 17:20:28.296172 ,1,-0.0649,-0.699489153887,-0.195193957191,-1.686821229407
2021-12-08 17:20:28.293749 ,1,-0.1436,-0.724665322848,-0.436235964092,-1.662021894569
2021-12-08 17:20:28.281387 ,1,-0.5623,-1.370540980072,-2.149413720945,-1.161925746567
2021-12-08 17:20:28.284339 ,1,-0.4595,-1.08732768229,-1.597711016336,-1.353179660372
2021-12-08 17:20:28.296597 ,1,-0.0514,-0.697119473387,-0.154445003408,-1.689181161351
2021-12-08 17:20:28.287639 ,1,-0.3476,-0.896966802772,-1.128247971112,-1.504787920368
2021-12-08 17:20:28.308661 ,1,0.3471,-0.896306681439,1.126347520811,-1.50535156908
2021-12-08 17:20:28.294086 ,1,-0.1327,-0.71998757186,-0.4023772548,-1.666592164962
2021-12-08 17:20:28.316432 ,1,0.6164,-1.590155304223,2.521474993117,-1.035918263912
2021-12-08 17:20:28.303398 ,1,0.1707,-0.738037231078,0.52130668438,-1.649050240128
2021-12-08 17:20:28.279371 ,1,-0.6301,-1.657211903515,-2.629055228012,-1.000644364758
2021-12-08 17:20:28.311897 ,1,0.4589,-1.086039047984,1.594904756659,-1.354137444656
2021-12-08 17:20:28.300244 ,1,0.0664,-0.69978688643,0.199729105814,-1.686525037424
2021-12-08 17:20:28.322832 ,1,0.8366,-4.308088341614,6.119587983166,-0.188441161143
2021-12-08 17:20:28.325596 ,1,0.9281,-11.275725439727,13.908204376393,0.632478954238
2021-12-08 17:20:28.281848 ,1,-0.546,-1.315773971161,-2.050595902574,-1.196148700495
2021-12-08 17:20:28.300795 ,1,0.0843,-0.703875503156,0.253985548764,-1.682464688835
2021-12-08 17:20:28.306759 ,1,0.2823,-0.82204474896,0.890712651592,-1.57059665376
2021-12-08 17:20:28.295609 ,1,-0.0834,-0.703646211145,-0.251250997983,-1.682692045138
2021-12-08 17:20:28.319382 ,1,0.7181,-2.264732426552,3.525669481942,-0.732949503959
2021-12-08 17:20:28.273171 ,1,-0.8358,-4.283139809285,-6.089752400799,-0.193324877357
2021-12-08 17:20:28.289093 ,1,-0.2974,-0.83746088645,-0.943895173468,-1.556746553355
2021-12-08 17:20:28.319284 ,1,0.7147,-2.233436337022,3.481984637103,-0.744862238785
2021-12-08 17:20:28.278397 ,1,-0.6627,-1.841309368716,-2.913674726623,-0.910417332927
2021-12-08 17:20:28.279267 ,1,-0.6336,-1.675238370966,-2.657584689268,-0.991392876415
2021-12-08 17:20:28.322818 ,1,0.8361,-4.292464262282,6.10090671907,-0.19149627972
2021-12-08 17:20:28.289699 ,1,-0.2766,-0.816501460532,-0.870876440384,-1.57561712164
2021-12-08 17:20:28.294498 ,1,-0.1193,-0.714773484789,-0.360997881922,-1.671706490796
2021-12-08 17:20:28.286116 ,1,-0.3996,-0.974059536681,-1.334394107661,-1.440835793031
2021-12-08 17:20:28.271418 ,1,-0.8858,-6.586757415129,-8.756560746547,0.169803780318
2021-12-08 17:20:28.285985 ,1,-0.404,-0.981412829713,-1.352694855806,-1.434924252688
2021-12-08 17:20:28.290908 ,1,-0.2354,-0.780668294677,-0.730981193042,-1.608595394867
2021-12-08 17:20:28.299455 ,1,0.0412,-0.695697142157,0.123726051006,-1.690599788676
2021-12-08 17:20:28.318603 ,1,0.691,-2.036487522428,3.20188350869,-0.823986277907
2021-12-08 17:20:28.279595 ,1,-0.6225,-1.61934483691,-2.568595694737,-1.020394168802
2021-12-08 17:20:28.272415 ,1,-0.8576,-5.073287465167,-7.02239224377,-0.050884056675
2021-12-08 17:20:28.280597 ,1,-0.5891,-1.471267564428,-2.324312990356,-1.102014902613
2021-12-08 17:20:28.278698 ,1,-0.6527,-1.780751490237,-2.82160528273,-0.939089912237
2021-12-08 17:20:28.321764 ,1,0.7995,-3.37868326133,4.985204519294,-0.393012494816
2021-12-08 17:20:28.316123 ,1,0.6057,-1.541373161181,2.441646764791,-1.062467850791
2021-12-08 17:20:28.302966 ,1,0.1562,-0.730569537592,0.47562172686,-1.656277481738
2021-12-08 17:20:28.318435 ,1,0.6852,-1.993299666953,3.139121029299,-0.842374185025
2021-12-08 17:20:28.297026 ,1,-0.0376,-0.69527042809,-0.112895780956,-1.691025706152
2021-12-08 17:20:28.316534 ,1,0.6198,-1.606296464276,2.547588981552,-1.027300962488
2021-12-08 17:20:28.284054 ,1,-0.4691,-1.108421977064,-1.643141756142,-1.337624379036
2021-12-08 17:20:28.287298 ,1,-0.3593,-0.912831331435,-1.173130564208,-1.4913256379
2021-12-08 17:20:28.314945 ,1,0.5647,-1.378995730416,2.164417672823,-1.156749173888
2021-12-08 17:20:28.291681 ,1,-0.209,-0.761368231538,-0.644141647576,-1.626742694265
2021-12-08 17:20:28.279150 ,1,-0.6375,-1.695780918061,-2.689906874006,-0.980965455257
2021-12-08 17:20:28.316995 ,1,0.6359,-1.687294080148,2.676577478549,-0.985258628919
2021-12-08 17:20:28.272537 ,1,-0.8541,-4.929084273321,-6.853903823143,-0.075165186925
2021-12-08 17:20:28.292062 ,1,-0.1959,-0.752784024848,-0.601742335555,-1.634902765783
2021-12-08 17:20:28.300562 ,1,0.0767,-0.702018426348,0.230916662011,-1.684307284073
2021-12-08 17:20:28.286067 ,1,-0.4013,-0.976884020546,-1.341447376257,-1.438561331354
2021-12-08 17:20:28.282391 ,1,-0.5269,-1.257006203112,-1.941065485838,-1.234259073053
2021-12-08 17:20:28.325663 ,1,0.9302,-11.664524743842,14.326645928964,0.662121205039
2021-12-08 17:20:28.300609 ,1,0.0782,-0.70237075033,0.235465712226,-1.683957497665
2021-12-08 17:20:28.283726 ,1,-0.4806,-1.134918374324,-1.698938162382,-1.318408905748
2021-12-08 17:20:28.292694 ,1,-0.1773,-0.741679603661,-0.542239578718,-1.645540587505
2021-12-08 17:20:28.314423 ,1,0.5464,-1.317064849207,2.052959282414,-1.195327989658
2021-12-08 17:20:28.287446 ,1,-0.3543,-0.905952677877,-1.153851996193,-1.497143031268
2021-12-08 17:20:28.276825 ,1,-0.7161,-2.246221635804,-3.499856152818,-0.739974970934
2021-12-08 17:20:28.305024 ,1,0.2251,-0.772812931518,0.696865685571,-1.615948536283
2021-12-08 17:20:28.308855 ,1,0.3539,-0.905408817095,1.152316099935,-1.497604264771
2021-12-08 17:20:28.312797 ,1,0.4906,-1.159110212884,1.748754481257,-1.301171488354
2021-12-08 17:20:28.296666 ,1,-0.0493,-0.696800814748,-0.148116137623,-1.689498850007
2021-12-08 17:20:28.301953 ,1,0.1222,-0.715852230194,0.369931569806,-1.670646645992
2021-12-08 17:20:28.310272 ,1,0.4028,-0.979393499922,1.34768908202,-1.436544481592
2021-12-08 17:20:28.308692 ,1,0.3482,-0.897760852276,1.130530378608,-1.504110287088
2021-12-08 17:20:28.277390 ,1,-0.697,-2.08310647248,-3.269056103758,-0.804574642164
