x,u0,u1
0.166875,0.12968132961470002,0.11388824502953027
0.16718750000000002,0.128871892867766,0.11325394310674984
0.1675,0.1280569836307488,0.11261392270984355
0.1678125,0.12723596949348584,0.11196777203904971
0.168125,0.12640857565253494,0.11131527585193535
0.1684375,0.12557461585400587,0.11065626920725437
0.16875,0.1247339405051268,0.10999060807636005
0.1690625,0.12388641252120072,0.10931815500195925
0.169375,0.12303189910030068,0.10863877459503567
0.1696875,0.12217026893654782,0.10795233156518917
0.17,0.12130138936164846,0.10725869058072801
0.1703125,0.12042512429199126,0.10655770932641384
0.170625,0.11954109608637124,0.10584900080356378
0.1709375,0.11864909708516852,0.10513238323162898
0.17125,0.11774896122246192,0.10440768595798551
0.1715625,0.11684040206886612,0.10367461276531828
0.171875,0.1159231536316703,0.1029328992985224
0.1721875,0.11499740361231467,0.10218265755346759
0.17250000000000001,0.11406334698884536,0.10142405880470458
0.1728125,0.11311970281491322,0.10065603648271669
0.173125,0.1121663117339512,0.09987837931694545
0.1734375,0.11120288478954415,0.09909077867878584
0.17375000000000002,0.11022914122282426,0.09829293460008119
0.1740625,0.10924481767146346,0.0974845622281625
0.174375,0.10824964623942603,0.09666537255877251
0.1746875,0.10724331972097129,0.09583504280310746
0.17500000000000002,0.10622544628907593,0.09499317960944689
0.1753125,0.10519558133001489,0.09413933534996392
0.175625,0.1041532570791768,0.09327306760668859
0.1759375,0.10309870916426958,0.0923945518584189
0.17625,0.10203175284855605,0.09150358289095141
0.1765625,0.10095038944622248,0.09059827977720646
0.176875,0.09985413962876699,0.0896781726496072
0.1771875,0.09874213984373659,0.08874243066020877
0.1775,0.0976138702134654,0.08779051837535039
0.1778125,0.0964711328148101,0.08682399718710998
0.178125,0.09531172647427803,0.08584083897820646
0.1784375,0.09413522545913774,0.08484056909282738
0.17875,0.09294037320060997,0.08382191383327244
0.1790625,0.09172573291900961,0.08278349840542859
0.179375,0.09049087413648871,0.08172495029647595
0.1796875,0.08923776761953947,0.0806482095554581
0.18,0.08796490245466086,0.07955156109167633
0.18031250000000001,0.08667040346136126,0.07843313851741682
0.180625,0.0853519897861384,0.07729070470207387
0.1809375,0.08400985573582645,0.07612464113441819
0.18125,0.08264448038972091,0.07493520912302423
0.18156250000000002,0.08125406756945486,0.073720684253961
0.181875,0.07983795131946113,0.07248040774758159
0.1821875,0.07839520952302592,0.07121325964925171
0.1825,0.07692426129796695,0.06991786082820214
0.18281250000000002,0.07542855502136253,0.06859763565532971
0.183125,0.07390545460039735,0.06724940926172057
0.1834375,0.07235219337143033,0.0658706037689897
0.18375,0.07076677339805496,0.06445946928718342
0.1840625,0.06914959914628388,0.06301636908733181
0.184375,0.06750019511191471,0.061540692923612465
0.1846875,0.06581662106270965,0.06003051827341779
0.185,0.06409894387118416,0.05848588449854516
0.1853125,0.06234702963567451,0.05690659132617302
0.185625,0.06055744450546302,0.05528903822044656
0.1859375,0.058731463917443924,0.05363453791451976
0.18625,0.056863775524217244,0.05193775670673753
0.1865625,0.05495517053746263,0.05019970075715283
0.186875,0.05300489166896738,0.04841983391263953
0.1871875,0.05101229982546013,0.04659766433370421
0.1875,0.04897523836940866,0.04472838338571808
0.1878125,0.04688985542443158,0.04281211732409427
0.18812500000000001,0.04475576342105107,0.04084701744817651
0.1884375,0.04257436076570995,0.038834186432988804
0.18875,0.04034363565587214,0.036771796909337504
0.1890625,0.03806210740155566,0.03465870378159716
0.18937500000000002,0.03572958372433692,0.03249490718654096
0.1896875,0.033346831590887256,0.03028137412878152
0.19,0.030916634773565523,0.02802061416457946
0.1903125,0.028441663901094184,0.025716235421463257
0.19062500000000002,0.025926577078415412,0.02337344441385985
0.1909375,0.023381476649666524,0.02100203049299509
0.19125,0.020816922327241444,0.018613173428953574
0.1915625,0.0182485867987345,0.01622286321894992
0.19187500000000002,0.015697260822654515,0.013852453256037737
0.1921875,0.013193803976193411,0.01153316560535341
0.1925,0.010773893143430663,0.009301028432255696
0.1928125,0.008486456388908789,0.007203940151512647
0.193125,0.006387925186751315,0.005298125904818726
0.1934375,0.004537749564666822,0.003640045498895206
0.19375,0.003000393659397676,0.002289059895630408
0.1940625,0.0018220955949855861,0.0012814162564202614
0.194375,0.0010143956629570516,0.0006165330861531816
0.1946875,0.0005409038062278205,0.0002455018426997037
0.195,0.0003160610343429331,7.973092849168703e-05
0.1953125,0.00023288353787267817,2.1577309833357196e-05
0.195625,0.00020748890523939072,5.2129555913612115e-06
0.19593750000000001,0.00020058381280883562,4.183474960426726e-07
0.19625,0.00019999999999999998,-5.54698183609771e-21
0.1965625,0.00019999999999999998,-5.54698183609771e-21
0.196875,0.00019999999999999998,-5.54698183609771e-21
0.19718750000000002,0.00019999999999999998,-5.54698183609771e-21
0.1975,0.00019999999999999998,-5.54698183609771e-21
0.1978125,0.00019999999999999998,-5.54698183609771e-21
