x,u0,u1
0.0,0.433657342829084,0.2049718471628995
0.02,0.3539174423099184,0.21011899857814786
0.04,0.31356757596335794,0.20481765019448836
0.06,0.2820225366437382,0.1956640728930902
0.08,0.25195697925729954,0.18287692602600505
0.1,0.22022271913079194,0.16577009861026754
0.12,0.18545493721191417,0.143885990868512
0.14,0.14802932106440728,0.11778975828223626
0.16,0.11013682992600701,0.0894899853943732
0.18,0.07514341713585435,0.062085975358140026
0.2,0.04627913623732545,0.038698379073514956
0.22,0.025316413252670457,0.021273921139326222
0.24,0.012049164567846101,0.010031208395348627
0.26,0.004822998722609604,0.003841049482210563
0.28,0.0015554010831848218,0.0010733081897455088
0.3,0.00045456465820115506,0.0001883910190351556
0.32,0.00022708230621855003,1.888155824907534e-05
0.34,0.0002013592247872735,9.73413526389788e-07
0.36,0.00019999999999999998,-5.486929461547155e-21
0.38,0.00019999999999999998,-5.486929461547155e-21
