epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,0.5841799974441528,0.10303449630737305,0.17045362293720245,0.10303449630737305,0.4789313077926636,0.4965151846408844,0.4789313077926636,0.002213954459875822,0.03485585376620293,0.002213954459875822,0.4055725038051605,0.011560158804059029,0.08390434831380844,0.011560158804059029,0.3921566307544708,0.4451349675655365,0.3921566307544708,0.0018560785101726651,0.031813766807317734,0.0018560783937573433
1,0.36719879508018494,0.037187978625297546,0.10276935994625092,0.037187978625297546,0.32867762446403503,0.39958953857421875,0.32867762446403503,0.0013324659084901214,0.026608794927597046,0.0013324659084901214,0.2736402153968811,0.005326020531356335,0.05659537762403488,0.005326020531356335,0.2674558460712433,0.35440340638160706,0.2674558460712433,0.0008584237075410783,0.021330775693058968,0.0008584235911257565
2,0.23407210409641266,0.00882971752434969,0.06403319537639618,0.00882971752434969,0.22453397512435913,0.31854891777038574,0.22453397512435913,0.0007092942832969129,0.01950649544596672,0.0007092942832969129,0.19855785369873047,0.0032071529421955347,0.03748786449432373,0.0032071529421955347,0.19467972218990326,0.294394850730896,0.19467972218990326,0.0006709527806378901,0.019265150651335716,0.0006709526642225683
3,0.18212993443012238,0.006070313043892384,0.0576469786465168,0.006070313043892384,0.17536425590515137,0.27857986092567444,0.17536425590515137,0.0006952276453375816,0.019830264151096344,0.0006952276453375816,0.16038888692855835,0.0025043680798262358,0.03474953770637512,0.0025043680798262358,0.15719987452030182,0.2611551880836487,0.15719987452030182,0.0006846418837085366,0.01964712329208851,0.0006846418837085366
4,0.14939506351947784,0.0038472749292850494,0.047122642397880554,0.0038472749292850494,0.14489716291427612,0.2517472803592682,0.14489716291427612,0.0006505556521005929,0.01898285560309887,0.0006505556521005929,0.13255520164966583,0.002706394298002124,0.04083620011806488,0.002706394298002124,0.1292654126882553,0.23689836263656616,0.1292654126882553,0.0005833775503560901,0.01771167665719986,0.0005833775503560901
5,0.12260616570711136,0.003103523747995496,0.04230504855513573,0.003103523747995496,0.1190185695886612,0.22551925480365753,0.1190185695886612,0.0004841582558583468,0.015992268919944763,0.0004841582849621773,0.10976892709732056,0.0026306756772100925,0.03388069570064545,0.0026306756772100925,0.10674130916595459,0.21525152027606964,0.10674130916595459,0.00039694385486654937,0.014323952607810497,0.00039694385486654937
6,0.1037990003824234,0.0024119808804243803,0.03748391941189766,0.0024119808804243803,0.10103359073400497,0.20647314190864563,0.10103359073400497,0.0003534350835252553,0.013469637371599674,0.0003534350835252553,0.09462080895900726,0.0014014667831361294,0.02569817379117012,0.0014014667831361294,0.09289354830980301,0.1935330480337143,0.09289354830980301,0.0003257864445913583,0.012929870747029781,0.0003257864445913583
7,0.09343300014734268,0.0019879366736859083,0.034174688160419464,0.0019879366736859083,0.09113501757383347,0.1959320306777954,0.09113501757383347,0.00030998626607470214,0.012598191387951374,0.00030998626607470214,0.09019741415977478,0.0013840347528457642,0.03119811974465847,0.0013840347528457642,0.08851639926433563,0.1890055537223816,0.08851639926433563,0.0002970402128994465,0.012290246784687042,0.0002970402128994465
8,0.0867120549082756,0.001739411847665906,0.03195645287632942,0.001739411847665906,0.08468347042798996,0.18865032494068146,0.08468347042798996,0.00028913223650306463,0.012158705852925777,0.00028913223650306463,0.09312038868665695,0.005064801312983036,0.06392993777990341,0.005064801312983036,0.08778132498264313,0.19885562360286713,0.08778132498264313,0.0002742500801105052,0.012079047970473766,0.00027425005100667477
9,0.08107367157936096,0.0015455001266673207,0.030110042542219162,0.0015455001266673207,0.07925772666931152,0.18196287751197815,0.07925772666931152,0.0002705205406527966,0.01174312923103571,0.0002705205406527966,0.07836601138114929,0.0008909343159757555,0.021127881482243538,0.0008909343159757555,0.07721704244613647,0.1789025217294693,0.07721704244613647,0.000258017418673262,0.011610745452344418,0.000258017418673262
