"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.55719,-0.63351,-0.044561,-2.1512,-0.068206,-5.8543,2.4076,0.76637,-0.11689,-0.0035652,0.19851,-0.0021806,0.070866,1,0.798,0,-0.202,0
0.56475,-0.63816,-0.042052,-2.2089,-0.059773,-5.7827,2.4702,0.7863,-0.11872,-0.0034872,0.19987,-0.002166,0.073768,1,0.8,0,-0.2,0
0.57232,-0.64282,-0.039544,-2.2667,-0.05134,-5.7112,2.5329,0.80624,-0.12054,-0.0034093,0.20123,-0.0021513,0.076669,1,0.802,0,-0.198,0
0.58021,-0.64744,-0.036998,-2.3261,-0.0494,-5.6443,2.5985,0.82713,-0.12236,-0.0033618,0.20249,-0.0021735,0.079689,1,0.804,0,-0.196,0
0.58826,-0.65203,-0.034435,-2.3864,-0.050583,-5.5798,2.6656,0.84849,-0.12417,-0.0033291,0.2037,-0.0022133,0.082765,1,0.806,0,-0.194,0
0.59655,-0.65654,-0.031346,-2.4477,-0.04961,-5.5181,2.7343,0.87035,-0.12597,-0.0031971,0.20484,-0.0022535,0.085891,1,0.808,0,-0.192,0
0.60534,-0.66084,-0.027166,-2.511,-0.044155,-5.4619,2.8062,0.89323,-0.12775,-0.0028591,0.20584,-0.0022942,0.089119,1,0.81,0,-0.19,0
0.61413,-0.66514,-0.022986,-2.5744,-0.0387,-5.4058,2.878,0.91611,-0.12953,-0.0025211,0.20684,-0.002335,0.092347,1,0.812,0,-0.188,0
0.62351,-0.66941,-0.018906,-2.6402,-0.039558,-5.3551,2.9536,0.94017,-0.13127,-0.0022006,0.20768,-0.0024388,0.095661,1,0.814,0,-0.186,0
0.63316,-0.67367,-0.014876,-2.7072,-0.043455,-5.3069,3.0311,0.96482,-0.133,-0.0018884,0.20844,-0.0025731,0.099017,1,0.816,0,-0.184,0
0.6431,-0.67788,-0.010433,-2.7753,-0.045267,-5.2617,3.1104,0.99009,-0.13473,-0.0014699,0.20911,-0.0026943,0.1024,1,0.818,0,-0.182,0
0.65363,-0.68197,-0.0051346,-2.8458,-0.042749,-5.2227,3.1939,1.0167,-0.13644,-0.00083031,0.20962,-0.0027885,0.10585,1,0.82,0,-0.18,0
0.66417,-0.68606,0.00016413,-2.9163,-0.040231,-5.1836,3.2774,1.0432,-0.13816,-0.00019074,0.21013,-0.0028826,0.1093,1,0.822,0,-0.178,0
0.6753,-0.69019,0.0052273,-2.9895,-0.043977,-5.1499,3.3652,1.0712,-0.13984,0.00043572,0.21043,-0.0030659,0.11279,1,0.824,0,-0.176,0
0.68673,-0.69434,0.010177,-3.0641,-0.050736,-5.1187,3.4552,1.0998,-0.14151,0.0010559,0.21064,-0.003292,0.1163,1,0.826,0,-0.174,0
0.69835,-0.69854,0.015212,-3.1394,-0.054716,-5.0903,3.5474,1.1292,-0.14321,0.0017416,0.21079,-0.0034702,0.11981,1,0.828,0,-0.172,0
0.7104,-0.70285,0.020424,-3.2165,-0.052919,-5.0679,3.6444,1.1601,-0.14496,0.0025637,0.2108,-0.0035492,0.12332,1,0.83,0,-0.17,0
0.72244,-0.70715,0.025636,-3.2936,-0.051121,-5.0454,3.7414,1.1909,-0.14672,0.0033857,0.21082,-0.0036282,0.12684,1,0.832,0,-0.168,0
0.73479,-0.7118,0.030358,-3.3722,-0.054993,-5.0282,3.8432,1.2233,-0.14855,0.0041463,0.2107,-0.0038019,0.13032,1,0.834,0,-0.166,0
0.74729,-0.71661,0.034846,-3.4514,-0.061591,-5.0134,3.9472,1.2564,-0.15042,0.0048772,0.21053,-0.0040211,0.13379,1,0.836,0,-0.164,0
0.75981,-0.72166,0.039193,-3.5305,-0.064852,-5.0014,4.0534,1.2902,-0.15236,0.0056286,0.21035,-0.0041666,0.13722,1,0.838,0,-0.162,0
0.77237,-0.7272,0.043247,-3.6094,-0.061173,-4.9949,4.1642,1.3255,-0.15447,0.0064223,0.21014,-0.0041589,0.14058,1,0.84,0,-0.16,0
0.78493,-0.73274,0.047302,-3.6883,-0.057494,-4.9885,4.2751,1.3608,-0.15659,0.007216,0.20994,-0.0041512,0.14393,1,0.842,0,-0.158,0
0.79746,-0.73877,0.050426,-3.7663,-0.058136,-4.9874,4.3895,1.3972,-0.15884,0.0078235,0.2097,-0.0042225,0.14712,1,0.844,0,-0.156,0
0.80998,-0.74504,0.053103,-3.8437,-0.060857,-4.989,4.5056,1.4342,-0.16115,0.0083415,0.20944,-0.0043319,0.15025,1,0.846,0,-0.154,0
0.82247,-0.75126,0.055831,-3.9202,-0.061082,-4.9933,4.6226,1.4714,-0.16345,0.0089086,0.20913,-0.0043823,0.15325,1,0.848,0,-0.152,0
0.83491,-0.75737,0.058664,-3.9949,-0.056117,-5.003,4.7413,1.5092,-0.16569,0.009578,0.20872,-0.0043099,0.15601,1,0.85,0,-0.15,0
0.84735,-0.76347,0.061497,-4.0695,-0.051152,-5.0127,4.86,1.547,-0.16794,0.010247,0.20832,-0.0042376,0.15877,1,0.852,0,-0.148,0
0.85966,-0.76929,0.063065,-4.1413,-0.049346,-5.0278,4.9782,1.5846,-0.17009,0.010623,0.20779,-0.0042375,0.16119,1,0.854,0,-0.146,0
0.87192,-0.77498,0.064025,-4.2117,-0.049061,-5.0454,5.0963,1.6222,-0.17218,0.010857,0.20722,-0.0042721,0.16346,1,0.856,0,-0.144,0
0.88421,-0.77984,0.065462,-4.2813,-0.048349,-5.0651,5.2127,1.6593,-0.174,0.011226,0.20647,-0.0042837,0.16552,1,0.858,0,-0.142,0
0.89658,-0.78297,0.067891,-4.3489,-0.04675,-5.0891,5.3255,1.6952,-0.17527,0.011873,0.20537,-0.0042476,0.16718,1,0.86,0,-0.14,0
