"radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00031463,1,0.35638,-0.748,-0.748,0
0.00031476,1,0.35921,-0.746,-0.746,0
0.0003149,1,0.36204,-0.744,-0.744,0
0.000315,1,0.36487,-0.742,-0.742,0
0.00031506,1,0.3677,-0.74,-0.74,0
0.00031506,1,0.37052,-0.738,-0.738,0
0.00031519,1,0.37335,-0.736,-0.736,0
0.00031542,1,0.37618,-0.734,-0.734,0
0.00031564,1,0.37901,-0.732,-0.732,0
0.00031583,1,0.38184,-0.73,-0.73,0
0.00031619,1,0.38467,-0.728,-0.728,0
0.00031641,1,0.38749,-0.726,-0.726,0
0.00031646,1,0.39032,-0.724,-0.724,0
0.00031623,1,0.39315,-0.722,-0.722,0
0.00031602,1,0.39598,-0.72,-0.72,0
0.00031581,1,0.39881,-0.718,-0.718,0
0.00031568,1,0.40164,-0.716,-0.716,0
0.00031552,1,0.40447,-0.714,-0.714,0
0.00031531,1,0.40729,-0.712,-0.712,0
0.00031506,1,0.41012,-0.71,-0.71,0
0.00031479,1,0.41295,-0.708,-0.708,0
0.00031453,1,0.41578,-0.706,-0.706,0
0.00031412,1,0.41861,-0.704,-0.704,0
0.00031377,1,0.42144,-0.702,-0.702,0
0.00031344,1,0.42426,-0.7,-0.7,0
0.00031322,1,0.42709,-0.698,-0.698,0
0.00031317,1,0.42992,-0.696,-0.696,0
0.00031313,1,0.43275,-0.694,-0.694,0
0.00031315,1,0.43558,-0.692,-0.692,0
0.00031325,1,0.43841,-0.69,-0.69,0
0.00031338,1,0.44123,-0.688,-0.688,0
0.00031352,1,0.44406,-0.686,-0.686,0
0.0003135,1,0.44689,-0.684,-0.684,0
0.00031348,1,0.44972,-0.682,-0.682,0
0.00031346,1,0.45255,-0.68,-0.68,0
0.00031334,1,0.45538,-0.678,-0.678,0
0.00031321,1,0.45821,-0.676,-0.676,0
0.00031308,1,0.46103,-0.674,-0.674,0
0.00031307,1,0.46386,-0.672,-0.672,0
0.00031317,1,0.46669,-0.67,-0.67,0
0.0003133,1,0.46952,-0.668,-0.668,0
0.00031352,1,0.47235,-0.666,-0.666,0
0.00031377,1,0.47518,-0.664,-0.664,0
0.00031394,1,0.478,-0.662,-0.662,0
0.00031403,1,0.48083,-0.66,-0.66,0
0.00031416,1,0.48366,-0.658,-0.658,0
0.00031429,1,0.48649,-0.656,-0.656,0
0.00031437,1,0.48932,-0.654,-0.654,0
0.00031445,1,0.49215,-0.652,-0.652,0
0.00031454,1,0.49497,-0.65,-0.65,0
0.00031455,1,0.4978,-0.648,-0.648,0
0.00031423,1,0.50063,-0.646,-0.646,0
0.00031395,1,0.50346,-0.644,-0.644,0
0.0003137,1,0.50629,-0.642,-0.642,0
0.00031365,1,0.50912,-0.64,-0.64,0
0.0003136,1,0.51195,-0.638,-0.638,0
0.00031354,1,0.51477,-0.636,-0.636,0
0.00031371,1,0.5176,-0.634,-0.634,0
0.00031395,1,0.52043,-0.632,-0.632,0
0.00031424,1,0.52326,-0.63,-0.63,0
0.00031449,1,0.52609,-0.628,-0.628,0
0.00031471,1,0.52892,-0.626,-0.626,0
0.00031493,1,0.53174,-0.624,-0.624,0
0.00031501,1,0.53457,-0.622,-0.622,0
0.00031494,1,0.5374,-0.62,-0.62,0
0.00031482,1,0.54023,-0.618,-0.618,0
0.00031464,1,0.54306,-0.616,-0.616,0
0.00031436,1,0.54589,-0.614,-0.614,0
0.00031409,1,0.54871,-0.612,-0.612,0
0.00031387,1,0.55154,-0.61,-0.61,0
0.00031386,1,0.55437,-0.608,-0.608,0
0.00031382,1,0.5572,-0.606,-0.606,0
0.00031379,1,0.56003,-0.604,-0.604,0
0.00031401,1,0.56286,-0.602,-0.602,0
0.0003142,1,0.56569,-0.6,-0.6,0
0.00031439,1,0.56851,-0.598,-0.598,0
0.00031447,1,0.57134,-0.596,-0.596,0
0.00031453,1,0.57417,-0.594,-0.594,0
0.00031438,1,0.577,-0.592,-0.592,0
0.0003142,1,0.57983,-0.59,-0.59,0
0.00031403,1,0.58266,-0.588,-0.588,0
0.00031387,1,0.58548,-0.586,-0.586,0
0.0003138,1,0.58831,-0.584,-0.584,0
0.00031391,1,0.59114,-0.582,-0.582,0
0.00031402,1,0.59397,-0.58,-0.58,0
0.0003142,1,0.5968,-0.578,-0.578,0
0.00031455,1,0.59963,-0.576,-0.576,0
0.00031494,1,0.60245,-0.574,-0.574,0
0.00031599,1,0.60528,-0.572,-0.572,0
0.00032154,1,0.60811,-0.57,-0.57,0
0.0003271,1,0.61094,-0.568,-0.568,0
0.0003341,1,0.61377,-0.566,-0.566,0
0.00041217,1,0.6166,-0.564,-0.564,0
0.0004933,1,0.61943,-0.562,-0.562,0
0.00056871,1,0.62225,-0.56,-0.56,0
0.0010481,1,0.62508,-0.558,-0.558,0
0.0017166,1,0.62791,-0.556,-0.556,0
0.0023851,1,0.63074,-0.554,-0.554,0
0.0045696,1,0.63357,-0.552,-0.552,0
0.0077833,1,0.6364,-0.55,-0.55,0
0.011935,1,0.63922,-0.548,-0.548,0
0.019868,1,0.64205,-0.546,-0.546,0
0.032441,1,0.64488,-0.544,-0.544,0
0.045015,1,0.64771,-0.542,-0.542,0
0.064326,1,0.65054,-0.54,-0.54,0
0.095833,1,0.65337,-0.538,-0.538,0
0.12609,1,0.6562,-0.536,-0.536,0
0.15892,1,0.65902,-0.534,-0.534,0
0.21651,1,0.66185,-0.532,-0.532,0
0.2786,1,0.66468,-0.53,-0.53,0
0.34069,1,0.66751,-0.528,-0.528,0
0.46767,1,0.67034,-0.526,-0.526,0
0.60214,1,0.67317,-0.524,-0.524,0
0.76543,1,0.67599,-0.522,-0.522,0
1.0758,1,0.67882,-0.52,-0.52,0
1.4302,1,0.68165,-0.518,-0.518,0
1.7846,1,0.68448,-0.516,-0.516,0
2.243,1,0.68731,-0.514,-0.514,0
2.7546,1,0.69014,-0.512,-0.512,0
3.2662,1,0.69296,-0.51,-0.51,0
3.7149,1,0.69579,-0.508,-0.508,0
4.0526,1,0.69862,-0.506,-0.506,0
4.3557,1,0.70145,-0.504,-0.504,0
4.615,1,0.70428,-0.502,-0.502,0
4.7494,1,0.70711,-0.5,-0.5,0
4.8808,1,0.70994,-0.498,-0.498,0
4.9811,1,0.71276,-0.496,-0.496,0
5.015,1,0.71559,-0.494,-0.494,0
5.0489,1,0.71842,-0.492,-0.492,0
5.0843,1,0.72125,-0.49,-0.49,0
5.0219,1,0.72408,-0.488,-0.488,0
4.9457,1,0.72691,-0.486,-0.486,0
4.8695,1,0.72973,-0.484,-0.484,0
4.687,1,0.73256,-0.482,-0.482,0
4.455,1,0.73539,-0.48,-0.48,0
4.2056,1,0.73822,-0.478,-0.478,0
3.9325,1,0.74105,-0.476,-0.476,0
3.6421,1,0.74388,-0.474,-0.474,0
3.354,1,0.7467,-0.472,-0.472,0
3.1222,1,0.74953,-0.47,-0.47,0
2.948,1,0.75236,-0.468,-0.468,0
2.7707,1,0.75519,-0.466,-0.466,0
2.6086,1,0.75802,-0.464,-0.464,0
2.5143,1,0.76085,-0.462,-0.462,0
2.4225,1,0.76368,-0.46,-0.46,0
