"analytic radiation flux density","radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.394907,0.000931947,1,0.246,0,-0.754,0
2.376486,0.00100114,1,0.248,0,-0.752,0
3.667356,0.001076803,1,0.25,0,-0.75,0
4.958226,0.001152466,1,0.252,0,-0.748,0
5.929929,0.001234964,1,0.254,0,-0.746,0
6.748005,0.001320747,1,0.256,0,-0.744,0
7.249545,0.00140994,1,0.258,0,-0.742,0
7.09322,0.001506211,1,0.26,0,-0.74,0
6.936891,0.001602485,1,0.262,0,-0.738,0
6.425591,0.00170596,1,0.264,0,-0.736,0
5.743488,0.001812901,1,0.266,0,-0.734,0
5.199205,0.001923293,1,0.268,0,-0.732,0
4.941391,0.002040848,1,0.27,0,-0.73,0
4.683569,0.002158406,1,0.272,0,-0.728,0
4.497337,0.002282922,1,0.274,0,-0.726,0
4.345544,0.002410791,1,0.276,0,-0.724,0
4.209836,0.002541813,1,0.278,0,-0.722,0
4.107544,0.002679394,1,0.28,0,-0.72,0
4.005249,0.002816979,1,0.282,0,-0.718,0
3.922011,0.002960535,1,0.284,0,-0.716,0
3.847939,0.003106971,1,0.286,0,-0.714,0
3.779719,0.003255896,1,0.288,0,-0.712,0
3.723652,0.00341001,1,0.29,0,-0.71,0
3.667588,0.00356412,1,0.292,0,-0.708,0
3.619826,0.003722463,1,0.294,0,-0.706,0
3.576063,0.003882837,1,0.296,0,-0.704,0
3.535176,0.0040447,1,0.298,0,-0.702,0
3.50027,0.004209665,1,0.3,0,-0.7,0
3.465365,0.004374624,1,0.302,0,-0.698,0
3.434919,0.00454145,1,0.304,0,-0.696,0
3.406622,0.004709166,1,0.306,0,-0.694,0
3.379977,0.004877135,1,0.308,0,-0.692,0
3.356768,0.005045615,1,0.31,0,-0.69,0
3.333559,0.005214094,1,0.312,0,-0.688,0
3.313052,0.005381746,1,0.314,0,-0.686,0
3.293846,0.005548993,1,0.316,0,-0.684,0
3.275686,0.00571519,1,0.318,0,-0.682,0
3.259698,0.005879191,1,0.32,0,-0.68,0
3.24371,0.006043197,1,0.322,0,-0.678,0
3.229494,0.00620377,1,0.324,0,-0.676,0
3.216131,0.006362694,1,0.326,0,-0.674,0
3.203473,0.006519427,1,0.328,0,-0.672,0
3.192283,0.006671591,1,0.33,0,-0.67,0
3.181093,0.006823759,1,0.332,0,-0.668,0
3.171131,0.00697047,1,0.334,0,-0.666,0
3.161759,0.007114563,1,0.336,0,-0.664,0
3.152888,0.007255695,1,0.338,0,-0.662,0
3.145057,0.007390682,1,0.34,0,-0.66,0
3.137226,0.007525673,1,0.342,0,-0.658,0
3.130282,0.007654171,1,0.344,0,-0.656,0
3.123764,0.007779551,1,0.346,0,-0.654,0
3.117614,0.00790176,1,0.348,0,-0.652,0
3.112228,0.008017389,1,0.35,0,-0.65,0
3.106842,0.008133015,1,0.352,0,-0.648,0
3.102118,0.008242358,1,0.354,0,-0.646,0
3.097711,0.008348682,1,0.356,0,-0.644,0
3.093583,0.008452243,1,0.358,0,-0.642,0
3.090032,0.008550073,1,0.36,0,-0.64,0
3.08648,0.008647899,1,0.362,0,-0.638,0
3.083435,0.008740916,1,0.364,0,-0.636,0
3.080633,0.008831614,1,0.366,0,-0.634,0
3.078045,0.008920527,1,0.368,0,-0.632,0
3.075904,0.009005732,1,0.37,0,-0.63,0
3.073763,0.009090934,1,0.372,0,-0.628,0
3.072016,0.009173822,1,0.374,0,-0.626,0
3.070459,0.009255592,1,0.376,0,-0.624,0
3.069071,0.00933695,1,0.378,0,-0.622,0
3.068034,0.009417444,1,0.38,0,-0.62,0
3.066996,0.00949794,1,0.382,0,-0.618,0
3.066272,0.00957919,1,0.384,0,-0.616,0
3.065698,0.009660804,1,0.386,0,-0.614,0
3.065259,0.009743525,1,0.388,0,-0.612,0
3.0651,0.009828536,1,0.39,0,-0.61,0
3.064941,0.009913549,1,0.392,0,-0.608,0
3.065033,0.01000241,1,0.394,0,-0.606,0
3.065246,0.01009313,1,0.396,0,-0.604,0
3.065567,0.01018635,1,0.398,0,-0.602,0
3.066115,0.01028476,1,0.4,0,-0.6,0
3.066663,0.01038317,1,0.402,0,-0.598,0
3.067415,0.01048802,1,0.404,0,-0.596,0
3.068265,0.01059596,1,0.406,0,-0.594,0
3.069203,0.01070745,1,0.408,0,-0.592,0
3.070326,0.0108263,1,0.41,0,-0.59,0
3.071448,0.01094514,1,0.412,0,-0.588,0
3.072737,0.0110721,1,0.414,0,-0.586,0
3.074107,0.01120297,1,0.416,0,-0.584,0
3.075549,0.01133793,1,0.418,0,-0.582,0
3.077143,0.0114814,1,0.42,0,-0.58,0
3.078736,0.01162486,1,0.422,0,-0.578,0
3.080467,0.01177705,1,0.424,0,-0.576,0
3.082263,0.01193341,1,0.426,0,-0.574,0
3.08412,0.01209391,1,0.428,0,-0.572,0
3.086101,0.01226298,1,0.43,0,-0.57,0
3.088083,0.01243206,1,0.432,0,-0.568,0
3.090177,0.01260941,1,0.434,0,-0.566,0
3.092326,0.01279075,1,0.436,0,-0.564,0
3.094525,0.01297581,1,0.438,0,-0.562,0
3.096827,0.01316859,1,0.44,0,-0.56,0
3.099129,0.01336136,1,0.442,0,-0.558,0
3.101525,0.01356121,1,0.444,0,-0.556,0
3.103966,0.01376444,1,0.446,0,-0.554,0
3.106448,0.01397068,1,0.448,0,-0.552,0
3.109016,0.01418315,1,0.45,0,-0.55,0
3.111584,0.01439564,1,0.452,0,-0.548,0
3.11423,0.01461348,1,0.454,0,-0.546,0
3.116912,0.01483391,1,0.456,0,-0.544,0
3.11963,0.01505648,1,0.458,0,-0.542,0
3.122417,0.01528351,1,0.46,0,-0.54,0
3.125205,0.01551055,1,0.462,0,-0.538,0
3.128058,0.0157411,1,0.464,0,-0.536,0
3.130941,0.01597334,1,0.466,0,-0.534,0
3.133852,0.01620686,1,0.468,0,-0.532,0
3.136822,0.01644302,1,0.47,0,-0.53,0
3.139792,0.01667918,1,0.472,0,-0.528,0
3.142815,0.01691706,1,0.474,0,-0.526,0
3.145863,0.01715579,1,0.476,0,-0.524,0
3.148934,0.01739497,1,0.478,0,-0.522,0
3.152054,0.01763512,1,0.48,0,-0.52,0
3.155174,0.01787526,1,0.482,0,-0.518,0
3.158337,0.01811551,1,0.484,0,-0.516,0
3.16152,0.01835579,1,0.486,0,-0.514,0
3.164723,0.01859581,1,0.488,0,-0.512,0
3.167965,0.01883529,1,0.49,0,-0.51,0
3.171207,0.01907476,1,0.492,0,-0.508,0
3.174484,0.01931287,1,0.494,0,-0.506,0
3.177778,0.01955031,1,0.496,0,-0.504,0
3.181087,0.01978684,1,0.498,0,-0.502,0
3.184427,0.02002144,1,0.5,0,-0.5,0
