"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1389,-0.001131,0.0017161,-0.0070367,-0.017701,-0.010601,0.00031411,9.9983e-05,-4.8352e-08,7.3924e-08,3.3231e-05,-1.2059e-07,3.3414e-05,1,0.076368,-0.946,-0.946,0
-1.1388,-0.0011037,0.0016685,-0.0068198,-0.014807,-0.010924,0.00031405,9.9967e-05,-5.0522e-08,6.5234e-08,3.3227e-05,-1.0964e-07,3.3405e-05,1,0.079196,-0.944,-0.944,0
-1.1388,-0.0010765,0.0016209,-0.0066028,-0.011913,-0.011246,0.000314,9.995e-05,-5.2692e-08,5.6544e-08,3.3223e-05,-9.8687e-08,3.3396e-05,1,0.082024,-0.942,-0.942,0
-1.1388,-0.0010575,0.0015624,-0.0064004,-0.0089508,-0.01155,0.00031395,9.9933e-05,-5.5321e-08,4.7419e-08,3.3219e-05,-8.7182e-08,3.3387e-05,1,0.084853,-0.94,-0.94,0
-1.1389,-0.0010019,0.00059617,-0.0071751,-0.0090943,-0.0104,0.00031408,9.9976e-05,-4.9452e-08,5.9048e-09,3.3239e-05,-9.2383e-08,3.3402e-05,1,0.087681,-0.938,-0.938,0
-1.139,-0.0009539,-0.0003991,-0.0080054,-0.0093106,-0.0091843,0.00031422,0.00010002,-4.373e-08,-3.6852e-08,3.3258e-05,-9.7987e-08,3.3418e-05,1,0.09051,-0.936,-0.936,0
-1.1391,-0.00090592,-0.0013943,-0.0088357,-0.0095269,-0.0079684,0.00031436,0.00010006,-3.8007e-08,-7.9608e-08,3.3278e-05,-1.0359e-07,3.3434e-05,1,0.093338,-0.934,-0.934,0
-1.1394,-0.00081383,-0.0025117,-0.01032,-0.01187,-0.0057847,0.00031463,0.00010015,-3.9693e-08,-1.3319e-07,3.3302e-05,-1.1167e-07,3.3476e-05,1,0.096167,-0.932,-0.932,0
-1.1397,-0.0010034,-0.0037406,-0.011973,-0.01352,-0.0033014,0.00031492,0.00010024,-5.4524e-08,-1.8768e-07,3.3339e-05,-1.1209e-07,3.3514e-05,1,0.098995,-0.93,-0.93,0
-1.14,-0.0013732,-0.0050208,-0.013636,-0.014438,-0.00077185,0.00031521,0.00010033,-7.6408e-08,-2.4119e-07,3.3382e-05,-1.0743e-07,3.3544e-05,1,0.10182,-0.928,-0.928,0
-1.1402,-0.0021669,-0.0059166,-0.014305,-0.01268,0.00064104,0.00031543,0.0001004,-1.1538e-07,-2.7402e-07,3.3423e-05,-9.2358e-08,3.356e-05,1,0.10465,-0.926,-0.926,0
-1.1404,-0.0031975,-0.0065975,-0.014418,-0.0094265,0.0014297,0.00031561,0.00010046,-1.639e-07,-2.9527e-07,3.3462e-05,-7.1457e-08,3.3568e-05,1,0.10748,-0.924,-0.924,0
-1.1406,-0.0041053,-0.0069498,-0.014146,-0.0062008,0.0017234,0.00031576,0.00010051,-2.0617e-07,-3.0202e-07,3.35e-05,-5.4032e-08,3.3568e-05,1,0.11031,-0.922,-0.922,0
-1.1406,-0.0047233,-0.006362,-0.013157,-0.0032484,0.00081717,0.00031576,0.00010051,-2.2996e-07,-2.7003e-07,3.3524e-05,-5.6658e-08,3.3545e-05,1,0.11314,-0.92,-0.92,0
-1.1406,-0.0053565,-0.0056302,-0.01243,-0.00052478,-6.4041e-05,0.0003157,0.00010049,-2.5034e-07,-2.3478e-07,3.3535e-05,-7.2132e-08,3.3519e-05,1,0.11597,-0.918,-0.918,0
-1.1405,-0.0059194,-0.0047738,-0.01163,0.0019029,-0.0010652,0.00031562,0.00010047,-2.6675e-07,-1.9377e-07,3.3544e-05,-8.9774e-08,3.3491e-05,1,0.11879,-0.916,-0.916,0
-1.1403,-0.0061174,-0.0036194,-0.01091,0.0026333,-0.0022851,0.00031544,0.00010041,-2.6767e-07,-1.4034e-07,3.3526e-05,-1.0597e-07,3.3463e-05,1,0.12162,-0.914,-0.914,0
-1.1402,-0.0057699,-0.0024466,-0.0096625,0.00030941,-0.0039516,0.00031527,0.00010035,-2.4542e-07,-8.5694e-08,3.349e-05,-1.2021e-07,3.3456e-05,1,0.12445,-0.912,-0.912,0
-1.1401,-0.005413,-0.0012631,-0.0083604,-0.002071,-0.0056538,0.0003151,0.0001003,-2.2246e-07,-3.0404e-08,3.3455e-05,-1.3521e-07,3.3449e-05,1,0.12728,-0.91,-0.91,0
-1.1399,-0.0050265,-0.00016518,-0.0072814,-0.0041085,-0.0071724,0.00031492,0.00010024,-1.9899e-07,1.9435e-08,3.3418e-05,-1.4642e-07,3.3441e-05,1,0.13011,-0.908,-0.908,0
