"radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00031409,1,0.108,0,-0.892,0
0.00031378,1,0.11,0,-0.89,0
0.00031347,1,0.112,0,-0.888,0
0.00031339,1,0.114,0,-0.886,0
0.00031341,1,0.116,0,-0.884,0
0.0003135,1,0.118,0,-0.882,0
0.00031374,1,0.12,0,-0.88,0
0.00031398,1,0.122,0,-0.878,0
0.00031422,1,0.124,0,-0.876,0
0.00031445,1,0.126,0,-0.874,0
0.00031466,1,0.128,0,-0.872,0
0.00031482,1,0.13,0,-0.87,0
0.00031499,1,0.132,0,-0.868,0
0.00031503,1,0.134,0,-0.866,0
0.00031502,1,0.136,0,-0.864,0
0.00031503,1,0.138,0,-0.862,0
0.00031508,1,0.14,0,-0.86,0
0.00031513,1,0.142,0,-0.858,0
0.00031514,1,0.144,0,-0.856,0
0.00031513,1,0.146,0,-0.854,0
0.00031508,1,0.148,0,-0.852,0
0.00031492,1,0.15,0,-0.85,0
0.00031477,1,0.152,0,-0.848,0
0.00031461,1,0.154,0,-0.846,0
0.00031446,1,0.156,0,-0.844,0
0.00031434,1,0.158,0,-0.842,0
0.00031432,1,0.16,0,-0.84,0
0.00031429,1,0.162,0,-0.838,0
0.00031491,1,0.164,0,-0.836,0
0.00031584,1,0.166,0,-0.834,0
0.0003175,1,0.168,0,-0.832,0
0.00032068,1,0.17,0,-0.83,0
0.00032386,1,0.172,0,-0.828,0
0.00033124,1,0.174,0,-0.826,0
0.00034063,1,0.176,0,-0.824,0
0.00035509,1,0.178,0,-0.822,0
0.00038006,1,0.18,0,-0.82,0
0.00040503,1,0.182,0,-0.818,0
0.00045423,1,0.184,0,-0.816,0
0.00051509,1,0.186,0,-0.814,0
0.00060047,1,0.188,0,-0.812,0
0.00073679,1,0.19,0,-0.81,0
0.00087311,1,0.192,0,-0.808,0
0.0011052,1,0.194,0,-0.806,0
0.0013833,1,0.196,0,-0.804,0
0.0017421,1,0.198,0,-0.802,0
0.0022688,1,0.2,0,-0.8,0
0.0027955,1,0.202,0,-0.798,0
0.0036017,1,0.204,0,-0.796,0
0.0045424,1,0.206,0,-0.794,0
0.0056992,1,0.208,0,-0.792,0
0.007305,1,0.21,0,-0.79,0
0.0089108,1,0.212,0,-0.788,0
0.011216,1,0.214,0,-0.786,0
0.013859,1,0.216,0,-0.784,0
0.017021,1,0.218,0,-0.782,0
0.021261,1,0.22,0,-0.78,0
0.025501,1,0.222,0,-0.778,0
0.031391,1,0.224,0,-0.776,0
0.038076,1,0.226,0,-0.774,0
0.045979,1,0.228,0,-0.772,0
0.056415,1,0.23,0,-0.77,0
0.066851,1,0.232,0,-0.768,0
0.081133,1,0.234,0,-0.766,0
0.097265,1,0.236,0,-0.764,0
0.1162,1,0.238,0,-0.762,0
0.14097,1,0.24,0,-0.76,0
0.16574,1,0.242,0,-0.758,0
0.19926,1,0.244,0,-0.756,0
0.23699,1,0.246,0,-0.754,0
0.28106,1,0.248,0,-0.752,0
0.3383,1,0.25,0,-0.75,0
0.39555,1,0.252,0,-0.748,0
0.4727,1,0.254,0,-0.746,0
0.55943,1,0.256,0,-0.744,0
0.6609,1,0.258,0,-0.742,0
0.793,1,0.26,0,-0.74,0
0.92511,1,0.262,0,-0.738,0
1.1064,1,0.264,0,-0.736,0
1.3115,1,0.266,0,-0.734,0
1.5468,1,0.268,0,-0.732,0
1.845,1,0.27,0,-0.73,0
2.1433,1,0.272,0,-0.728,0
2.4753,1,0.274,0,-0.726,0
2.8236,1,0.276,0,-0.724,0
3.1601,1,0.278,0,-0.722,0
3.4718,1,0.28,0,-0.72,0
3.7835,1,0.282,0,-0.718,0
4.0294,1,0.284,0,-0.716,0
4.2437,1,0.286,0,-0.714,0
4.4281,1,0.288,0,-0.712,0
