"radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00031413,1,0.3,0,-0.7,0
0.0003141,1,0.302,0,-0.698,0
0.00031415,1,0.304,0,-0.696,0
0.00031423,1,0.306,0,-0.694,0
0.00031438,1,0.308,0,-0.692,0
0.00031466,1,0.31,0,-0.69,0
0.00031494,1,0.312,0,-0.688,0
0.00031555,1,0.314,0,-0.686,0
0.00031632,1,0.316,0,-0.684,0
0.00031747,1,0.318,0,-0.682,0
0.00031944,1,0.32,0,-0.68,0
0.00032141,1,0.322,0,-0.678,0
0.00032541,1,0.324,0,-0.676,0
0.00033038,1,0.326,0,-0.674,0
0.00033764,1,0.328,0,-0.672,0
0.00034967,1,0.33,0,-0.67,0
0.0003617,1,0.332,0,-0.668,0
0.00038387,1,0.334,0,-0.666,0
0.00041093,1,0.336,0,-0.664,0
0.00044758,1,0.338,0,-0.662,0
0.00050417,1,0.34,0,-0.66,0
0.00056076,1,0.342,0,-0.658,0
0.00065369,1,0.344,0,-0.656,0
0.00076412,1,0.346,0,-0.654,0
0.00090506,1,0.348,0,-0.652,0
0.0011094,1,0.35,0,-0.65,0
0.0013138,1,0.352,0,-0.648,0
0.0016254,1,0.354,0,-0.646,0
0.0019887,1,0.356,0,-0.644,0
0.0024387,1,0.358,0,-0.642,0
0.0030689,1,0.36,0,-0.64,0
0.0036992,1,0.362,0,-0.638,0
0.0046287,1,0.364,0,-0.636,0
0.0057023,1,0.366,0,-0.634,0
0.0070139,1,0.368,0,-0.632,0
0.0088206,1,0.37,0,-0.63,0
0.010627,1,0.372,0,-0.628,0
0.01324,1,0.374,0,-0.626,0
0.01624,1,0.376,0,-0.624,0
0.019866,1,0.378,0,-0.622,0
0.024791,1,0.38,0,-0.62,0
0.029717,1,0.382,0,-0.618,0
0.036697,1,0.384,0,-0.616,0
0.044667,1,0.386,0,-0.614,0
0.054181,1,0.388,0,-0.612,0
0.066906,1,0.39,0,-0.61,0
0.07963,1,0.392,0,-0.608,0
0.097269,1,0.394,0,-0.606,0
0.11727,1,0.396,0,-0.604,0
0.14085,1,0.398,0,-0.602,0
0.17184,1,0.4,0,-0.6,0
0.20284,1,0.402,0,-0.598,0
0.24481,1,0.404,0,-0.596,0
0.29207,1,0.406,0,-0.594,0
0.34702,1,0.408,0,-0.592,0
0.41799,1,0.41,0,-0.59,0
0.48896,1,0.412,0,-0.588,0
0.58281,1,0.414,0,-0.586,0
0.68767,1,0.416,0,-0.584,0
0.80808,1,0.418,0,-0.582,0
0.96077,1,0.42,0,-0.58,0
1.1135,1,0.422,0,-0.578,0
1.3109,1,0.424,0,-0.576,0
1.5299,1,0.426,0,-0.574,0
