"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1449,0.000896,4.7303e-05,0.00019608,0.0067473,0.00035481,0.00031408,9.9975e-05,4.0548e-08,1.0651e-08,3.3309e-05,2.2268e-08,3.3342e-05,1,0.079196,-0.944,-0.944,0
-1.1446,0.0011204,0.00075955,0.00085339,0.0060199,-0.0012165,0.00031396,9.9938e-05,5.178e-08,3.5923e-08,3.3296e-05,1.4792e-08,3.3325e-05,1,0.082024,-0.942,-0.942,0
-1.1443,0.0013506,0.00148,0.0015178,0.0052636,-0.0027951,0.00031385,9.9901e-05,6.3127e-08,6.1478e-08,3.3282e-05,7.3561e-09,3.3308e-05,1,0.084853,-0.94,-0.94,0
-1.1442,0.0014799,0.0016465,0.00088322,0.0047957,-0.0025794,0.0003138,9.9887e-05,6.3307e-08,5.9258e-08,3.3272e-05,9.6738e-09,3.3307e-05,1,0.087681,-0.938,-0.938,0
-1.144,0.001589,0.0017994,0.00021476,0.0043894,-0.0023135,0.00031376,9.9873e-05,6.2568e-08,5.6177e-08,3.3262e-05,1.2222e-08,3.3307e-05,1,0.09051,-0.936,-0.936,0
-1.1439,0.0016982,0.0019523,-0.00045369,0.0039831,-0.0020475,0.00031372,9.986e-05,6.1828e-08,5.3096e-08,3.3253e-05,1.477e-08,3.3306e-05,1,0.093338,-0.934,-0.934,0
-1.144,0.0017173,0.0017841,-0.00072435,0.0049051,-0.0015388,0.00031374,9.9867e-05,5.5451e-08,4.8504e-08,3.3256e-05,2.4557e-08,3.3308e-05,1,0.096167,-0.932,-0.932,0
-1.1441,0.0016637,0.00178,-0.00089093,0.0070316,-0.001008,0.00031378,9.9878e-05,4.824e-08,5.4391e-08,3.3263e-05,3.6214e-08,3.3309e-05,1,0.098995,-0.93,-0.93,0
-1.1442,0.0015782,0.0019233,-0.0010504,0.0097109,-0.0004983,0.00031381,9.9888e-05,4.1322e-08,6.6965e-08,3.3271e-05,4.7988e-08,3.3309e-05,1,0.10182,-0.928,-0.928,0
-1.1443,0.0014879,0.002152,-0.00054713,0.011336,-0.00084104,0.00031382,9.9891e-05,3.9174e-08,7.8597e-08,3.3277e-05,5.4454e-08,3.3305e-05,1,0.10465,-0.926,-0.926,0
-1.1443,0.001395,0.0024285,0.00032672,0.012371,-0.0016604,0.00031382,9.9891e-05,3.9694e-08,8.9701e-08,3.3284e-05,5.7953e-08,3.3299e-05,1,0.10748,-0.924,-0.924,0
-1.1443,0.0014161,0.0026936,0.0010804,0.012716,-0.0024988,0.0003138,9.9887e-05,4.4072e-08,1.0045e-07,3.3287e-05,5.9234e-08,3.3293e-05,1,0.11031,-0.922,-0.922,0
-1.1442,0.0016691,0.0026713,0.0010381,0.010847,-0.0025704,0.00031381,9.9888e-05,5.4632e-08,9.6731e-08,3.3286e-05,5.3821e-08,3.3294e-05,1,0.11314,-0.92,-0.92,0
-1.1443,0.0018668,0.0023582,0.00043664,0.0084057,-0.0017293,0.00031386,9.9906e-05,6.1438e-08,7.7753e-08,3.3288e-05,4.7048e-08,3.3306e-05,1,0.11597,-0.918,-0.918,0
-1.1444,0.0020402,0.0020504,-0.00014309,0.0060623,-0.00094081,0.00031392,9.9923e-05,6.7912e-08,5.9185e-08,3.3291e-05,4.0272e-08,3.3317e-05,1,0.11879,-0.916,-0.916,0
-1.1444,0.0021144,0.0017916,-0.00049584,0.0041935,-0.0004307,0.00031396,9.9937e-05,7.1552e-08,4.388e-08,3.3295e-05,3.2205e-08,3.3325e-05,1,0.12162,-0.914,-0.914,0
-1.1447,0.0017422,0.0010665,-0.00079267,0.0044896,0.00060307,0.00031405,9.9966e-05,5.7828e-08,2.3229e-08,3.3307e-05,2.8173e-08,3.3337e-05,1,0.12445,-0.912,-0.912,0
-1.1449,0.0013528,0.00031778,-0.0011031,0.0048637,0.0016711,0.00031415,9.9996e-05,4.3525e-08,2.1447e-09,3.3319e-05,2.4446e-08,3.3348e-05,1,0.12728,-0.91,-0.91,0
-1.1452,0.0010096,-0.00033352,-0.0013913,0.0050683,0.0026574,0.00031423,0.00010002,3.0904e-08,-1.5499e-08,3.3329e-05,2.1602e-08,3.3359e-05,1,0.13011,-0.908,-0.908,0
-1.1453,0.00097101,-0.00034256,-0.001533,0.0041564,0.003105,0.00031424,0.00010003,2.9372e-08,-1.0466e-08,3.3327e-05,2.4575e-08,3.3365e-05,1,0.13294,-0.906,-0.906,0
-1.1452,0.00097138,-0.00023018,-0.0012272,0.0032711,0.0027182,0.00031422,0.00010002,3.1764e-08,-3.6739e-09,3.3326e-05,2.4617e-08,3.3361e-05,1,0.13576,-0.904,-0.904,0
-1.1451,0.00099484,-4.5857e-05,-0.00065647,0.0024015,0.0018371,0.00031418,0.00010001,3.6481e-08,4.1594e-09,3.3325e-05,2.2921e-08,3.335e-05,1,0.13859,-0.902,-0.902,0
-1.145,0.00098106,-0.00012613,-0.00096124,0.0018801,0.0018013,0.00031415,9.9997e-05,3.6188e-08,-1.5775e-10,3.3323e-05,2.5755e-08,3.3345e-05,1,0.14142,-0.9,-0.9,0
-1.1449,0.00096581,-0.00021689,-0.0013007,0.0013725,0.0017991,0.00031412,9.9987e-05,3.5697e-08,-4.9562e-09,3.332e-05,2.8768e-08,3.334e-05,1,0.14425,-0.898,-0.898,0
-1.1448,0.00095938,-0.0002288,-0.0016472,0.00080234,0.0018183,0.00031409,9.9977e-05,3.5085e-08,-6.9354e-09,3.3316e-05,3.2456e-08,3.3335e-05,1,0.14708,-0.896,-0.896,0
-1.1446,0.00077424,-6.2329e-05,-0.0020642,0.0012446,0.0015351,0.000314,9.9948e-05,2.8156e-08,-1.5047e-09,3.3298e-05,3.3481e-08,3.333e-05,1,0.14991,-0.894,-0.894,0
-1.1443,0.00054824,0.00012629,-0.0024842,0.0021264,0.0011685,0.00031389,9.9916e-05,1.9924e-08,4.8849e-09,3.3279e-05,3.2838e-08,3.3323e-05,1,0.15274,-0.892,-0.892,0
-1.144,0.00033879,0.00034963,-0.0028882,0.0032024,0.00081527,0.0003138,9.9885e-05,1.2092e-08,1.2366e-08,3.3262e-05,3.1399e-08,3.3315e-05,1,0.15556,-0.89,-0.89,0
-1.144,0.00041873,0.00054553,-0.0025056,0.0038697,0.00033522,0.00031378,9.9879e-05,1.1663e-08,1.9655e-08,3.3257e-05,3.2612e-08,3.3316e-05,1,0.15839,-0.888,-0.888,0
-1.1441,0.00053426,0.00095192,-0.0020603,0.0049368,0.00018708,0.00031381,9.9888e-05,8.1191e-09,3.1494e-08,3.3259e-05,3.7558e-08,3.3319e-05,1,0.16122,-0.886,-0.886,0
-1.1442,0.00064511,0.0013659,-0.0016289,0.0060256,5.2607e-05,0.00031383,9.9896e-05,4.321e-09,4.3487e-08,3.3262e-05,4.2576e-08,3.3323e-05,1,0.16405,-0.884,-0.884,0
-1.1443,0.0008084,0.0016247,-0.00080463,0.0069413,-0.00035903,0.00031388,9.9911e-05,6.7009e-09,5.3028e-08,3.3274e-05,4.7813e-08,3.3324e-05,1,0.16688,-0.882,-0.882,0
-1.1445,0.0010352,0.0016957,0.00049549,0.0076474,-0.0011064,0.00031396,9.9936e-05,1.6563e-08,5.9599e-08,3.3296e-05,5.3318e-08,3.3321e-05,1,0.16971,-0.88,-0.88,0
