"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1441,0.00027762,2.4417e-05,0.00042613,0.0050508,-0.0022027,0.00031391,9.9919e-05,9.629e-09,6.9051e-09,3.3303e-05,4.1773e-08,3.3299e-05,1,0.056,0,-0.944,0
-1.1441,0.00020919,5.7565e-05,0.00053992,0.0049578,-0.0023646,0.0003139,9.9917e-05,7.269e-09,7.2631e-09,3.3304e-05,4.4139e-08,3.3296e-05,1,0.058,0,-0.942,0
-1.1442,0.00014194,0.00021621,6.7698e-05,0.0046774,-0.0017888,0.00031392,9.9925e-05,6.3299e-09,9.3216e-09,3.3308e-05,4.6111e-08,3.3298e-05,1,0.06,0,-0.94,0
-1.1442,7.4688e-05,0.00037486,-0.00040453,0.004397,-0.001213,0.00031394,9.9932e-05,5.3909e-09,1.138e-08,3.3312e-05,4.8084e-08,3.33e-05,1,0.062,0,-0.938,0
-1.1442,-1.7421e-05,0.00046677,-0.0006341,0.0041282,-0.00088719,0.00031396,9.9936e-05,3.1834e-09,1.2867e-08,3.3314e-05,4.6785e-08,3.3301e-05,1,0.064,0,-0.936,0
-1.1443,-0.00012149,0.00052656,-0.00074688,0.0038649,-0.00068162,0.00031397,9.9939e-05,3.6575e-10,1.4079e-08,3.3315e-05,4.3912e-08,3.3303e-05,1,0.066,0,-0.934,0
-1.1443,-0.00023041,0.00060186,-0.00097189,0.0036105,-0.00029944,0.00031398,9.9944e-05,-3.7734e-09,1.6371e-08,3.3315e-05,4.2082e-08,3.3307e-05,1,0.068,0,-0.932,0
-1.1444,-0.0003494,0.00070936,-0.0014301,0.0033743,0.00044974,0.00031402,9.9954e-05,-1.0659e-08,2.0905e-08,3.3315e-05,4.2422e-08,3.3315e-05,1,0.07,0,-0.93,0
-1.1445,-0.00046839,0.00081687,-0.0018883,0.003138,0.0011989,0.00031405,9.9964e-05,-1.7544e-08,2.544e-08,3.3315e-05,4.2762e-08,3.3323e-05,1,0.072,0,-0.928,0
-1.1445,-0.00058046,0.0010592,-0.0022946,0.0030332,0.0017376,0.00031407,9.9971e-05,-2.095e-08,3.2903e-08,3.3313e-05,4.0205e-08,3.333e-05,1,0.074,0,-0.926,0
-1.1446,-0.00068919,0.0013665,-0.0026759,0.0029917,0.0021749,0.00031408,9.9976e-05,-2.2682e-08,4.1776e-08,3.3311e-05,3.6254e-08,3.3337e-05,1,0.076,0,-0.924,0
-1.1446,-0.00073643,0.0015289,-0.0027662,0.002833,0.0023088,0.0003141,9.998e-05,-2.2586e-08,4.612e-08,3.3308e-05,3.2151e-08,3.3343e-05,1,0.078,0,-0.922,0
-1.1446,-0.00065583,0.0013904,-0.0022517,0.0024308,0.0018122,0.00031411,9.9983e-05,-1.8691e-08,4.1051e-08,3.3306e-05,2.7733e-08,3.3348e-05,1,0.08,0,-0.92,0
-1.1446,-0.00057523,0.0012518,-0.0017371,0.0020285,0.0013156,0.00031412,9.9986e-05,-1.4796e-08,3.5982e-08,3.3303e-05,2.3316e-08,3.3353e-05,1,0.082,0,-0.918,0
-1.1445,-0.00073849,0.0011548,-0.001979,0.0018555,0.0013272,0.00031409,9.9979e-05,-2.0816e-08,3.5129e-08,3.3297e-05,2.1065e-08,3.3353e-05,1,0.084,0,-0.916,0
-1.1444,-0.0010191,0.0010778,-0.0025847,0.0017927,0.0015832,0.00031406,9.9967e-05,-3.1607e-08,3.6305e-08,3.3289e-05,1.9857e-08,3.3351e-05,1,0.086,0,-0.914,0
-1.1443,-0.0011617,0.00093886,-0.0029576,0.0020909,0.0016267,0.00031402,9.9955e-05,-3.726e-08,3.4327e-08,3.3283e-05,1.8848e-08,3.3348e-05,1,0.088,0,-0.912,0
-1.1442,-0.0010177,0.00067131,-0.0028464,0.0031393,0.0012284,0.00031398,9.9942e-05,-3.2238e-08,2.5792e-08,3.328e-05,1.8249e-08,3.3341e-05,1,0.09,0,-0.91,0
-1.1441,-0.00087366,0.00040375,-0.0027352,0.0041876,0.00083013,0.00031393,9.9928e-05,-2.7215e-08,1.7256e-08,3.3276e-05,1.7651e-08,3.3333e-05,1,0.092,0,-0.908,0
-1.144,-0.00075333,-0.00021626,-0.0024562,0.0044356,0.00029118,0.00031389,9.9913e-05,-2.5597e-08,-3.877e-09,3.3274e-05,1.6031e-08,3.3323e-05,1,0.094,0,-0.906,0
-1.1439,-0.0006444,-0.0010059,-0.0020965,0.0042984,-0.00031547,0.00031384,9.9897e-05,-2.5618e-08,-3.1073e-08,3.3273e-05,1.392e-08,3.3312e-05,1,0.096,0,-0.904,0
-1.1439,-0.00042228,-0.0014865,-0.0015481,0.0042113,-0.00088805,0.00031381,9.989e-05,-2.1506e-08,-4.757e-08,3.3277e-05,1.4754e-08,3.3302e-05,1,0.098,0,-0.902,0
-1.1441,3.508e-05,-0.0013249,-0.00060719,0.0042283,-0.0013898,0.00031385,9.9901e-05,-8.8055e-09,-4.1835e-08,3.3293e-05,2.1705e-08,3.3295e-05,1,0.1,0,-0.9,0
-1.1442,0.00049243,-0.0011633,0.00033366,0.0042454,-0.0018916,0.00031388,9.9913e-05,3.8945e-09,-3.6101e-08,3.3309e-05,2.8657e-08,3.3288e-05,1,0.102,0,-0.898,0
-1.1444,0.0010097,-0.0011223,0.0011786,0.0042173,-0.0022051,0.00031394,9.993e-05,2.0525e-08,-3.4957e-08,3.3327e-05,3.2483e-08,3.3283e-05,1,0.104,0,-0.896,0
-1.1446,0.0015559,-0.0011393,0.0019773,0.0041676,-0.0024279,0.000314,9.9951e-05,3.9047e-08,-3.6022e-08,3.3347e-05,3.4805e-08,3.3279e-05,1,0.106,0,-0.894,0
-1.1447,0.0019654,-0.0011806,0.0025426,0.0036506,-0.0025271,0.00031407,9.997e-05,5.4695e-08,-3.719e-08,3.3364e-05,3.5141e-08,3.3277e-05,1,0.108,0,-0.892,0
-1.1448,0.0020909,-0.0012723,0.0026227,0.0021626,-0.0023692,0.00031412,9.9986e-05,6.4371e-08,-3.8573e-08,3.3376e-05,3.1352e-08,3.3278e-05,1,0.11,0,-0.89,0
-1.1449,0.0022163,-0.001364,0.0027028,0.00067451,-0.0022114,0.00031417,0.0001,7.4046e-08,-3.9956e-08,3.3388e-05,2.7563e-08,3.328e-05,1,0.112,0,-0.888,0
-1.145,0.0022925,-0.0011078,0.0026551,7.2033e-05,-0.0019,0.00031422,0.00010002,8.0284e-08,-3.1882e-08,3.3392e-05,2.7633e-08,3.3288e-05,1,0.114,0,-0.886,0
-1.1451,0.002345,-0.00068431,0.0025458,-0.0001043,-0.0015146,0.00031427,0.00010003,8.4869e-08,-1.9257e-08,3.3393e-05,2.9561e-08,3.33e-05,1,0.116,0,-0.884,0
-1.1451,0.0022516,-0.00035799,0.0022783,-7.7226e-05,-0.0012337,0.00031428,0.00010004,8.3497e-08,-1.0104e-08,3.3388e-05,3.124e-08,3.3309e-05,1,0.118,0,-0.882,0
-1.1449,0.0018549,-0.00023371,0.0016823,0.00037258,-0.00117,0.00031422,0.00010002,6.9744e-08,-8.1637e-09,3.3372e-05,3.2402e-08,3.331e-05,1,0.12,0,-0.88,0
-1.1447,0.0014583,-0.00010943,0.0010862,0.00082238,-0.0011064,0.00031416,0.0001,5.5992e-08,-6.2239e-09,3.3356e-05,3.3563e-08,3.3312e-05,1,0.122,0,-0.878,0
-1.1446,0.0012191,0.00018757,0.0010389,0.0015454,-0.0014588,0.00031412,9.9987e-05,4.778e-08,4.2447e-09,3.3343e-05,3.1999e-08,3.3313e-05,1,0.124,0,-0.876,0
-1.1445,0.0010558,0.00056767,0.0012556,0.0024,-0.0020114,0.00031408,9.9974e-05,4.2233e-08,1.8817e-08,3.3332e-05,2.9125e-08,3.3314e-05,1,0.126,0,-0.874,0
-1.1444,0.00083899,0.00093673,0.0012236,0.0030192,-0.0021893,0.00031405,9.9966e-05,3.5006e-08,3.1867e-08,3.3322e-05,2.5643e-08,3.3317e-05,1,0.128,0,-0.872,0
-1.1444,0.00051095,0.0012828,0.00067482,0.0031494,-0.0015881,0.00031405,9.9966e-05,2.4289e-08,4.1751e-08,3.3316e-05,2.0899e-08,3.3324e-05,1,0.13,0,-0.87,0
-1.1444,0.0001829,0.0016289,0.000126,0.0032796,-0.00098692,0.00031406,9.9967e-05,1.3571e-08,5.1636e-08,3.3309e-05,1.6155e-08,3.3331e-05,1,0.132,0,-0.868,0
-1.1445,-0.00010253,0.0018108,-0.00040315,0.0033104,-0.00033883,0.00031406,9.9969e-05,4.6291e-09,5.5527e-08,3.331e-05,1.2105e-08,3.3332e-05,1,0.134,0,-0.866,0
-1.1445,-0.00036746,0.0019137,-0.00092283,0.0032934,0.00033183,0.00031407,9.9972e-05,-3.4579e-09,5.6535e-08,3.3315e-05,8.3896e-09,3.333e-05,1,0.136,0,-0.864,0
-1.1446,-0.00056183,0.0021359,-0.0014955,0.0036303,0.001122,0.00031409,9.9977e-05,-1.0794e-08,6.1853e-08,3.3318e-05,5.3013e-09,3.3331e-05,1,0.138,0,-0.862,0
-1.1447,-0.00060957,0.0026063,-0.0021783,0.0047028,0.0021604,0.00031412,9.9986e-05,-1.657e-08,7.6127e-08,3.3317e-05,3.5174e-09,3.3339e-05,1,0.14,0,-0.86,0
-1.1448,-0.0006573,0.0030767,-0.0028612,0.0057752,0.0031988,0.00031414,9.9995e-05,-2.2345e-08,9.0402e-08,3.3315e-05,1.7335e-09,3.3347e-05,1,0.142,0,-0.858,0
-1.1448,-0.00083312,0.0032829,-0.0034569,0.0062192,0.0037764,0.00031414,9.9993e-05,-2.9875e-08,9.7751e-08,3.3314e-05,4.792e-09,3.3347e-05,1,0.144,0,-0.856,0
-1.1448,-0.0010706,0.0033621,-0.0040109,0.0063607,0.0041324,0.00031412,9.9986e-05,-3.825e-08,1.0177e-07,3.3312e-05,1.0181e-08,3.3343e-05,1,0.146,0,-0.854,0
-1.1448,-0.0011249,0.0033719,-0.0040865,0.0063166,0.0041413,0.00031411,9.9984e-05,-4.1075e-08,1.037e-07,3.3313e-05,1.4662e-08,3.3341e-05,1,0.148,0,-0.852,0
-1.1448,-0.00079875,0.0032378,-0.0031681,0.0058867,0.0034289,0.00031414,9.9993e-05,-3.2366e-08,1.0132e-07,3.3319e-05,1.7259e-08,3.3342e-05,1,0.15,0,-0.85,0
-1.1449,-0.00047256,0.0031037,-0.0022497,0.0054567,0.0027165,0.00031416,0.0001,-2.3658e-08,9.8942e-08,3.3324e-05,1.9857e-08,3.3343e-05,1,0.152,0,-0.848,0
-1.1448,-0.00054063,0.0026384,-0.0017974,0.0044989,0.00199,0.00031413,9.999e-05,-2.7274e-08,8.4838e-08,3.3317e-05,2.0785e-08,3.3341e-05,1,0.154,0,-0.846,0
-1.1446,-0.00079841,0.0020139,-0.0015693,0.0032871,0.0012568,0.00031406,9.997e-05,-3.682e-08,6.5093e-08,3.3304e-05,2.0911e-08,3.3338e-05,1,0.156,0,-0.844,0
-1.1445,-0.00093876,0.0015035,-0.0012609,0.0025063,0.00057855,0.00031402,9.9956e-05,-4.1392e-08,4.8253e-08,3.3295e-05,2.0343e-08,3.3335e-05,1,0.158,0,-0.842,0
-1.1445,-0.00083508,0.0012303,-0.00078563,0.0026214,1.4648e-05,0.00031401,9.9954e-05,-3.5627e-08,3.745e-08,3.3296e-05,1.8334e-08,3.3333e-05,1,0.16,0,-0.84,0
-1.1444,-0.00073141,0.0009572,-0.00031039,0.0027364,-0.00054924,0.00031401,9.9951e-05,-2.9862e-08,2.6648e-08,3.3296e-05,1.6325e-08,3.3331e-05,1,0.162,0,-0.838,0
-1.1445,-0.0005799,0.00090855,-9.5003e-05,0.0026449,-0.00075036,0.00031401,9.9952e-05,-2.4847e-08,2.1643e-08,3.3297e-05,1.2794e-08,3.333e-05,1,0.164,0,-0.836,0
-1.1445,-0.00040537,0.00096791,-4.651e-06,0.002454,-0.00077692,0.00031401,9.9953e-05,-2.0193e-08,1.9429e-08,3.3297e-05,8.5296e-09,3.3331e-05,1,0.166,0,-0.834,0
-1.1445,-0.00031601,0.0010666,-3.2937e-05,0.0025023,-0.00065263,0.00031402,9.9956e-05,-1.7901e-08,2.0559e-08,3.3299e-05,6.4792e-09,3.3332e-05,1,0.168,0,-0.832,0
-1.1446,-0.00040364,0.0012472,-0.00030778,0.0030478,-0.0002148,0.00031404,9.9963e-05,-2.0518e-08,2.864e-08,3.3302e-05,9.0298e-09,3.3334e-05,1,0.17,0,-0.83,0
-1.1446,-0.00049127,0.0014278,-0.00058262,0.0035934,0.00022302,0.00031406,9.9969e-05,-2.3135e-08,3.6721e-08,3.3305e-05,1.158e-08,3.3336e-05,1,0.172,0,-0.828,0
-1.1448,-0.00042784,0.0017212,-0.00059534,0.0045902,0.00071951,0.00031412,9.9986e-05,-2.1967e-08,4.6994e-08,3.3312e-05,1.476e-08,3.3342e-05,1,0.174,0,-0.826,0
-1.145,-0.00029172,0.0020688,-0.00048193,0.0058042,0.0012442,0.00031418,0.00010001,-1.8978e-08,5.8321e-08,3.3322e-05,1.8243e-08,3.335e-05,1,0.176,0,-0.824,0
-1.1451,-0.00016713,0.0022677,-0.00033202,0.0065623,0.0015393,0.00031423,0.00010002,-1.567e-08,6.6132e-08,3.3329e-05,2.1417e-08,3.3356e-05,1,0.178,0,-0.822,0
-1.1452,-6.6492e-05,0.0021573,-0.00010625,0.0063732,0.0013572,0.00031425,0.00010003,-1.1701e-08,6.6638e-08,3.3333e-05,2.3947e-08,3.3355e-05,1,0.18,0,-0.82,0
-1.1452,3.4142e-05,0.0020469,0.00011951,0.006184,0.001175,0.00031426,0.00010003,-7.7322e-09,6.7143e-08,3.3337e-05,2.6478e-08,3.3355e-05,1,0.182,0,-0.818,0
-1.1453,0.00028979,0.0019692,0.00037726,0.0054956,0.0012711,0.00031432,0.00010005,1.8517e-09,6.8801e-08,3.3343e-05,2.6307e-08,3.3363e-05,1,0.184,0,-0.816,0
-1.1455,0.00062002,0.0019073,0.0006504,0.0045669,0.001501,0.0003144,0.00010008,1.4137e-08,7.1013e-08,3.3351e-05,2.4837e-08,3.3376e-05,1,0.186,0,-0.814,0
-1.1455,0.00079075,0.0017244,0.00084385,0.0034537,0.0015944,0.00031445,0.00010009,2.0992e-08,6.7807e-08,3.3355e-05,2.2589e-08,3.3384e-05,1,0.188,0,-0.812,0
-1.1455,0.00063,0.0012901,0.00087167,0.0019567,0.0014041,0.00031444,0.00010009,1.6563e-08,5.3343e-08,3.3352e-05,1.8725e-08,3.3385e-05,1,0.19,0,-0.81,0
-1.1454,0.00046926,0.0008558,0.00089949,0.00045985,0.0012138,0.00031443,0.00010009,1.2134e-08,3.8879e-08,3.3349e-05,1.4862e-08,3.3386e-05,1,0.192,0,-0.808,0
-1.1454,0.00041215,0.00073901,0.00097253,5.9287e-05,0.001148,0.00031444,0.00010009,1.2153e-08,3.359e-08,3.335e-05,9.9553e-09,3.3387e-05,1,0.194,0,-0.806,0
-1.1455,0.00040491,0.00077502,0.0010673,0.00018631,0.0011421,0.00031445,0.00010009,1.4312e-08,3.2715e-08,3.3352e-05,4.5475e-09,3.3388e-05,1,0.196,0,-0.804,0
-1.1455,0.00042707,0.00091835,0.0011966,0.00069297,0.0011557,0.00031447,0.0001001,1.6308e-08,3.4979e-08,3.3354e-05,-5.7113e-10,3.3391e-05,1,0.198,0,-0.802,0
-1.1456,0.00051034,0.0012847,0.0013975,0.0019886,0.00121,0.00031449,0.00010011,1.7962e-08,4.3765e-08,3.3355e-05,-5.0886e-09,3.3396e-05,1,0.2,0,-0.8,0
