x,u0,u1,u2
0.0,0.43792646085603104,0.2163609526365395,0.16240782788977956
0.04,0.3327954459864806,0.18991750556356052,0.14593623895414282
0.08,0.2399275324046291,0.15440495522593475,0.12411483565198063
0.12,0.16090471010865912,0.11484577754691888,0.09648942953488122
0.16,0.09791963684765634,0.07567140098926083,0.06590041122250857
0.2,0.05183093749132449,0.04230594709042037,0.03783959628063891
0.24,0.02266440715907066,0.019121298228029188,0.017446504692745116
0.28,0.007772591276859163,0.0066083070443050795,0.00613524268681902
0.32,0.002023477924302219,0.00160929165113113,0.001539386113619735
0.36,0.00019999999999999998,-5.425966687876133e-21,6.666666666666606e-05
