x,u0,u1,u2
0.0,0.43907932033426406,0.21767875582531518,0.16299161106823123
0.04,0.33053362641248596,0.18672920718292538,0.14224445799995178
0.08,0.2355395263307144,0.15033846504247747,0.1202617524513112
0.12,0.15953263042182358,0.11442630080202668,0.0967209017894283
0.16,0.10000765152084626,0.0781181685115808,0.06865863688692048
0.2,0.054328921700403626,0.0446850049219271,0.04019104948052293
0.24,0.02401397113051723,0.02033892955720618,0.018544775056799016
0.28,0.008188966378765128,0.007020336824912218,0.00645016272496675
0.32,0.002055400311937795,0.0017231321087767808,0.001578198031010242
0.36,0.0006773406162897178,0.0004639363646515286,0.00039008038570440587
