t,err_u,err_alpha,int_h,int_h_ref
0.195,0.001241716971100516,0.005375130131161548,-4.700336153753846,-4.702000763594457
0.198,0.0012606629926761237,0.00535270463115509,-4.701379056717181,-4.7030475694591125
0.201,0.0012793223594636267,0.005326378289504227,-4.702423489069559,-4.704096330348034
0.20400000000000001,0.0012977026013606923,0.005299878052009293,-4.703468844121231,-4.705147042334827
0.20700000000000002,0.001315795940053488,0.005269727247920111,-4.7045154127344055,-4.706199698707712
0.21,0.001333611734073149,0.005238809264056883,-4.705563283189061,-4.707254290859547
0.213,0.0013511478484132021,0.0052055352664101585,-4.706611755714156,-4.708310809727439
0.216,0.0013683998904612223,0.0051700074743059364,-4.707662088520099,-4.709369242400724
0.219,0.0013853710162244773,0.0051329573240240026,-4.708713253513021,-4.710429574829787
0.222,0.0014020612279840824,0.005094363934541781,-4.70976578899518,-4.7114917898155735
0.225,0.0014184748159780688,0.005054396497451554,-4.710819610568811,-4.712555869677283
0.228,0.0014346111962163424,0.005012373507485615,-4.711874911597596,-4.713621793089508
0.231,0.0014504746989228898,0.004969562414863528,-4.712931332978744,-4.714689539190718
0.234,0.001466064908345591,0.004924983553469132,-4.713988947937048,-4.715759082543912
0.23700000000000002,0.001481384262828159,0.004879407815202993,-4.71504813010644,-4.716830397497201
0.24,0.0014964319252039652,0.004832211282967809,-4.716108277892142,-4.717903455973575
0.243,0.0015112157133768886,0.004785160813158237,-4.717169983289342,-4.718978228502527
0.246,0.0015257348203297988,0.004735596163791149,-4.718232978265292,-4.720054683665351
0.249,0.0015399941390028431,0.004686691834500659,-4.719297103385696,-4.721132787590416
0.252,0.0015539945835078277,0.0046365529636427025,-4.72036253105712,-4.722212505620028
0.255,0.0015677378656366295,0.004585724112051456,-4.721428934325432,-4.723293801125504
0.258,0.0015812272854435778,0.004534191202558146,-4.722497079651388,-4.72437663658194
0.261,0.001594464881954869,0.004481933378904119,-4.723566467177869,-4.725460971803249
0.264,0.00160745197687926,0.0044295208177455945,-4.724636890303214,-4.726546764821464
0.267,0.0016201920252563074,0.00437699299052333,-4.725708717001875,-4.727633972427483
0.27,0.0016326867479988464,0.00432406764944118,-4.726781865097936,-4.72872254978918
0.273,0.001644940196573587,0.004271229144993293,-4.72785609022645,-4.729812450813305
0.276,0.0016569592886507376,0.004219306028114434,-4.728930843522059,-4.7309036282017445
0.279,0.0016687368193031354,0.004165407779567954,-4.7300076484698055,-4.731996032977847
0.28200000000000003,0.0016802816453449707,0.004112592666235259,-4.7310855800435965,-4.733089614147725
0.28500000000000003,0.0016915965455308296,0.0040603583598480715,-4.732164419627504,-4.734184320430131
0.28800000000000003,0.0017026809325916242,0.004008217145933548,-4.733244291214795,-4.735280098645226
0.291,0.0017135413684927295,0.003957033050676923,-4.734324945479381,-4.736376894636323
0.294,0.0017241728578688447,0.0039047548502613525,-4.735406664946907,-4.737474653309164
0.297,0.0017345853068008463,0.0038545639675631157,-4.736489574971634,-4.738573318016417
0.3,0.0017447781957986633,0.0038049459268486175,-4.737573421532648,-4.739672831227526
0.303,0.0017547549491820028,0.003755549900258936,-4.738658141863095,-4.740773133668834
0.306,0.001764519164671044,0.0037075525620316376,-4.739743324249593,-4.741874165435395
0.309,0.001774071977110385,0.0036599780889172155,-4.740829667975797,-4.742975866177098
0.312,0.0017834089426308434,0.0036125813189088803,-4.7419170395604455,-4.744078173703487
0.315,0.0017925460695573945,0.0035681625616518016,-4.743005019682697,-4.745181025891882
0.318,0.0018014770812109532,0.00352390576082795,-4.744093512815093,-4.746284358815216
0.321,0.0018102034810214792,0.003480163812518176,-4.74518300913057,-4.747388107771
0.324,0.0018187330346390513,0.003438902278094626,-4.746272858447271,-4.748492207587929
0.327,0.0018270639692397799,0.0033979934371212222,-4.747363005885254,-4.749596592517216
0.33,0.001835197809235714,0.0033589439310541492,-4.748453917039619,-4.750701195819019
0.333,0.0018431344103990444,0.003321030620284261,-4.749545268588812,-4.751805950082272
0.336,0.001850883721053004,0.0032855861199870633,-4.7506370920329015,-4.7529107876283
0.339,0.0018584457348511684,0.0032510606140469978,-4.751728378436441,-4.754015639681425
0.342,0.0018658165371381213,0.00321721225871785,-4.7528207804102705,-4.755120436934133
0.34500000000000003,0.0018730058042195322,0.0031867786339184333,-4.753912831957484,-4.756225110172585
0.34800000000000003,0.001880011782715547,0.003156760564767545,-4.755005988233802,-4.757329589199282
0.35100000000000003,0.0018868391414300011,0.0031293190471547282,-4.756098207522327,-4.758433803213747
0.354,0.0018934888127526328,0.003103827052400997,-4.757190601359514,-4.759537681872363
0.357,0.001899965614195758,0.0030805169031007168,-4.758283032049075,-4.760641153670178
0.36,0.0019062684497494454,0.003058234371385536,-4.759375729878546,-4.761744147655953
0.363,0.0019124022859880797,0.003038286957334445,-4.7604681559744595,-4.7628465918646015
0.366,0.0019183699455336456,0.0030206250438198617,-4.761559940382983,-4.763948413712542
0.369,0.0019241695372314064,0.0030043970619316866,-4.762651872140707,-4.7650495419305985
0.372,0.0019298049881161564,0.0029906090854173815,-4.763742936382577,-4.766149903704114
0.375,0.0019352834560447734,0.002979430152181963,-4.764833432759169,-4.767249426826939
0.378,0.0019406027096284723,0.00297034500581941,-4.765924025333172,-4.768348039116522
0.381,0.001945764883445387,0.0029628325514282363,-4.76701356704493,-4.769445668283364
0.384,0.0019507720622232794,0.002957820032560418,-4.768102597559576,-4.770542241916003
0.387,0.001955631900335173,0.0029550075527524393,-4.769191399652817,-4.771637687557825
0.39,0.001960339542217516,0.0029533042680785354,-4.770278544174019,-4.772731933174041
0.393,0.0019649028947587186,0.0029549572578864746,-4.771365250176232,-4.773824906737276
0.396,0.001969318159264263,0.0029579020308688492,-4.772450761073377,-4.774916535861893
0.399,0.0019735982327316946,0.002963497064189246,-4.773535627177368,-4.776006748539417
0.402,0.0019777335754334407,0.0029709945083782707,-4.774619106620135,-4.777095473899059
0.405,0.0019817334468784967,0.00298071577171039,-4.775701782285746,-4.778182640744411
0.40800000000000003,0.001985598543651367,0.0029929738256794748,-4.776783302099818,-4.779268177807751
0.41100000000000003,0.0019893403142818905,0.003008437791217162,-4.7778629141373745,-4.780352014512803
0.41400000000000003,0.0019929546578422446,0.0030276183372518538,-4.7789411875872805,-4.781434081266199
0.417,0.0019964487847932665,0.0030476974183520312,-4.780018474001714,-4.782514307575487
0.42,0.0019998252429908494,0.003070080720774606,-4.781094359549253,-4.7835926237102555
0.423,0.002003096961825149,0.003093548737227656,-4.782168390422883,-4.784668961281742
0.426,0.002006268693317114,0.0031187924252454426,-4.783240331556904,-4.785743252047093
0.429,0.00200935481155415,0.0031435289049809023,-4.784310977513763,-4.786815427948509
0.432,0.0020123649784839675,0.003169865739506148,-4.785379944617305,-4.78788542201326
0.435,0.0020153069478785145,0.0031969213970291506,-4.786447203775864,-4.788953167184061
0.438,0.002018216422491078,0.003224199072969075,-4.787512026714735,-4.790018597176331
0.441,0.002021120819961493,0.0032501588800065034,-4.788574923966514,-4.791081646751089
0.444,0.0020240490382822033,0.003278942775648435,-4.789635613131146,-4.792142250876661
0.447,0.002027051898714404,0.0033060576102686466,-4.790694324134918,-4.793200345342439
0.45,0.0020301801694067767,0.003333440010671978,-4.791751000755276,-4.794255866729898
0.453,0.0020334891356007406,0.00336115123392581,-4.792805108946682,-4.795308752355806
0.456,0.0020370515917768396,0.003388868401963473,-4.793856737385193,-4.796358940461464
0.459,0.0020409781680130966,0.0034153628379617767,-4.794906223013431,-4.797406370009447
0.462,0.0020452734822904986,0.00344323513825792,-4.795953156080188,-4.798450980390403
0.465,0.0020498622721973805,0.003469615227799003,-4.79699752169977,-4.7994927126333575
0.468,0.0020553396191786847,0.003496088834535616,-4.7980387587495406,-4.800531507680353
0.47100000000000003,0.002061134796222444,0.0035225116334456495,-4.799078122388237,-4.801567307590261
0.47400000000000003,0.0020670943037781188,0.0035485233409029513,-4.800113821156118,-4.802600056052558
0.47700000000000004,0.0020732495279897254,0.0035742736746890717,-4.801147155263615,-4.803629697354124
0.48,0.002079593617583186,0.0035979659247445694,-4.802177549050261,-4.804656176152389
0.483,0.002086084473827872,0.0036237568254711135,-4.803205121799571,-4.8056794385799195
0.486,0.0020926940369546355,0.003648264724184067,-4.804229698655991,-4.806699431181638
0.489,0.0020994053995324405,0.0036714931987997445,-4.805251131516088,-4.807716101543024
0.492,0.0021062099398640468,0.0036944916001914545,-4.806268771601873,-4.808729399065383
0.495,0.0021130856838285053,0.0037168437832089778,-4.807283781662853,-4.809739273492333
0.498,0.002120021275762097,0.003738871700707528,-4.808295506543934,-4.8107456758425515
0.501,0.002127019301567975,0.0037615966631689875,-4.809303748642235,-4.8117485585113675
0.504,0.002134055237296367,0.003784214610565251,-4.810308821415073,-4.8127478738314995
0.507,0.0021411237800073304,0.0038035405640832677,-4.811310442347621,-4.813743576273409
0.51,0.002148223838787692,0.003823921815905734,-4.812308183567005,-4.8147356211571495
0.513,0.002155334576174583,0.0038423388838375746,-4.813302959401259,-4.81572396444951
