"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,4.3671e-19,-1.4049e-19,1,0.12445,-0.912,-0.912,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,5.8811e-19,-2.1783e-19,1,0.12728,-0.91,-0.91,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,4.2361e-19,-1.8939e-19,1,0.13011,-0.908,-0.908,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,2.6909e-19,-1.7599e-19,1,0.13294,-0.906,-0.906,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,1.2454e-19,-1.7763e-19,1,0.13576,-0.904,-0.904,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-1.0031e-20,-1.943e-19,1,0.13859,-0.902,-0.902,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-1.3462e-19,-2.2601e-19,1,0.14142,-0.9,-0.9,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-2.2326e-19,-3.2585e-19,1,0.14425,-0.898,-0.898,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-3.2087e-19,-4.6519e-19,1,0.14708,-0.896,-0.896,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-4.2745e-19,-6.4404e-19,1,0.14991,-0.894,-0.894,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-5.43e-19,-8.6239e-19,1,0.15274,-0.892,-0.892,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-6.6751e-19,-1.1202e-18,1,0.15556,-0.89,-0.89,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-2.2839e-19,-9.8192e-19,1,0.15839,-0.888,-0.888,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,1.2652e-19,-8.4296e-19,1,0.16122,-0.886,-0.886,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,3.9721e-19,-7.0337e-19,1,0.16405,-0.884,-0.884,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,5.8367e-19,-5.6315e-19,1,0.16688,-0.882,-0.882,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,6.8592e-19,-4.2229e-19,1,0.16971,-0.88,-0.88,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,4.2582e-19,-5.1128e-19,1,0.17253,-0.878,-0.878,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,2.4534e-19,-6.3046e-19,1,0.17536,-0.876,-0.876,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,1.4449e-19,-7.7984e-19,1,0.17819,-0.874,-0.874,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,1.2328e-19,-9.5942e-19,1,0.18102,-0.872,-0.872,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,1.817e-19,-1.1692e-18,1,0.18385,-0.87,-0.87,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,5.3329e-19,-8.7852e-19,1,0.18668,-0.868,-0.868,0
