epoch,loss,output_1_loss,output_1_mean_absolute_error,output_2_loss,output_2_mean_absolute_error,output_3_loss,output_3_mean_absolute_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_3_loss,val_output_3_mean_absolute_error
0,3.6197104454040527,0.255070298910141,0.25006285309791565,3.29361629486084,1.1908130645751953,3.29361629486084,1.1908130645751953,0.5485905408859253,0.003922516945749521,0.042619869112968445,0.4723213315010071,0.5354572534561157,0.4723213315010071,0.5354572534561157
1,0.4149712026119232,0.0025401951279491186,0.0355909988284111,0.33992326259613037,0.4189915060997009,0.33992326259613037,0.4189915060997009,0.26592105627059937,0.0008898547384887934,0.021477703005075455,0.19257210195064545,0.3452879786491394,0.19257210195064545,0.3452879786491394
2,0.3224349617958069,0.0024690807331353426,0.031678199768066406,0.24787931144237518,0.3370691239833832,0.24787931144237518,0.3370691239833832,0.18326589465141296,0.0007255204836837947,0.021240374073386192,0.11089643836021423,0.2452278584241867,0.11089643836021423,0.2452278584241867
3,0.3256916403770447,0.008945174515247345,0.036208536475896835,0.24555236101150513,0.30409860610961914,0.24555236101150513,0.30409860610961914,0.13888046145439148,0.00045783352106809616,0.015513937920331955,0.06765454262495041,0.1932629644870758,0.06765454262495041,0.1932629644870758
4,0.24593624472618103,0.0020302576012909412,0.02827339619398117,0.17364133894443512,0.2698386609554291,0.17364133894443512,0.2698386609554291,0.23750174045562744,0.0010381127940490842,0.02708844467997551,0.16672085225582123,0.29668834805488586,0.16672085225582123,0.29668834805488586
5,0.2376784384250641,0.0026505785062909126,0.028216473758220673,0.16574831306934357,0.24630628526210785,0.16574831306934357,0.24630628526210785,0.13683496415615082,0.0002614508557599038,0.012057098560035229,0.06779084354639053,0.20244736969470978,0.06779084354639053,0.20244736969470978
6,0.23337393999099731,0.0033745986875146627,0.027854906395077705,0.16164284944534302,0.23673827946186066,0.16164284944534302,0.23673827946186066,0.16376717388629913,0.0005946431192569435,0.020497361198067665,0.09517429769039154,0.22205238044261932,0.09517429769039154,0.22205238044261932
7,0.21107660233974457,0.002747274935245514,0.02579496242105961,0.1407109647989273,0.2148742526769638,0.1407109647989273,0.2148742526769638,0.09941156208515167,0.0002323065127711743,0.012173985131084919,0.03193667158484459,0.13358739018440247,0.03193667158484459,0.13358739018440247
8,0.3960249722003937,0.027801411226391792,0.05060519278049469,0.3012533187866211,0.24436624348163605,0.3012533187866211,0.24436624348163605,0.09128061681985855,0.00015953611000441015,0.009076451882719994,0.02449028380215168,0.11320921033620834,0.02449028380215168,0.11320921033620834
9,0.21671953797340393,0.006545000709593296,0.028293337672948837,0.14393749833106995,0.20211495459079742,0.14393749833106995,0.20211495459079742,0.09420754760503769,0.0001410614640917629,0.00867890939116478,0.02823477052152157,0.1278807371854782,0.02823477052152157,0.1278807371854782
10,0.21085533499717712,0.006243288516998291,0.02737310342490673,0.13920387625694275,0.19222086668014526,0.13920387625694275,0.19222086668014526,0.2254018932580948,0.007455779239535332,0.0720987468957901,0.1529575139284134,0.2640363276004791,0.1529575139284134,0.2640363276004791
11,0.18508554995059967,0.0032275195699185133,0.02337593026459217,0.11732622236013412,0.1792163997888565,0.11732622236013412,0.1792163997888565,0.6699166893959045,0.012480488047003746,0.09619006514549255,0.5931887030601501,0.6226494312286377,0.5931887030601501,0.6226494312286377
12,0.1835324615240097,0.005668885540217161,0.024379795417189598,0.11414728313684464,0.1689073145389557,0.11414728313684464,0.1689073145389557,0.08451485633850098,0.00018958142027258873,0.010002593509852886,0.021010439842939377,0.10596010088920593,0.021010439842939377,0.10596010088920593
13,0.1667744219303131,0.0025980889331549406,0.021875867620110512,0.10128180682659149,0.16705191135406494,0.10128180682659149,0.16705191135406494,0.10754143446683884,0.0008632626268081367,0.02789701335132122,0.044222015887498856,0.14353786408901215,0.044222015887498856,0.14353786408901215
14,0.15471351146697998,0.0016734505770727992,0.018842892721295357,0.09097477793693542,0.15967893600463867,0.09097477793693542,0.15967893600463867,0.09306450933218002,0.001992781413719058,0.03763289377093315,0.029376734048128128,0.13007669150829315,0.029376734048128128,0.13007669150829315
15,0.17160920798778534,0.005360013339668512,0.023181671276688576,0.10493507236242294,0.1565590351819992,0.10493507236242294,0.1565590351819992,0.10530680418014526,0.0003061243041884154,0.013559393584728241,0.04403909295797348,0.15420134365558624,0.04403909295797348,0.15420134365558624
16,0.12763750553131104,0.0008459962555207312,0.016001997515559196,0.06620828807353973,0.14743950963020325,0.06620828807353973,0.14743950963020325,0.1293937861919403,0.000700708944350481,0.024313688278198242,0.06850799173116684,0.19763748347759247,0.06850799173116684,0.19763748347759247
17,0.1265055537223816,0.0008509729523211718,0.015864001587033272,0.06581711769104004,0.1446870118379593,0.06581711769104004,0.1446870118379593,0.1717977076768875,0.0032257616985589266,0.054725561290979385,0.10907676070928574,0.21423004567623138,0.10907676070928574,0.21423004567623138
18,0.1280093640089035,0.0012581887422129512,0.016262134537100792,0.06763270497322083,0.13763591647148132,0.06763270497322083,0.13763591647148132,0.07289212942123413,0.00015154363063629717,0.008549870923161507,0.013974484987556934,0.08375397324562073,0.013974484987556934,0.08375397324562073
19,0.12489520013332367,0.0010907845571637154,0.01547472644597292,0.06534243375062943,0.13686352968215942,0.06534243375062943,0.13686352968215942,0.07292870432138443,0.00012823441647924483,0.006061700638383627,0.014650668017566204,0.08313101530075073,0.014650668017566204,0.08313101530075073
20,0.1481645703315735,0.005157268140465021,0.020187824964523315,0.0851043313741684,0.1378149539232254,0.0851043313741684,0.1378149539232254,0.07165069878101349,0.0002629759255796671,0.011711183935403824,0.01384339202195406,0.08053425699472427,0.01384339202195406,0.08053425699472427
21,0.13119007647037506,0.002361372346058488,0.017049482092261314,0.07155531644821167,0.1333090215921402,0.07155531644821167,0.1333090215921402,0.09423135966062546,0.00024505448527634144,0.011367274448275566,0.037053827196359634,0.13507531583309174,0.037053827196359634,0.13507531583309174
22,0.11186372488737106,0.0008630919037386775,0.014155685901641846,0.05438559502363205,0.12650606036186218,0.05438559502363205,0.12650606036186218,0.09225398302078247,0.00029555143555626273,0.013267873786389828,0.035655952990055084,0.14116008579730988,0.035655952990055084,0.14116008579730988
23,0.11120770126581192,0.0007445996743626893,0.013578525744378567,0.05446217581629753,0.12444675713777542,0.05446217581629753,0.12444675713777542,0.06643112748861313,0.00012596289161592722,0.0061332788318395615,0.010620438493788242,0.07287570089101791,0.010620438493788242,0.07287570089101791
24,0.11517581343650818,0.0010165410349145532,0.014041055925190449,0.058739688247442245,0.12049740552902222,0.058739688247442245,0.12049740552902222,0.08544959127902985,0.00031472137197852135,0.012981134466826916,0.030010884627699852,0.12297119945287704,0.030010884627699852,0.12297119945287704
25,0.10374142974615097,0.0007354773115366697,0.013129694387316704,0.04814087599515915,0.11905107647180557,0.04814087599515915,0.11905107647180557,0.08174236118793488,0.0002444155397824943,0.011338003911077976,0.026919059455394745,0.11743821203708649,0.026919059455394745,0.11743821203708649
26,0.09944113343954086,0.0005768909468315542,0.012472661212086678,0.0445273220539093,0.11697257310152054,0.0445273220539093,0.11697257310152054,0.08008284866809845,0.00021841141278855503,0.01014100294560194,0.025770949199795723,0.11178438365459442,0.025770949199795723,0.11178438365459442
27,0.10331051051616669,0.0008609406650066376,0.012788555584847927,0.04856078699231148,0.11415725946426392,0.04856078699231148,0.11415725946426392,0.07415230572223663,0.00016618354129604995,0.007249759044498205,0.02034120075404644,0.10179929435253143,0.02034120075404644,0.10179929435253143
28,0.10414998233318329,0.0010606780415400863,0.01312490738928318,0.049642883241176605,0.1135457307100296,0.049642883241176605,0.1135457307100296,0.0616597943007946,0.00012897953274659812,0.0060698529705405235,0.008296329528093338,0.06509967893362045,0.008296329528093338,0.06509967893362045
