epoch,loss,output_1_loss,output_1_mean_absolute_error,output_2_loss,output_2_mean_absolute_error,output_3_loss,output_3_mean_absolute_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_3_loss,val_output_3_mean_absolute_error
0,0.07201363146305084,0.0004214422369841486,0.00844554416835308,0.02641799859702587,0.07823525369167328,0.02641799859702587,0.07823525369167328,0.05490550398826599,8.649127994431183e-05,0.006902195047587156,0.009740088135004044,0.07519730925559998,0.009740088135004044,0.07519730925559998
1,0.0636499673128128,0.00016673382197041065,0.007681221701204777,0.018506521359086037,0.07867728918790817,0.018506521359086037,0.07867728918790817,0.06360878795385361,0.0001383065537083894,0.009797798469662666,0.018609220162034035,0.10456045717000961,0.018609220162034035,0.10456045717000961
2,0.06535134464502335,0.00018177469610236585,0.007776850368827581,0.020405128598213196,0.07910418510437012,0.020405128598213196,0.07910418510437012,0.05079963430762291,6.862866575829685e-05,0.005779391620308161,0.006067514419555664,0.05583816394209862,0.006067514419555664,0.05583816394209862
3,0.07019703835248947,0.0003587297978810966,0.008031778037548065,0.025252671912312508,0.07460103183984756,0.025252671912312508,0.07460103183984756,0.06681890785694122,0.00018294800247531384,0.011932759545743465,0.022141283378005028,0.11341039091348648,0.022141283378005028,0.11341039091348648
4,0.06323916465044022,0.000179095019120723,0.007496066391468048,0.018647151067852974,0.07542207837104797,0.018647151067852974,0.07542207837104797,0.05945533514022827,9.950192179530859e-05,0.007624377030879259,0.015040983445942402,0.09235019236803055,0.015040983445942402,0.09235019236803055
5,0.06431328505277634,0.00018760601233225316,0.007486902642995119,0.019885776564478874,0.07525914162397385,0.019885776564478874,0.07525914162397385,0.047922052443027496,4.1966093704104424e-05,0.003447026712819934,0.00372859719209373,0.044553421437740326,0.00372859719209373,0.044553421437740326
6,0.06175324320793152,0.00016549894644413143,0.007588807959109545,0.017525171861052513,0.07646902650594711,0.017525171861052513,0.07646902650594711,0.04980863258242607,6.302440306171775e-05,0.004830196499824524,0.005764205940067768,0.055484648793935776,0.005764205940067768,0.055484648793935776
7,0.0628267377614975,0.00017802554066292942,0.007439051289111376,0.018751120194792747,0.07401246577501297,0.018751120194792747,0.07401246577501297,0.04702150449156761,3.601018397603184e-05,0.0027110506780445576,0.0031639288645237684,0.04035114869475365,0.0031639288645237684,0.04035114869475365
8,0.06084178388118744,0.00014594613458029926,0.007316592149436474,0.016949936747550964,0.07509121298789978,0.016949936747550964,0.07509121298789978,0.04727373644709587,4.4868869736092165e-05,0.004267839249223471,0.0035689480137079954,0.04278862848877907,0.0035689480137079954,0.04278862848877907
9,0.06686196476221085,0.0003834867966361344,0.007819544523954391,0.022872397676110268,0.07355880737304688,0.022872397676110268,0.07355880737304688,0.04888751357793808,5.3470128477783874e-05,0.004560060333460569,0.005302577745169401,0.052847255021333694,0.005302577745169401,0.052847255021333694
