u_0,u_1,u_2,u_0_ref,u_1_ref,u_2_ref
0.5846026027419599,0.22114456932440285,0.18618001290792868,0.5796483243918499,0.21331433656725388,0.18189199980945037
0.5692838841023355,0.22005491051731524,0.1837898532351651,0.5648541988784175,0.21280802693494433,0.17968645082561535
0.5562175839901032,0.21829839212672097,0.18176986925995364,0.552397241766988,0.2114656146399125,0.17792807386461187
0.5433449172879677,0.21646279261503537,0.1797334123435573,0.5400751346830053,0.21005283906200278,0.17617083628610852
0.5306254494614023,0.2145546051763372,0.1776752731817278,0.5278390641100328,0.20857651131414412,0.1744076399024923
0.5180442850442827,0.2125727921060695,0.17559492366456744,0.5156704537190712,0.2070328312269277,0.17263718801649855
0.5055860625090501,0.21051577954250747,0.1734917417443081,0.503550728899947,0.20541731996518092,0.17085802744306394
0.49323369205029627,0.20838123536665903,0.17136480805211365,0.49146124327912316,0.20372526699577714,0.1690686536343494
0.48096742281376553,0.2061657955859597,0.16921280083419063,0.4793801151695928,0.2019508284946468,0.1672671492608959
0.4687639841884857,0.20386472790476026,0.1670338594381712,0.4672827099072653,0.20008677560603857,0.16545107518880184
0.4565959189669134,0.20147166041035022,0.16482542874151915,0.45514270482804897,0.19812495105319342,0.16361773379595704
0.44443111806087315,0.19897836684468734,0.16258425976016522,0.4429324009280575,0.19605612610492548,0.16176387192681455
0.43223233076885953,0.19637447383839515,0.16030621791199204,0.43062484288255404,0.1938704823129956,0.15988586692340964
0.419957007306205,0.1936474284090201,0.15798638907868712,0.4181960682480575,0.1915585142499657,0.15798016514387062
0.4075570287635419,0.1907823353978872,0.15561908342705272,0.4056257910403639,0.1891105519482778,0.15604280484224461
0.3949789963573727,0.1877621545701718,0.15319808915256589,0.3929032674021585,0.18651888233506944,0.15407021821585837
0.3821655240087604,0.18456823964271699,0.15071719863807942,0.38002906446374624,0.1837784786005242,0.15205938270615418
0.36905876927379344,0.18118175320537092,0.14817129992105071,0.3670186006540011,0.18088814667804082,0.15000860034179742
0.35560814796467183,0.17758670055771297,0.14555834976263488,0.35390310634332445,0.17785226808183888,0.14791504556113458
0.34178398386464287,0.1737748716094885,0.14288236112293873,0.3407303126727896,0.17467733444251565,0.14578171161153036
0.327597684747982,0.16975315380143957,0.14015716889890198,0.32756642939999564,0.1713794256340437,0.1436101437654056
0.3131250869756929,0.16555109268868834,0.1374092978824267,0.31448948784736885,0.16797781663073827,0.14140341170755413
0.29852271258878077,0.1612247683726191,0.13467665518989766,0.3015874811689889,0.16449687164355992,0.13916726625259862
0.2840220113158842,0.1568515638319811,0.13200006428754196,0.2889543170308526,0.1609647400229239,0.13690909754809827
0.26989197963416456,0.15251510850306085,0.12940978717997612,0.2766791687319561,0.15741042224899823,0.13463623905449923
0.2563814593355961,0.1482878655356246,0.12691647407415266,0.2648433430020667,0.1538627363406841,0.1323565493695215
0.24367150972548024,0.1442221866620544,0.12451498657550181,0.253514398662337,0.1503483109411854,0.1300776558861725
0.23186129007284384,0.14035234413588776,0.12219695751255195,0.24274200212137148,0.1468902550976348,0.12780612535051
0.22098412563418035,0.1367011109985048,0.11996057436248639,0.23255818997218125,0.1435074036150835,0.12554836186888552
0.21103339548848676,0.13328427523323497,0.11781186958027053,0.222975292092308,0.1402132054614153,0.12330885604426717
0.20198167544150317,0.13011121209758247,0.11575997253909055,0.2139877901977027,0.1370157592179315,0.1210900323451074
0.1937888593161767,0.12718326974494387,0.11381133590699562,0.2055779229126363,0.13391936168655094,0.1188944279974861
0.18640254738043344,0.1244919009853577,0.11196566241146488,0.1977158284278178,0.13092394019097625,0.11672246139194513
0.1797566011276158,0.12201859892585801,0.11021495665022166,0.1903633673074195,0.12802560907454882,0.11457306529193388
0.17377183672828253,0.11973697411490064,0.10854520566519285,0.1834786144639625,0.12521860814907626,0.11244479032072563
0.16836013413762488,0.1176162287578722,0.10693939954899466,0.17701745532343047,0.12249508980842107,0.11033551122301236
0.16343054318456612,0.11562466232896902,0.10538032180739618,0.17093384349513324,0.11984527092616092,0.10824126941552474
0.15889525755283676,0.11373211192631093,0.1038521606260872,0.16518405375622108,0.11725899311383696,0.10615824478225942
0.15467392175456465,0.11191112498506464,0.10234094423853617,0.15972639281543183,0.11472527894371332,0.10408204506430661
0.15069565605162702,0.11013700764228328,0.1008340673819196,0.15452063092491528,0.1122323869379606,0.10200711991443377
0.14689920470985232,0.1083872745571083,0.09931950114244759,0.149528804033266,0.10976805291961471,0.09992705486411027
0.14323183060938996,0.10664076687384604,0.0977849456470498,0.14471611581922195,0.10732004705567062,0.09783502256042982
0.13964762931866667,0.10487683955448765,0.09621716564647236,0.14005032463812114,0.10487543683605358,0.09572361402029687
0.1361057556601446,0.10307460057270633,0.09460148483199977,0.13550015597113094,0.10242061479083221,0.0935838332505486
0.1325689239866708,0.1012124456379268,0.09292155886463341,0.13103671375947754,0.09994152401176538,0.0914061227352992
0.12900232779610782,0.099267854750583,0.09115938993404658,0.1266326623663056,0.0974238963268772,0.0891799940923708
0.12537306363526254,0.09721750316190511,0.08929560605252246,0.12226252712780317,0.09485283449818538,0.08689436855395671
0.12165006405260248,0.09503769147989792,0.08730998288327395,0.1179015706214003,0.09221323238400463,0.08453714991047198
0.11780448777459154,0.09270507635210422,0.08518222709599964,0.11352784112233898,0.08949064576955507,0.0820967884980364
0.11381051637479409,0.09019768694017542,0.08289299356050472,0.10912052510133861,0.08667042063882391,0.07956120152502306
0.10964643205808615,0.08749614289222635,0.08042504487725723,0.10466186198519399,0.08373990314920599,0.07691958650146219
