"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1367,0.0063563,-0.0069369,-0.0093951,-0.023086,-0.014859,0.00031387,9.9909e-05,1.8113e-07,-2.1771e-07,3.319e-05,-1.1322e-07,3.3406e-05,1,0.076368,0.946,-0.946,0
-1.137,0.007838,-0.0069225,-0.0070772,-0.023468,-0.016261,0.000314,9.9951e-05,2.3603e-07,-2.3771e-07,3.322e-05,-1.4409e-07,3.3408e-05,1,0.079196,0.944,-0.944,0
-1.1373,0.0094591,-0.0067278,-0.0045226,-0.022516,-0.018,0.00031413,9.9991e-05,3.0092e-07,-2.4876e-07,3.3255e-05,-1.7408e-07,3.3405e-05,1,0.082024,0.942,-0.942,0
-1.1375,0.01122,-0.0063525,-0.0017316,-0.020233,-0.020075,0.00031426,0.00010003,3.7578e-07,-2.5086e-07,3.3295e-05,-2.0317e-07,3.3397e-05,1,0.084853,0.94,-0.94,0
-1.1371,0.010427,-0.0047577,-0.0035113,-0.012384,-0.019418,0.00031416,0.0001,3.6028e-07,-2.0471e-07,3.331e-05,-1.853e-07,3.3359e-05,1,0.087681,0.938,-0.938,0
-1.1367,0.0093832,-0.0032664,-0.0055497,-0.0047875,-0.018676,0.00031405,9.9965e-05,3.358e-07,-1.5765e-07,3.332e-05,-1.6551e-07,3.3321e-05,1,0.09051,0.936,-0.936,0
-1.1362,0.0080883,-0.0018788,-0.0078469,0.0025558,-0.017849,0.00031392,9.9925e-05,3.0234e-07,-1.0968e-07,3.3327e-05,-1.4378e-07,3.3284e-05,1,0.093338,0.934,-0.934,0
-1.1357,0.0065424,-0.00059469,-0.010403,0.0096462,-0.016938,0.00031378,9.9879e-05,2.5992e-07,-6.0797e-08,3.3329e-05,-1.2013e-07,3.3246e-05,1,0.096167,0.932,-0.932,0
-1.135,0.0047454,0.00058578,-0.013217,0.016483,-0.015943,0.00031362,9.9829e-05,2.0852e-07,-1.1e-08,3.3327e-05,-9.4548e-08,3.3209e-05,1,0.098995,0.93,-0.93,0
-1.1349,0.002517,-0.00047946,-0.015976,0.011764,-0.013624,0.00031348,9.9785e-05,1.1316e-07,-1.7294e-08,3.328e-05,-7.9862e-08,3.322e-05,1,0.10182,0.928,-0.928,0
-1.1349,0.00091605,-0.0017546,-0.018104,0.0057562,-0.011439,0.00031341,9.9761e-05,3.6241e-08,-3.5813e-08,3.3242e-05,-7.2383e-08,3.3238e-05,1,0.10465,0.926,-0.926,0
-1.1351,-5.7619e-05,-0.0032396,-0.019602,-0.0015405,-0.0093852,0.00031339,9.9754e-05,-2.225e-08,-6.6555e-08,3.3213e-05,-7.2109e-08,3.3261e-05,1,0.10748,0.924,-0.924,0
-1.1355,-0.00040399,-0.0049346,-0.020471,-0.010126,-0.0074643,0.00031343,9.9767e-05,-6.2311e-08,-1.0952e-07,3.3193e-05,-7.904e-08,3.329e-05,1,0.11031,0.922,-0.922,0
